Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,date,year,month,day
Hubei,Mainland China,1/26/2020 16:00,1058,52.0,42.0,Jan26,2020,1,26
Guangdong,Mainland China,1/26/2020 16:00,111,,2.0,Jan26,2020,1,26
Zhejiang,Mainland China,1/26/2020 16:00,104,,1.0,Jan26,2020,1,26
Henan,Mainland China,1/26/2020 16:00,83,1.0,,Jan26,2020,1,26
Chongqing,Mainland China,1/26/2020 16:00,75,,,Jan26,2020,1,26
Hunan,Mainland China,1/26/2020 16:00,69,,,Jan26,2020,1,26
Beijing,Mainland China,1/26/2020 16:00,68,,2.0,Jan26,2020,1,26
Anhui,Mainland China,1/26/2020 16:00,60,,,Jan26,2020,1,26
Shandong,Mainland China,1/26/2020 16:00,46,,,Jan26,2020,1,26
Sichuan,Mainland China,1/26/2020 16:00,44,,,Jan26,2020,1,26
Shanghai,Mainland China,1/26/2020 16:00,40,1.0,1.0,Jan26,2020,1,26
Guangxi,Mainland China,1/26/2020 16:00,36,,,Jan26,2020,1,26
Jiangxi,Mainland China,1/26/2020 16:00,36,,,Jan26,2020,1,26
Fujian,Mainland China,1/26/2020 16:00,35,,,Jan26,2020,1,26
Jiangsu,Mainland China,1/26/2020 16:00,33,,1.0,Jan26,2020,1,26
Hainan,Mainland China,1/26/2020 16:00,22,,,Jan26,2020,1,26
Shaanxi,Mainland China,1/26/2020 16:00,22,,,Jan26,2020,1,26
Liaoning,Mainland China,1/26/2020 16:00,21,,,Jan26,2020,1,26
Yunnan,Mainland China,1/26/2020 16:00,16,,,Jan26,2020,1,26
Heilongjiang,Mainland China,1/26/2020 16:00,15,1.0,,Jan26,2020,1,26
Tianjin,Mainland China,1/26/2020 16:00,14,,,Jan26,2020,1,26
Hebei,Mainland China,1/26/2020 16:00,13,1.0,,Jan26,2020,1,26
Shanxi,Mainland China,1/26/2020 16:00,9,,,Jan26,2020,1,26
Hong Kong,Hong Kong,1/26/2020 16:00,8,,,Jan26,2020,1,26
Inner Mongolia,Mainland China,1/26/2020 16:00,7,,,Jan26,2020,1,26
Gansu,Mainland China,1/26/2020 16:00,7,,,Jan26,2020,1,26
Guizhou,Mainland China,1/26/2020 16:00,5,,,Jan26,2020,1,26
Macau,Macau,1/26/2020 16:00,5,,,Jan26,2020,1,26
Ningxia,Mainland China,1/26/2020 16:00,4,,,Jan26,2020,1,26
Jilin,Mainland China,1/26/2020 16:00,4,,,Jan26,2020,1,26
Taiwan,Taiwan,1/26/2020 16:00,4,,,Jan26,2020,1,26
Xinjiang,Mainland China,1/26/2020 16:00,4,,,Jan26,2020,1,26
Qinghai,Mainland China,1/26/2020 16:00,1,,,Jan26,2020,1,26
Washington,US,1/26/2020 16:00,1,,,Jan26,2020,1,26
Illinois,US,1/26/2020 16:00,1,,,Jan26,2020,1,26
California,US,1/26/2020 16:00,2,,,Jan26,2020,1,26
Arizona,US,1/26/2020 16:00,1,,,Jan26,2020,1,26
,Japan,1/26/2020 16:00,4,,1.0,Jan26,2020,1,26
,Thailand,1/26/2020 16:00,8,,2.0,Jan26,2020,1,26
,South Korea,1/26/2020 16:00,3,,,Jan26,2020,1,26
,Singapore ,1/26/2020 16:00,4,,,Jan26,2020,1,26
,Vietnam,1/26/2020 16:00,2,,,Jan26,2020,1,26
,France,1/26/2020 16:00,3,,,Jan26,2020,1,26
,Australia,1/26/2020 16:00,4,,,Jan26,2020,1,26
,Nepal,1/26/2020 16:00,1,,,Jan26,2020,1,26
,Malaysia ,1/26/2020 16:00,4,,,Jan26,2020,1,26
Ontario,Canada,1/26/2020 16:00,1,,,Jan26,2020,1,26
