Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,datetime,date,year,month,day,hr,min
Hubei,Mainland China,2020-02-10 23:33:02,31728,974,2222,2020-02-10 19:30:00,Feb10,2020,2,10,19,30
Guangdong,Mainland China,2020-02-10 13:43:02,1159,1,167,2020-02-10 19:30:00,Feb10,2020,2,10,19,30
Zhejiang,Mainland China,2020-02-10 14:13:12,1092,0,242,2020-02-10 19:30:00,Feb10,2020,2,10,19,30
Henan,Mainland China,2020-02-10 13:53:02,1073,6,191,2020-02-10 19:30:00,Feb10,2020,2,10,19,30
Hunan,Mainland China,2020-02-10 13:53:02,879,1,208,2020-02-10 19:30:00,Feb10,2020,2,10,19,30
Anhui,Mainland China,2020-02-10 07:23:04,830,3,88,2020-02-10 19:30:00,Feb10,2020,2,10,19,30
Jiangxi,Mainland China,2020-02-10 13:53:02,771,1,105,2020-02-10 19:30:00,Feb10,2020,2,10,19,30
Jiangsu,Mainland China,2020-02-10 14:03:05,492,0,81,2020-02-10 19:30:00,Feb10,2020,2,10,19,30
Chongqing,Mainland China,2020-02-10 23:43:02,486,2,66,2020-02-10 19:30:00,Feb10,2020,2,10,19,30
Shandong,Mainland China,2020-02-10 09:33:02,466,1,66,2020-02-10 19:30:00,Feb10,2020,2,10,19,30
Sichuan,Mainland China,2020-02-10 10:03:02,405,1,80,2020-02-10 19:30:00,Feb10,2020,2,10,19,30
Beijing,Mainland China,2020-02-10 03:13:08,337,2,44,2020-02-10 19:30:00,Feb10,2020,2,10,19,30
Heilongjiang,Mainland China,2020-02-10 07:33:05,331,7,30,2020-02-10 19:30:00,Feb10,2020,2,10,19,30
Shanghai,Mainland China,2020-02-10 06:03:13,299,1,48,2020-02-10 19:30:00,Feb10,2020,2,10,19,30
Fujian,Mainland China,2020-02-10 14:03:05,261,0,39,2020-02-10 19:30:00,Feb10,2020,2,10,19,30
Hebei,Mainland China,2020-02-10 10:03:02,218,2,41,2020-02-10 19:30:00,Feb10,2020,2,10,19,30
Shaanxi,Mainland China,2020-02-10 13:23:06,213,0,30,2020-02-10 19:30:00,Feb10,2020,2,10,19,30
Guangxi,Mainland China,2020-02-10 14:03:05,210,1,24,2020-02-10 19:30:00,Feb10,2020,2,10,19,30
Yunnan,Mainland China,2020-02-10 09:43:02,149,0,19,2020-02-10 19:30:00,Feb10,2020,2,10,19,30
Hainan,Mainland China,2020-02-10 09:33:02,138,3,19,2020-02-10 19:30:00,Feb10,2020,2,10,19,30
Diamond Princess cruise ship,Others,2020-02-10 16:03:12,135,0,0,2020-02-10 19:30:00,Feb10,2020,2,10,19,30
Shanxi,Mainland China,2020-02-09 23:43:02,119,0,25,2020-02-10 19:30:00,Feb10,2020,2,10,19,30
Guizhou,Mainland China,2020-02-10 12:33:02,109,1,10,2020-02-10 19:30:00,Feb10,2020,2,10,19,30
Liaoning,Mainland China,2020-02-10 14:03:05,108,0,13,2020-02-10 19:30:00,Feb10,2020,2,10,19,30
Tianjin,Mainland China,2020-02-10 14:23:08,95,1,8,2020-02-10 19:30:00,Feb10,2020,2,10,19,30
Gansu,Mainland China,2020-02-11 00:13:04,86,2,21,2020-02-10 19:30:00,Feb10,2020,2,10,19,30
Jilin,Mainland China,2020-02-11 00:23:02,81,1,13,2020-02-10 19:30:00,Feb10,2020,2,10,19,30
Inner Mongolia,Mainland China,2020-02-10 02:43:05,58,0,5,2020-02-10 19:30:00,Feb10,2020,2,10,19,30
Ningxia,Mainland China,2020-02-10 01:43:02,49,0,13,2020-02-10 19:30:00,Feb10,2020,2,10,19,30
