Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Suspected,ConfnSusp,datetime,date,year,month,day,hr,min
Hubei,Mainland China,1/25/2020  12am,729.0,39.0,32.0,,729,2020-01-25,Jan25,2020,1,25,0,0
Guangdong,Mainland China,1/25/2020  12am,78.0,,2.0,,78,2020-01-25,Jan25,2020,1,25,0,0
Zhejiang,Mainland China,1/25/2020  12am,62.0,,1.0,,62,2020-01-25,Jan25,2020,1,25,0,0
Chongqing,Mainland China,1/25/2020  12am,57.0,,,,57,2020-01-25,Jan25,2020,1,25,0,0
Hunan,Mainland China,1/25/2020  12am,43.0,,,,43,2020-01-25,Jan25,2020,1,25,0,0
Anhui,Mainland China,1/25/2020  12am,39.0,,,4.0,43,2020-01-25,Jan25,2020,1,25,0,0
Beijing,Mainland China,1/25/2020  12am,36.0,,1.0,,36,2020-01-25,Jan25,2020,1,25,0,0
Shanghai,Mainland China,1/25/2020  12am,33.0,,1.0,22.0,55,2020-01-25,Jan25,2020,1,25,0,0
Henan,Mainland China,1/25/2020  12am,32.0,,,1.0,33,2020-01-25,Jan25,2020,1,25,0,0
Sichuan,Mainland China,1/25/2020  12am,28.0,,,4.0,32,2020-01-25,Jan25,2020,1,25,0,0
Guangxi,Mainland China,1/25/2020  12am,23.0,,,,23,2020-01-25,Jan25,2020,1,25,0,0
Shandong,Mainland China,1/25/2020  12am,21.0,,,,21,2020-01-25,Jan25,2020,1,25,0,0
Jiangxi,Mainland China,1/25/2020  12am,18.0,,,,18,2020-01-25,Jan25,2020,1,25,0,0
Jiangsu,Mainland China,1/25/2020  12am,18.0,,1.0,,18,2020-01-25,Jan25,2020,1,25,0,0
Hainan,Mainland China,1/25/2020  12am,17.0,,,,17,2020-01-25,Jan25,2020,1,25,0,0
Liaoning,Mainland China,1/25/2020  12am,15.0,,,,15,2020-01-25,Jan25,2020,1,25,0,0
Fujian,Mainland China,1/25/2020  12am,10.0,,,4.0,14,2020-01-25,Jan25,2020,1,25,0,0
Heilongjiang,Mainland China,1/25/2020  12am,9.0,1.0,,,9,2020-01-25,Jan25,2020,1,25,0,0
Tianjin,Mainland China,1/25/2020  12am,8.0,,,,8,2020-01-25,Jan25,2020,1,25,0,0
Hebei,Mainland China,1/25/2020  12am,8.0,1.0,,,8,2020-01-25,Jan25,2020,1,25,0,0
Shanxi,Mainland China,1/25/2020  12am,6.0,,,,6,2020-01-25,Jan25,2020,1,25,0,0
Yunnan,Mainland China,1/25/2020  12am,5.0,,,,5,2020-01-25,Jan25,2020,1,25,0,0
Hong Kong,Hong Kong,1/25/2020  12am,5.0,,,36.0,41,2020-01-25,Jan25,2020,1,25,0,0
Shaanxi,Mainland China,1/25/2020  12am,5.0,,,,5,2020-01-25,Jan25,2020,1,25,0,0
Guizhou,Mainland China,1/25/2020  12am,4.0,,,,4,2020-01-25,Jan25,2020,1,25,0,0
Jilin,Mainland China,1/25/2020  12am,4.0,,,,4,2020-01-25,Jan25,2020,1,25,0,0
Gansu,Mainland China,1/25/2020  12am,4.0,,,,4,2020-01-25,Jan25,2020,1,25,0,0
Ningxia,Mainland China,1/25/2020  12am,3.0,,,1.0,4,2020-01-25,Jan25,2020,1,25,0,0
Taiwan,Taiwan,1/25/2020  12am,3.0,,,,3,2020-01-25,Jan25,2020,1,25,0,0
Xinjiang,Mainland China,1/25/2020  12am,3.0,,,,3,2020-01-25,Jan25,2020,1,25,0,0
Macau,Macau,1/25/2020  12am,2.0,,,,2,2020-01-25,Jan25,2020,1,25,0,0
Inner Mongolia,Mainland China,1/25/2020  12am,2.0,,,,2,2020-01-25,Jan25,2020,1,25,0,0
Qinghai,Mainland China,1/25/2020  12am,,,,1.0,1,2020-01-25,Jan25,2020,1,25,0,0
Washington,US,1/25/2020  12am,1.0,,,,1,2020-01-25,Jan25,2020,1,25,0,0
Illinois,US,1/25/2020  12am,1.0,,,,1,2020-01-25,Jan25,2020,1,25,0,0
,Japan,1/25/2020  12am,2.0,,,,2,2020-01-25,Jan25,2020,1,25,0,0
,Thailand,1/25/2020  12am,5.0,,,,5,2020-01-25,Jan25,2020,1,25,0,0
,South Korea,1/25/2020  12am,2.0,,,,2,2020-01-25,Jan25,2020,1,25,0,0
,Singapore ,1/25/2020  12am,3.0,,,,3,2020-01-25,Jan25,2020,1,25,0,0
,Vietnam,1/25/2020  12am,2.0,,,,2,2020-01-25,Jan25,2020,1,25,0,0
,France,1/25/2020  12am,3.0,,,,3,2020-01-25,Jan25,2020,1,25,0,0
,Australia,1/25/2020  12am,1.0,,,,1,2020-01-25,Jan25,2020,1,25,0,0
,Nepal,1/25/2020  12am,1.0,,,,1,2020-01-25,Jan25,2020,1,25,0,0
,Malaysia ,1/25/2020  12am,3.0,,,,3,2020-01-25,Jan25,2020,1,25,0,0
