Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,datetime,date,year,month,day,hr,min
Hubei,Mainland China,2/6/20 12:33,19665,549,712,2020-02-06 13:18:00,Feb06,2020,2,6,13,18
Guangdong,Mainland China,2/6/20 12:43,970,0,69,2020-02-06 13:18:00,Feb06,2020,2,6,13,18
Zhejiang,Mainland China,2/6/20 10:53,954,0,94,2020-02-06 13:18:00,Feb06,2020,2,6,13,18
Henan,Mainland China,2/6/20 11:23,851,2,56,2020-02-06 13:18:00,Feb06,2020,2,6,13,18
Hunan,Mainland China,2/6/20 13:13,711,0,81,2020-02-06 13:18:00,Feb06,2020,2,6,13,18
Jiangxi,Mainland China,2/6/20 2:33,600,0,37,2020-02-06 13:18:00,Feb06,2020,2,6,13,18
Anhui,Mainland China,2/6/20 13:33,591,0,34,2020-02-06 13:18:00,Feb06,2020,2,6,13,18
Chongqing,Mainland China,2/6/20 13:43,400,2,24,2020-02-06 13:18:00,Feb06,2020,2,6,13,18
Jiangsu,Mainland China,2/6/20 8:03,373,0,34,2020-02-06 13:18:00,Feb06,2020,2,6,13,18
Shandong,Mainland China,2/6/20 7:53,347,0,27,2020-02-06 13:18:00,Feb06,2020,2,6,13,18
Sichuan,Mainland China,2/6/20 8:03,321,1,31,2020-02-06 13:18:00,Feb06,2020,2,6,13,18
Beijing,Mainland China,2/6/20 3:23,274,1,31,2020-02-06 13:18:00,Feb06,2020,2,6,13,18
Shanghai,Mainland China,2/6/20 6:53,257,1,25,2020-02-06 13:18:00,Feb06,2020,2,6,13,18
Heilongjiang,Mainland China,2/6/20 8:13,227,3,8,2020-02-06 13:18:00,Feb06,2020,2,6,13,18
Fujian,Mainland China,2/6/20 11:03,215,0,14,2020-02-06 13:18:00,Feb06,2020,2,6,13,18
Shaanxi,Mainland China,2/6/20 13:53,173,0,9,2020-02-06 13:18:00,Feb06,2020,2,6,13,18
Guangxi,Mainland China,2/6/20 4:13,168,0,14,2020-02-06 13:18:00,Feb06,2020,2,6,13,18
Hebei,Mainland China,2/6/20 13:53,157,1,13,2020-02-06 13:18:00,Feb06,2020,2,6,13,18
Yunnan,Mainland China,2/6/20 9:43,133,0,7,2020-02-06 13:18:00,Feb06,2020,2,6,13,18
Hainan,Mainland China,2/6/20 11:13,106,1,8,2020-02-06 13:18:00,Feb06,2020,2,6,13,18
Liaoning,Mainland China,2/6/20 11:13,91,0,5,2020-02-06 13:18:00,Feb06,2020,2,6,13,18
Shanxi,Mainland China,2/6/20 14:13,90,0,12,2020-02-06 13:18:00,Feb06,2020,2,6,13,18
Tianjin,Mainland China,2/6/20 6:23,78,1,2,2020-02-06 13:18:00,Feb06,2020,2,6,13,18
Guizhou,Mainland China,2/6/20 9:53,71,1,6,2020-02-06 13:18:00,Feb06,2020,2,6,13,18
Gansu,Mainland China,2/5/20 16:23,62,0,6,2020-02-06 13:18:00,Feb06,2020,2,6,13,18
Jilin,Mainland China,2/6/20 14:23,59,0,4,2020-02-06 13:18:00,Feb06,2020,2,6,13,18
Inner Mongolia,Mainland China,2/6/20 2:23,46,0,4,2020-02-06 13:18:00,Feb06,2020,2,6,13,18
,Japan,2/6/20 2:53,45,0,1,2020-02-06 13:18:00,Feb06,2020,2,6,13,18
Ningxia,Mainland China,2/6/20 2:13,40,0,1,2020-02-06 13:18:00,Feb06,2020,2,6,13,18
Xinjiang,Mainland China,2/6/20 1:13,36,0,0,2020-02-06 13:18:00,Feb06,2020,2,6,13,18
,Singapore,2/5/20 16:33,28,0,0,2020-02-06 13:18:00,Feb06,2020,2,6,13,18
,Thailand,2/4/20 15:33,25,0,5,2020-02-06 13:18:00,Feb06,2020,2,6,13,18
,South Korea,2/6/20 2:53,23,0,0,2020-02-06 13:18:00,Feb06,2020,2,6,13,18
Hong Kong,Hong Kong,2/5/20 13:13,21,1,0,2020-02-06 13:18:00,Feb06,2020,2,6,13,18
Qinghai,Mainland China,2/6/20 2:13,18,0,3,2020-02-06 13:18:00,Feb06,2020,2,6,13,18
Taiwan,Taiwan,2/6/20 9:03,13,0,1,2020-02-06 13:18:00,Feb06,2020,2,6,13,18
,Germany,2/3/20 20:53,12,0,0,2020-02-06 13:18:00,Feb06,2020,2,6,13,18
,Malaysia,2/5/20 15:43,12,0,0,2020-02-06 13:18:00,Feb06,2020,2,6,13,18
Macau,Macau,2/6/20 14:23,10,0,1,2020-02-06 13:18:00,Feb06,2020,2,6,13,18
,Vietnam,2/6/20 1:13,10,0,1,2020-02-06 13:18:00,Feb06,2020,2,6,13,18
,France,2/1/20 1:52,6,0,0,2020-02-06 13:18:00,Feb06,2020,2,6,13,18
,United Arab Emirates,2/2/20 5:43,5,0,0,2020-02-06 13:18:00,Feb06,2020,2,6,13,18
New South Wales,Australia,2/6/20 3:13,4,0,2,2020-02-06 13:18:00,Feb06,2020,2,6,13,18
Queensland,Australia,2/6/20 2:53,4,0,0,2020-02-06 13:18:00,Feb06,2020,2,6,13,18
Victoria,Australia,2/1/20 18:12,4,0,0,2020-02-06 13:18:00,Feb06,2020,2,6,13,18
,India,2/3/20 21:43,3,0,0,2020-02-06 13:18:00,Feb06,2020,2,6,13,18
South Australia,Australia,2/2/20 22:33,2,0,0,2020-02-06 13:18:00,Feb06,2020,2,6,13,18
British Columbia,Canada,2/5/20 17:33,2,0,0,2020-02-06 13:18:00,Feb06,2020,2,6,13,18
"Toronto, ON",Canada,2/4/20 0:13,2,0,0,2020-02-06 13:18:00,Feb06,2020,2,6,13,18
,Italy,1/31/20 8:15,2,0,0,2020-02-06 13:18:00,Feb06,2020,2,6,13,18
,Philippines,2/2/20 3:33,2,1,0,2020-02-06 13:18:00,Feb06,2020,2,6,13,18
,Russia,1/31/20 16:13,2,0,0,2020-02-06 13:18:00,Feb06,2020,2,6,13,18
,UK,2/1/20 1:52,2,0,0,2020-02-06 13:18:00,Feb06,2020,2,6,13,18
"Chicago, IL",US,2/1/20 19:43,2,0,0,2020-02-06 13:18:00,Feb06,2020,2,6,13,18
"San Benito, CA",US,2/3/20 3:53,2,0,0,2020-02-06 13:18:00,Feb06,2020,2,6,13,18
"Santa Clara, CA",US,2/3/20 0:43,2,0,0,2020-02-06 13:18:00,Feb06,2020,2,6,13,18
,Belgium,2/4/20 15:43,1,0,0,2020-02-06 13:18:00,Feb06,2020,2,6,13,18
,Cambodia,1/31/20 8:15,1,0,0,2020-02-06 13:18:00,Feb06,2020,2,6,13,18
"London, ON",Canada,2/4/20 0:03,1,0,0,2020-02-06 13:18:00,Feb06,2020,2,6,13,18
,Finland,1/31/20 8:15,1,0,0,2020-02-06 13:18:00,Feb06,2020,2,6,13,18
Tibet,Mainland China,2/1/20 1:52,1,0,0,2020-02-06 13:18:00,Feb06,2020,2,6,13,18
,Nepal,1/31/20 8:15,1,0,0,2020-02-06 13:18:00,Feb06,2020,2,6,13,18
,Spain,2/1/20 23:43,1,0,0,2020-02-06 13:18:00,Feb06,2020,2,6,13,18
,Sri Lanka,1/31/20 8:15,1,0,0,2020-02-06 13:18:00,Feb06,2020,2,6,13,18
,Sweden,2/1/20 2:13,1,0,0,2020-02-06 13:18:00,Feb06,2020,2,6,13,18
"Boston, MA",US,2/1/20 19:43,1,0,0,2020-02-06 13:18:00,Feb06,2020,2,6,13,18
"Los Angeles, CA",US,2/1/20 19:53,1,0,0,2020-02-06 13:18:00,Feb06,2020,2,6,13,18
"Madison, WI",US,2/5/20 21:53,1,0,0,2020-02-06 13:18:00,Feb06,2020,2,6,13,18
