Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,datetime,date,year,month,day,hr,min
Hubei,Mainland China,2/1/2020 23:33:00,11177,350,295,2020-02-02 05:00:00,Feb02,2020,2,2,5,0
Zhejiang,Mainland China,2/2/2020 2:13:00,661,0,32,2020-02-02 05:00:00,Feb02,2020,2,2,5,0
Guangdong,Mainland China,2/2/2020 8:53:00,632,0,15,2020-02-02 05:00:00,Feb02,2020,2,2,5,0
Henan,Mainland China,2/2/2020 0:53:00,493,2,10,2020-02-02 05:00:00,Feb02,2020,2,2,5,0
Hunan,Mainland China,2/2/2020 9:43:00,463,0,16,2020-02-02 05:00:00,Feb02,2020,2,2,5,0
Anhui,Mainland China,2/2/2020 1:33:00,340,0,7,2020-02-02 05:00:00,Feb02,2020,2,2,5,0
Jiangxi,Mainland China,2/2/2020 1:23:00,333,0,12,2020-02-02 05:00:00,Feb02,2020,2,2,5,0
Chongqing,Mainland China,2/2/2020 8:23:00,300,2,7,2020-02-02 05:00:00,Feb02,2020,2,2,5,0
Jiangsu,Mainland China,2/2/2020 1:13:00,236,0,7,2020-02-02 05:00:00,Feb02,2020,2,2,5,0
Sichuan,Mainland China,2/2/2020 1:03:00,231,1,11,2020-02-02 05:00:00,Feb02,2020,2,2,5,0
Shandong,Mainland China,2/2/2020 7:43:00,230,0,6,2020-02-02 05:00:00,Feb02,2020,2,2,5,0
Shanghai,Mainland China,2/2/2020 8:43:00,193,1,10,2020-02-02 05:00:00,Feb02,2020,2,2,5,0
Beijing,Mainland China,2/2/2020 5:53:00,191,1,9,2020-02-02 05:00:00,Feb02,2020,2,2,5,0
Fujian,Mainland China,2/2/2020 3:43:00,159,0,0,2020-02-02 05:00:00,Feb02,2020,2,2,5,0
Guangxi,Mainland China,2/2/2020 3:23:00,127,0,2,2020-02-02 05:00:00,Feb02,2020,2,2,5,0
Shaanxi,Mainland China,2/2/2020 0:23:00,116,0,0,2020-02-02 05:00:00,Feb02,2020,2,2,5,0
Hebei,Mainland China,2/2/2020 2:53:00,113,1,3,2020-02-02 05:00:00,Feb02,2020,2,2,5,0
Yunnan,Mainland China,2/2/2020 8:03:00,105,0,3,2020-02-02 05:00:00,Feb02,2020,2,2,5,0
Heilongjiang,Mainland China,2/2/2020 3:23:00,95,2,2,2020-02-02 05:00:00,Feb02,2020,2,2,5,0
Liaoning,Mainland China,2/2/2020 8:03:00,70,0,1,2020-02-02 05:00:00,Feb02,2020,2,2,5,0
Shanxi,Mainland China,2/2/2020 9:53:00,66,0,3,2020-02-02 05:00:00,Feb02,2020,2,2,5,0
Hainan,Mainland China,2/1/2020 23:33:00,64,1,4,2020-02-02 05:00:00,Feb02,2020,2,2,5,0
Gansu,Mainland China,2/2/2020 9:43:00,51,0,3,2020-02-02 05:00:00,Feb02,2020,2,2,5,0
Tianjin,Mainland China,2/1/2020 15:43:00,48,0,1,2020-02-02 05:00:00,Feb02,2020,2,2,5,0
Guizhou,Mainland China,2/2/2020 1:03:00,38,0,2,2020-02-02 05:00:00,Feb02,2020,2,2,5,0
Ningxia,Mainland China,2/2/2020 1:43:00,28,0,0,2020-02-02 05:00:00,Feb02,2020,2,2,5,0
Inner Mongolia,Mainland China,2/2/2020 3:43:00,27,0,1,2020-02-02 05:00:00,Feb02,2020,2,2,5,0
Jilin,Mainland China,2/2/2020 2:33:00,23,0,1,2020-02-02 05:00:00,Feb02,2020,2,2,5,0
Xinjiang,Mainland China,2/2/2020 0:43:00,21,0,0,2020-02-02 05:00:00,Feb02,2020,2,2,5,0
,Japan,2/1/2020 18:53:00,20,0,1,2020-02-02 05:00:00,Feb02,2020,2,2,5,0
,Thailand,1/31/2020 10:37:00,19,0,5,2020-02-02 05:00:00,Feb02,2020,2,2,5,0
,Singapore,2/2/2020 1:03:00,18,0,0,2020-02-02 05:00:00,Feb02,2020,2,2,5,0
