Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,date,year,month,day
Hubei,Mainland China,2020-02-11T23:33:02,33366,1068,2639,Feb11,2020,2,11
Guangdong,Mainland China,2020-02-11T14:03:05,1177,1,212,Feb11,2020,2,11
Zhejiang,Mainland China,2020-02-11T12:53:02,1117,0,270,Feb11,2020,2,11
Henan,Mainland China,2020-02-11T14:03:05,1105,7,218,Feb11,2020,2,11
Hunan,Mainland China,2020-02-11T12:53:02,912,1,247,Feb11,2020,2,11
Anhui,Mainland China,2020-02-11T09:43:02,860,4,105,Feb11,2020,2,11
Jiangxi,Mainland China,2020-02-11T14:03:05,804,1,128,Feb11,2020,2,11
Jiangsu,Mainland China,2020-02-11T08:13:06,515,0,93,Feb11,2020,2,11
Chongqing,Mainland China,2020-02-11T23:53:02,505,3,79,Feb11,2020,2,11
Shandong,Mainland China,2020-02-11T11:23:04,487,1,80,Feb11,2020,2,11
Sichuan,Mainland China,2020-02-11T11:23:04,417,1,85,Feb11,2020,2,11
Heilongjiang,Mainland China,2020-02-11T11:23:04,360,8,28,Feb11,2020,2,11
Beijing,Mainland China,2020-02-11T03:03:07,342,3,48,Feb11,2020,2,11
Shanghai,Mainland China,2020-02-11T06:23:02,303,1,52,Feb11,2020,2,11
Fujian,Mainland China,2020-02-11T14:03:05,267,0,45,Feb11,2020,2,11
Hebei,Mainland China,2020-02-11T11:23:04,239,2,48,Feb11,2020,2,11
Shaanxi,Mainland China,2020-02-11T06:03:16,219,0,32,Feb11,2020,2,11
Guangxi,Mainland China,2020-02-11T11:23:04,215,1,33,Feb11,2020,2,11
Yunnan,Mainland China,2020-02-11T09:23:04,153,0,20,Feb11,2020,2,11
Hainan,Mainland China,2020-02-11T14:33:02,144,3,20,Feb11,2020,2,11
Diamond Princess cruise ship,Others,2020-02-10T16:03:12,135,0,0,Feb11,2020,2,11
Guizhou,Mainland China,2020-02-11T14:03:05,127,1,17,Feb11,2020,2,11
Shanxi,Mainland China,2020-02-11T23:33:02,124,0,30,Feb11,2020,2,11
Liaoning,Mainland China,2020-02-11T12:53:02,111,0,19,Feb11,2020,2,11
Tianjin,Mainland China,2020-02-11T23:13:05,106,2,10,Feb11,2020,2,11
Gansu,Mainland China,2020-02-11T15:23:04,86,2,24,Feb11,2020,2,11
Jilin,Mainland China,2020-02-11T08:03:06,81,1,18,Feb11,2020,2,11
Inner Mongolia,Mainland China,2020-02-10T02:43:05,58,0,5,Feb11,2020,2,11
Xinjiang,Mainland China,2020-02-11T09:13:11,55,0,3,Feb11,2020,2,11
Ningxia,Mainland China,2020-02-11T10:03:08,53,0,22,Feb11,2020,2,11
Hong Kong,Hong Kong,2020-02-11T09:43:02,49,1,0,Feb11,2020,2,11
,Singapore,2020-02-11T16:43:06,47,0,9,Feb11,2020,2,11
,Thailand,2020-02-11T18:43:04,33,0,10,Feb11,2020,2,11
,South Korea,2020-02-11T02:53:02,28,0,3,Feb11,2020,2,11
,Japan,2020-02-11T02:53:02,26,0,9,Feb11,2020,2,11
Qinghai,Mainland China,2020-02-11T11:23:04,18,0,5,Feb11,2020,2,11
,Malaysia,2020-02-11T03:13:13,18,0,3,Feb11,2020,2,11
Taiwan,Taiwan,2020-02-09T09:13:11,18,0,1,Feb11,2020,2,11
,Germany,2020-02-11T19:33:03,16,0,0,Feb11,2020,2,11
,Vietnam,2020-02-11T16:43:06,15,0,6,Feb11,2020,2,11
,France,2020-02-08T09:53:01,11,0,0,Feb11,2020,2,11
Macau,Macau,2020-02-06T14:23:04,10,0,1,Feb11,2020,2,11
,UK,2020-02-10T19:03:02,8,0,0,Feb11,2020,2,11
,United Arab Emirates,2020-02-10T23:03:09,8,0,0,Feb11,2020,2,11
Queensland,Australia,2020-02-09T19:33:02,5,0,0,Feb11,2020,2,11
New South Wales,Australia,2020-02-06T03:13:22,4,0,2,Feb11,2020,2,11
Victoria,Australia,2020-02-01T18:12:49,4,0,0,Feb11,2020,2,11
British Columbia,Canada,2020-02-07T05:43:03,4,0,0,Feb11,2020,2,11
,India,2020-02-03T21:43:02,3,0,0,Feb11,2020,2,11
,Italy,2020-02-07T17:53:02,3,0,0,Feb11,2020,2,11
,Philippines,2020-02-07T16:43:04,3,1,0,Feb11,2020,2,11
South Australia,Australia,2020-02-02T22:33:07,2,0,0,Feb11,2020,2,11
"Toronto, ON",Canada,2020-02-04T00:13:06,2,0,0,Feb11,2020,2,11
,Russia,2020-01-31T16:13:45,2,0,0,Feb11,2020,2,11
,Spain,2020-02-09T20:33:03,2,0,0,Feb11,2020,2,11
"Chicago, IL",US,2020-02-09T19:03:03,2,0,2,Feb11,2020,2,11
"San Benito, CA",US,2020-02-03T03:53:02,2,0,0,Feb11,2020,2,11
"Santa Clara, CA",US,2020-02-03T00:43:02,2,0,0,Feb11,2020,2,11
,Belgium,2020-02-04T15:43:02,1,0,0,Feb11,2020,2,11
