Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,date,year,month,day,Latitude,Longitude
Hubei,Mainland China,2020-02-12T14:13:08,33366,1068,2686,Feb12,2020,2,12,30.9756,112.2707
Guangdong,Mainland China,2020-02-12T12:23:09,1219,1,275,Feb12,2020,2,12,23.3417,113.4244
Henan,Mainland China,2020-02-12T14:13:08,1135,8,246,Feb12,2020,2,12,33.882,113.614
Zhejiang,Mainland China,2020-02-12T10:13:20,1131,0,321,Feb12,2020,2,12,29.1832,120.0934
Hunan,Mainland China,2020-02-12T12:43:03,946,2,304,Feb12,2020,2,12,27.6104,111.7088
Anhui,Mainland China,2020-02-12T10:13:20,889,4,127,Feb12,2020,2,12,31.8257,117.2264
Jiangxi,Mainland China,2020-02-12T01:23:06,844,1,152,Feb12,2020,2,12,27.614,115.7221
Jiangsu,Mainland China,2020-02-12T14:13:08,543,0,125,Feb12,2020,2,12,32.9711,119.455
Chongqing,Mainland China,2020-02-12T23:13:08,518,3,102,Feb12,2020,2,12,30.0572,107.874
Shandong,Mainland China,2020-02-12T11:13:05,497,2,92,Feb12,2020,2,12,36.3427,118.1498
Sichuan,Mainland China,2020-02-12T12:43:03,436,1,92,Feb12,2020,2,12,30.6171,102.7103
Heilongjiang,Mainland China,2020-02-12T14:13:08,378,8,31,Feb12,2020,2,12,47.862,127.7615
Beijing,Mainland China,2020-02-12T02:43:03,352,3,56,Feb12,2020,2,12,40.1824,116.4142
Shanghai,Mainland China,2020-02-12T06:23:08,311,1,57,Feb12,2020,2,12,31.202,121.4491
Fujian,Mainland China,2020-02-12T11:53:02,272,0,53,Feb12,2020,2,12,26.0789,117.9874
Hebei,Mainland China,2020-02-12T11:13:05,251,2,54,Feb12,2020,2,12,38.0428,114.5149
Shaanxi,Mainland China,2020-02-12T11:13:05,225,0,43,Feb12,2020,2,12,35.1917,108.8701
Guangxi,Mainland China,2020-02-12T15:03:05,222,1,32,Feb12,2020,2,12,23.8298,108.7881
Diamond Princess cruise ship,Others,2020-02-12T04:23:38,175,0,0,Feb12,2020,2,12,35.4437,139.638
Hainan,Mainland China,2020-02-12T17:03:03,157,4,27,Feb12,2020,2,12,19.1959,109.7453
Yunnan,Mainland China,2020-02-12T14:13:08,154,0,26,Feb12,2020,2,12,24.974,101.487
Guizhou,Mainland China,2020-02-12T09:43:02,133,1,18,Feb12,2020,2,12,26.8154,106.8748
Shanxi,Mainland China,2020-02-12T23:03:02,126,0,33,Feb12,2020,2,12,37.5777,112.2922
Liaoning,Mainland China,2020-02-12T13:33:02,116,1,20,Feb12,2020,2,12,41.2956,122.6085
Tianjin,Mainland China,2020-02-12T15:03:05,112,2,11,Feb12,2020,2,12,39.3054,117.323
Gansu,Mainland China,2020-02-12T23:23:01,87,2,31,Feb12,2020,2,12,36.0611,103.8343
Jilin,Mainland China,2020-02-12T14:13:08,83,1,22,Feb12,2020,2,12,43.6661,126.1923
Inner Mongolia,Mainland China,2020-02-12T11:13:05,60,0,6,Feb12,2020,2,12,44.0935,113.9448
Xinjiang,Mainland China,2020-02-12T01:43:02,59,0,3,Feb12,2020,2,12,41.1129,85.2401
Ningxia,Mainland China,2020-02-12T11:13:05,58,0,24,Feb12,2020,2,12,37.2692,106.1655
Hong Kong,Hong Kong,2020-02-12T09:53:02,50,1,1,Feb12,2020,2,12,22.3,114.2
,Singapore,2020-02-12T19:53:02,50,0,15,Feb12,2020,2,12,1.2833,103.8333
,Thailand,2020-02-11T18:43:04,33,0,10,Feb12,2020,2,12,15.0,101.0
,Japan,2020-02-12T02:43:03,28,0,9,Feb12,2020,2,12,36.0,138.0
,South Korea,2020-02-12T14:43:03,28,0,7,Feb12,2020,2,12,36.0,128.0
Qinghai,Mainland China,2020-02-12T08:03:06,18,0,9,Feb12,2020,2,12,35.7452,95.9956
,Malaysia,2020-02-11T03:13:13,18,0,3,Feb12,2020,2,12,2.5,112.5
Taiwan,Taiwan,2020-02-09T09:13:11,18,0,1,Feb12,2020,2,12,23.7,121.0
,Germany,2020-02-11T19:33:03,16,0,0,Feb12,2020,2,12,51.0,9.0
,Vietnam,2020-02-11T16:43:06,15,0,6,Feb12,2020,2,12,16.0,108.0
,France,2020-02-12T18:53:02,11,0,2,Feb12,2020,2,12,47.0,2.0
Macau,Macau,2020-02-12T09:53:02,10,0,2,Feb12,2020,2,12,22.1667,113.55
,UK,2020-02-12T19:03:06,9,0,1,Feb12,2020,2,12,55.0,-3.0
,United Arab Emirates,2020-02-12T00:33:02,8,0,1,Feb12,2020,2,12,24.0,54.0
Queensland,Australia,2020-02-09T19:33:02,5,0,0,Feb12,2020,2,12,-28.0167,153.4
New South Wales,Australia,2020-02-06T03:13:22,4,0,2,Feb12,2020,2,12,-33.8688,151.2093
Victoria,Australia,2020-02-01T18:12:49,4,0,0,Feb12,2020,2,12,-37.8136,144.9631
British Columbia,Canada,2020-02-07T05:43:03,4,0,0,Feb12,2020,2,12,49.2827,-123.1207
,India,2020-02-03T21:43:02,3,0,0,Feb12,2020,2,12,21.0,78.0
,Italy,2020-02-07T17:53:02,3,0,0,Feb12,2020,2,12,43.0,12.0
,Philippines,2020-02-12T07:43:02,3,1,1,Feb12,2020,2,12,13.0,122.0
South Australia,Australia,2020-02-02T22:33:07,2,0,0,Feb12,2020,2,12,-34.9285,138.6007
"Toronto, ON",Canada,2020-02-04T00:13:06,2,0,0,Feb12,2020,2,12,43.6532,-79.3832
,Russia,2020-02-12T14:43:03,2,0,2,Feb12,2020,2,12,60.0,90.0
,Spain,2020-02-09T20:33:03,2,0,0,Feb12,2020,2,12,40.0,-4.0
"Chicago, IL",US,2020-02-09T19:03:03,2,0,2,Feb12,2020,2,12,41.8781,-87.6298
"San Benito, CA",US,2020-02-03T03:53:02,2,0,0,Feb12,2020,2,12,36.5761,-120.9876
"Santa Clara, CA",US,2020-02-03T00:43:02,2,0,0,Feb12,2020,2,12,37.3541,-121.9552
,Belgium,2020-02-04T15:43:02,1,0,0,Feb12,2020,2,12,50.8333,4.0
,Cambodia,2020-02-12T07:43:02,1,0,1,Feb12,2020,2,12,11.55,104.9167
"London, ON",Canada,2020-02-12T18:53:03,1,0,1,Feb12,2020,2,12,42.9849,-81.2453
,Finland,2020-02-12T00:03:12,1,0,1,Feb12,2020,2,12,64.0,26.0
Tibet,Mainland China,2020-02-12T06:43:02,1,0,1,Feb12,2020,2,12,31.6927,88.0924
,Nepal,2020-02-12T14:43:03,1,0,1,Feb12,2020,2,12,28.1667,84.25
,Sri Lanka,2020-02-08T03:43:03,1,0,1,Feb12,2020,2,12,7.0,81.0
,Sweden,2020-02-01T02:13:26,1,0,0,Feb12,2020,2,12,63.0,16.0
"Boston, MA",US,2020-02-01T19:43:03,1,0,0,Feb12,2020,2,12,42.3601,-71.0589
"Los Angeles, CA",US,2020-02-01T19:53:03,1,0,0,Feb12,2020,2,12,34.0522,-118.2437
"Madison, WI",US,2020-02-05T21:53:02,1,0,0,Feb12,2020,2,12,43.0731,-89.4012
"Orange, CA",US,2020-02-01T19:53:03,1,0,0,Feb12,2020,2,12,33.7879,-117.8531
"San Diego County, CA",US,2020-02-11T01:23:05,1,0,0,Feb12,2020,2,12,32.7157,-117.1611
"Seattle, WA",US,2020-02-09T07:03:04,1,0,1,Feb12,2020,2,12,47.6062,-122.3321
"Tempe, AZ",US,2020-02-01T19:43:03,1,0,0,Feb12,2020,2,12,33.4255,-111.94
