Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,date,year,month,day,Latitude,Longitude
Hubei,Mainland China,2020-02-29T12:13:10,66337,2727,28993,Feb29,2020,2,29,30.9756,112.2707
,South Korea,2020-02-29T18:13:07,3150,16,27,Feb29,2020,2,29,36.0,128.0
Guangdong,Mainland China,2020-02-29T15:33:03,1349,7,983,Feb29,2020,2,29,23.3417,113.4244
Henan,Mainland China,2020-02-29T12:43:05,1272,21,1170,Feb29,2020,2,29,33.882,113.614
Zhejiang,Mainland China,2020-02-29T09:13:10,1205,1,1016,Feb29,2020,2,29,29.1832,120.0934
,Italy,2020-02-29T18:03:05,1128,29,46,Feb29,2020,2,29,43.0,12.0
Hunan,Mainland China,2020-02-29T15:33:03,1018,4,846,Feb29,2020,2,29,27.6104,111.7088
Anhui,Mainland China,2020-02-29T05:03:13,990,6,868,Feb29,2020,2,29,31.8257,117.2264
Jiangxi,Mainland China,2020-02-29T01:23:07,935,1,811,Feb29,2020,2,29,27.614,115.7221
Shandong,Mainland China,2020-02-29T15:33:03,756,6,421,Feb29,2020,2,29,36.3427,118.1498
Diamond Princess cruise ship,Others,2020-02-29T01:43:02,705,6,10,Feb29,2020,2,29,35.4437,139.638
Jiangsu,Mainland China,2020-02-29T07:23:11,631,0,523,Feb29,2020,2,29,32.9711,119.455
,Iran,2020-02-29T14:53:04,593,43,123,Feb29,2020,2,29,32.0,53.0
Chongqing,Mainland China,2020-02-29T23:13:06,576,6,438,Feb29,2020,2,29,30.0572,107.874
Sichuan,Mainland China,2020-02-29T12:03:07,538,3,351,Feb29,2020,2,29,30.6171,102.7103
Heilongjiang,Mainland China,2020-02-29T12:03:07,480,13,301,Feb29,2020,2,29,47.862,127.7615
Beijing,Mainland China,2020-02-29T03:33:02,411,8,271,Feb29,2020,2,29,40.1824,116.4142
Shanghai,Mainland China,2020-02-29T06:23:03,337,3,287,Feb29,2020,2,29,31.202,121.4491
Hebei,Mainland China,2020-02-29T15:33:03,318,6,282,Feb29,2020,2,29,38.0428,114.5149
Fujian,Mainland China,2020-02-29T15:33:03,296,1,243,Feb29,2020,2,29,26.0789,117.9874
Guangxi,Mainland China,2020-02-29T12:03:07,252,2,176,Feb29,2020,2,29,23.8298,108.7881
Shaanxi,Mainland China,2020-02-29T09:03:06,245,1,207,Feb29,2020,2,29,35.1917,108.8701
,Japan,2020-02-29T15:53:04,241,5,32,Feb29,2020,2,29,36.0,138.0
Yunnan,Mainland China,2020-02-29T05:03:13,174,2,157,Feb29,2020,2,29,24.974,101.487
Hainan,Mainland China,2020-02-29T23:43:02,168,5,148,Feb29,2020,2,29,19.1959,109.7453
Guizhou,Mainland China,2020-02-27T00:43:02,146,2,112,Feb29,2020,2,29,26.8154,106.8748
Tianjin,Mainland China,2020-02-29T12:03:07,136,3,109,Feb29,2020,2,29,39.3054,117.323
Shanxi,Mainland China,2020-02-29T23:13:06,133,0,114,Feb29,2020,2,29,37.5777,112.2922
Liaoning,Mainland China,2020-02-29T15:33:03,121,1,96,Feb29,2020,2,29,41.2956,122.6085
,Singapore,2020-02-29T14:33:03,102,0,72,Feb29,2020,2,29,1.2833,103.8333
,France,2020-02-29T19:03:04,100,2,12,Feb29,2020,2,29,47.0,2.0
Hong Kong,Hong Kong,2020-02-29T23:53:02,95,2,33,Feb29,2020,2,29,22.3,114.2
Jilin,Mainland China,2020-02-29T09:13:10,93,1,75,Feb29,2020,2,29,43.6661,126.1923
Gansu,Mainland China,2020-02-28T02:33:02,91,2,82,Feb29,2020,2,29,36.0611,103.8343
,Germany,2020-02-29T14:43:03,79,0,16,Feb29,2020,2,29,51.0,9.0
Xinjiang,Mainland China,2020-02-29T12:03:07,76,3,62,Feb29,2020,2,29,41.1129,85.2401
Inner Mongolia,Mainland China,2020-02-29T09:03:06,75,0,49,Feb29,2020,2,29,44.0935,113.9448
Ningxia,Mainland China,2020-02-29T05:53:02,73,0,69,Feb29,2020,2,29,37.2692,106.1655
,Kuwait,2020-02-28T16:23:03,45,0,0,Feb29,2020,2,29,29.5,47.75
,Spain,2020-02-29T19:13:08,45,0,2,Feb29,2020,2,29,40.0,-4.0
Unassigned Location (From Diamond Princess),US,2020-02-28T20:03:03,44,0,0,Feb29,2020,2,29,35.4437,139.638
,Thailand,2020-02-29T12:33:03,42,0,28,Feb29,2020,2,29,15.0,101.0
,Bahrain,2020-02-29T18:03:05,41,0,0,Feb29,2020,2,29,26.0275,50.55
Taiwan,Taiwan,2020-02-29T07:13:05,39,1,9,Feb29,2020,2,29,23.7,121.0
,Malaysia,2020-02-29T04:03:18,25,0,18,Feb29,2020,2,29,2.5,112.5
,UK,2020-02-29T18:03:05,23,0,8,Feb29,2020,2,29,55.0,-3.0
,United Arab Emirates,2020-02-29T12:33:03,21,0,5,Feb29,2020,2,29,24.0,54.0
Qinghai,Mainland China,2020-02-21T04:43:02,18,0,18,Feb29,2020,2,29,35.7452,95.9956
,Switzerland,2020-02-29T18:03:05,18,0,0,Feb29,2020,2,29,46.8182,8.2275
,Vietnam,2020-02-25T08:53:02,16,0,16,Feb29,2020,2,29,16.0,108.0
,Norway,2020-02-29T23:13:06,15,0,0,Feb29,2020,2,29,60.472,8.4689
,Iraq,2020-02-29T18:03:05,13,0,0,Feb29,2020,2,29,33.0,44.0
,Sweden,2020-02-29T14:43:03,12,0,0,Feb29,2020,2,29,63.0,16.0
"Toronto, ON",Canada,2020-02-29T23:23:13,10,0,2,Feb29,2020,2,29,43.6532,-79.3832
Macau,Macau,2020-02-27T12:43:02,10,0,8,Feb29,2020,2,29,22.1667,113.55
Queensland,Australia,2020-02-29T02:03:10,9,0,1,Feb29,2020,2,29,-28.0167,153.4
,Austria,2020-02-29T14:43:03,9,0,0,Feb29,2020,2,29,47.5162,14.5501
British Columbia,Canada,2020-02-29T23:23:13,8,0,3,Feb29,2020,2,29,49.2827,-123.1207
Victoria,Australia,2020-02-29T02:03:10,7,0,4,Feb29,2020,2,29,-37.8136,144.9631
,Israel,2020-02-29T01:53:03,7,0,1,Feb29,2020,2,29,31.0,35.0
,Croatia,2020-02-29T18:03:05,6,0,0,Feb29,2020,2,29,45.1667,15.5
,Netherlands,2020-02-29T18:03:05,6,0,0,Feb29,2020,2,29,52.1326,5.2913
,Oman,2020-02-29T12:33:03,6,0,1,Feb29,2020,2,29,21.0,57.0
"Seattle, WA",US,2020-02-29T22:33:03,6,1,1,Feb29,2020,2,29,47.6062,-122.3321
New South Wales,Australia,2020-02-13T17:53:03,4,0,4,Feb29,2020,2,29,-33.8688,151.2093
,Greece,2020-02-28T15:33:03,4,0,0,Feb29,2020,2,29,39.0742,21.8243
,Lebanon,2020-02-29T01:53:03,4,0,0,Feb29,2020,2,29,33.8547,35.8623
,Mexico,2020-02-29T21:13:17,4,0,0,Feb29,2020,2,29,23.0,-102.0
,Pakistan,2020-02-29T18:03:05,4,0,0,Feb29,2020,2,29,30.3753,69.3451
South Australia,Australia,2020-02-29T02:03:10,3,0,2,Feb29,2020,2,29,-34.9285,138.6007
,Denmark,2020-02-29T18:03:05,3,0,0,Feb29,2020,2,29,56.2639,9.5018
,Finland,2020-02-29T05:23:03,3,0,1,Feb29,2020,2,29,64.0,26.0
,India,2020-02-16T07:43:02,3,0,3,Feb29,2020,2,29,21.0,78.0
,Philippines,2020-02-12T07:43:02,3,1,1,Feb29,2020,2,29,13.0,122.0
,Romania,2020-02-28T15:33:03,3,0,0,Feb29,2020,2,29,46.0,25.0
"Santa Clara, CA",US,2020-02-29T01:33:03,3,0,1,Feb29,2020,2,29,37.3541,-121.9552
Western Australia,Australia,2020-02-29T23:13:06,2,0,0,Feb29,2020,2,29,-31.9505,115.8605
,Brazil,2020-02-29T21:03:05,2,0,0,Feb29,2020,2,29,-14.235,-51.9253
,Russia,2020-02-12T14:43:03,2,0,2,Feb29,2020,2,29,60.0,90.0
"Chicago, IL",US,2020-02-09T19:03:03,2,0,2,Feb29,2020,2,29,41.8781,-87.6298
"Sacramento County, CA",US,2020-02-27T20:33:02,2,0,0,Feb29,2020,2,29,38.4747,-121.3542
"San Benito, CA",US,2020-02-03T03:53:02,2,0,0,Feb29,2020,2,29,36.5761,-120.9876
"San Diego County, CA",US,2020-02-21T05:43:02,2,0,1,Feb29,2020,2,29,32.7157,-117.1611
,Afghanistan,2020-02-24T23:33:02,1,0,0,Feb29,2020,2,29,33.0,65.0
,Algeria,2020-02-25T23:43:03,1,0,0,Feb29,2020,2,29,28.0339,1.6596
,Belarus,2020-02-28T16:23:03,1,0,0,Feb29,2020,2,29,53.7098,27.9534
,Belgium,2020-02-17T04:23:06,1,0,1,Feb29,2020,2,29,50.8333,4.0
,Cambodia,2020-02-12T07:43:02,1,0,1,Feb29,2020,2,29,11.55,104.9167
" Montreal, QC",Canada,2020-02-28T05:23:07,1,0,0,Feb29,2020,2,29,45.5017,-73.5673
"London, ON",Canada,2020-02-12T18:53:03,1,0,1,Feb29,2020,2,29,42.9849,-81.2453
,Egypt,2020-02-28T04:13:09,1,0,1,Feb29,2020,2,29,26.0,30.0
,Estonia,2020-02-27T16:23:03,1,0,0,Feb29,2020,2,29,58.5953,25.0136
,Georgia,2020-02-27T16:23:03,1,0,0,Feb29,2020,2,29,42.3154,43.3569
,Iceland,2020-02-29T00:33:01,1,0,0,Feb29,2020,2,29,64.9631,-19.0208
,Ireland,2020-02-29T22:33:03,1,0,0,Feb29,2020,2,29,53.1424,-7.6921
,Lithuania,2020-02-28T16:23:03,1,0,0,Feb29,2020,2,29,55.1694,23.8813
,Luxembourg,2020-02-29T21:03:05,1,0,0,Feb29,2020,2,29,49.8144,6.1317
Tibet,Mainland China,2020-02-12T06:43:02,1,0,1,Feb29,2020,2,29,31.6927,88.0924
,Monaco,2020-02-29T00:33:01,1,0,0,Feb29,2020,2,29,43.7333,7.4167
,Nepal,2020-02-12T14:43:03,1,0,1,Feb29,2020,2,29,28.1667,84.25
,New Zealand,2020-02-28T16:23:03,1,0,0,Feb29,2020,2,29,-40.9006,174.886
,Nigeria,2020-02-28T16:23:03,1,0,0,Feb29,2020,2,29,9.082,8.6753
,North Macedonia,2020-02-27T16:23:03,1,0,0,Feb29,2020,2,29,41.6086,21.7453
,Qatar,2020-02-29T14:33:03,1,0,0,Feb29,2020,2,29,25.3548,51.1839
,San Marino,2020-02-27T21:13:10,1,0,0,Feb29,2020,2,29,43.9424,12.4578
,Sri Lanka,2020-02-08T03:43:03,1,0,1,Feb29,2020,2,29,7.0,81.0
"Boston, MA",US,2020-02-28T21:13:12,1,0,1,Feb29,2020,2,29,42.3601,-71.0589
"Humboldt County, CA",US,2020-02-21T05:13:09,1,0,0,Feb29,2020,2,29,40.745,-123.8695
"Los Angeles, CA",US,2020-02-01T19:53:03,1,0,0,Feb29,2020,2,29,34.0522,-118.2437
"Madison, WI",US,2020-02-05T21:53:02,1,0,0,Feb29,2020,2,29,43.0731,-89.4012
"Orange, CA",US,2020-02-01T19:53:03,1,0,0,Feb29,2020,2,29,33.7879,-117.8531
"Portland, OR",US,2020-02-29T02:23:11,1,0,0,Feb29,2020,2,29,45.5051,-122.675
"San Antonio, TX",US,2020-02-13T18:53:02,1,0,0,Feb29,2020,2,29,29.4241,-98.4936
"Snohomish County, WA",US,2020-02-29T15:03:04,1,0,0,Feb29,2020,2,29,48.033,-121.8339
"Tempe, AZ",US,2020-02-25T21:23:03,1,0,1,Feb29,2020,2,29,33.4255,-111.94
