Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude,date,year,month,day
Alabama,US,2020-04-02 23:25:27,1233,32,0,32.3182,-86.9023,Apr02,2020,4,2
Alaska,US,2020-04-02 23:25:27,143,3,0,61.3707,-152.4044,Apr02,2020,4,2
Arizona,US,2020-04-02 23:25:27,1715,32,0,33.7298,-111.4312,Apr02,2020,4,2
Arkansas,US,2020-04-02 23:25:27,643,12,0,34.9697,-92.3731,Apr02,2020,4,2
California,US,2020-04-02 23:25:27,10773,238,0,36.1162,-119.6816,Apr02,2020,4,2
Colorado,US,2020-04-02 23:25:27,3342,80,0,39.0598,-105.3111,Apr02,2020,4,2
Connecticut,US,2020-04-02 23:25:27,3824,112,0,41.5978,-72.7554,Apr02,2020,4,2
Delaware,US,2020-04-02 23:25:27,393,12,0,39.3185,-75.5071,Apr02,2020,4,2
District of Columbia,US,2020-04-02 23:25:27,653,12,0,38.8974,-77.0268,Apr02,2020,4,2
Florida,US,2020-04-02 23:25:27,9008,164,0,27.7663,-81.6868,Apr02,2020,4,2
Georgia,US,2020-04-02 23:25:27,5348,163,0,33.0406,-83.6431,Apr02,2020,4,2
Hawaii,US,2020-04-02 23:25:27,256,1,0,21.0943,-157.4983,Apr02,2020,4,2
Idaho,US,2020-04-02 23:25:27,776,9,0,44.2405,-114.4788,Apr02,2020,4,2
Illinois,US,2020-04-02 23:25:27,7695,163,0,40.3495,-88.9861,Apr02,2020,4,2
Indiana,US,2020-04-02 23:25:27,3038,78,0,39.8494,-86.2583,Apr02,2020,4,2
Iowa,US,2020-04-02 23:25:27,614,11,0,42.0115,-93.2105,Apr02,2020,4,2
Kansas,US,2020-04-02 23:25:27,553,12,0,38.5266,-96.7265,Apr02,2020,4,2
Kentucky,US,2020-04-02 23:25:27,770,31,0,37.6681,-84.6701,Apr02,2020,4,2
Louisiana,US,2020-04-02 23:25:27,9159,310,0,31.1695,-91.8678,Apr02,2020,4,2
Maine,US,2020-04-02 23:25:27,376,7,0,44.6939,-69.3819,Apr02,2020,4,2
Maryland,US,2020-04-02 23:25:27,2331,36,0,39.0639,-76.8021,Apr02,2020,4,2
Massachusetts,US,2020-04-02 23:25:27,8966,154,0,42.2302,-71.5301,Apr02,2020,4,2
Michigan,US,2020-04-02 23:25:27,10791,417,0,43.3266,-84.5361,Apr02,2020,4,2
Minnesota,US,2020-04-02 23:25:27,742,18,0,45.6945,-93.9002,Apr02,2020,4,2
Mississippi,US,2020-04-02 23:25:27,1177,26,0,32.7416,-89.6787,Apr02,2020,4,2
Missouri,US,2020-04-02 23:25:27,1857,22,0,38.4561,-92.2884,Apr02,2020,4,2
Montana,US,2020-04-02 23:25:27,241,6,0,46.9219,-110.4544,Apr02,2020,4,2
Nebraska,US,2020-04-02 23:25:27,246,5,0,41.1254,-98.2681,Apr02,2020,4,2
Nevada,US,2020-04-02 23:25:27,1463,38,0,38.3135,-117.0554,Apr02,2020,4,2
New Hampshire,US,2020-04-02 23:25:27,316,3,0,43.4525,-71.5639,Apr02,2020,4,2
New Jersey,US,2020-04-02 23:25:27,25590,537,0,40.2989,-74.521,Apr02,2020,4,2
New Mexico,US,2020-04-02 23:25:27,388,6,0,34.8405,-106.2485,Apr02,2020,4,2
New York,US,2020-04-02 23:25:27,92506,2373,0,42.1657,-74.9481,Apr02,2020,4,2
North Carolina,US,2020-04-02 23:25:27,1977,21,0,35.6301,-79.8064,Apr02,2020,4,2
North Dakota,US,2020-04-02 23:25:27,159,3,0,47.5289,-99.784,Apr02,2020,4,2
Ohio,US,2020-04-02 23:25:27,2901,81,0,40.3888,-82.7649,Apr02,2020,4,2
Oklahoma,US,2020-04-02 23:25:27,881,34,0,35.5653,-96.9289,Apr02,2020,4,2
Oregon,US,2020-04-02 23:25:27,826,21,0,44.572,-122.0709,Apr02,2020,4,2
Pennsylvania,US,2020-04-02 23:25:27,7268,90,0,40.5908,-77.2098,Apr02,2020,4,2
Rhode Island,US,2020-04-02 23:25:27,657,12,0,41.6809,-71.5118,Apr02,2020,4,2
South Carolina,US,2020-04-02 23:25:27,1554,31,0,33.8569,-80.945,Apr02,2020,4,2
South Dakota,US,2020-04-02 23:25:27,165,2,0,44.2998,-99.4388,Apr02,2020,4,2
Tennessee,US,2020-04-02 23:25:27,2845,36,0,35.7478,-86.6923,Apr02,2020,4,2
Texas,US,2020-04-02 23:25:27,5069,77,0,31.0545,-97.5635,Apr02,2020,4,2
Utah,US,2020-04-02 23:25:27,1092,7,0,40.15,-111.8624,Apr02,2020,4,2
Vermont,US,2020-04-02 23:25:27,338,17,0,44.0459,-72.7107,Apr02,2020,4,2
Virginia,US,2020-04-02 23:25:27,1706,41,0,37.7693,-78.17,Apr02,2020,4,2
Washington,US,2020-04-02 23:25:27,6389,271,0,47.4009,-121.4905,Apr02,2020,4,2
West Virginia,US,2020-04-02 23:25:27,216,2,0,38.4912,-80.9545,Apr02,2020,4,2
Wisconsin,US,2020-04-02 23:25:27,1748,38,0,44.2685,-89.6165,Apr02,2020,4,2
Wyoming,US,2020-04-02 23:25:27,150,0,0,42.756,-107.3025,Apr02,2020,4,2
Alberta,Canada,2020-04-02 23:31:46,969,13,0,53.9333,-116.5765,Apr02,2020,4,2
Anguilla,United Kingdom,2020-04-02 23:25:14,3,0,0,18.2206,-63.0686,Apr02,2020,4,2
Anhui,China,2020-03-08 05:19:01,990,6,984,31.8257,117.2264,Apr02,2020,4,2
Aruba,Netherlands,2020-04-02 23:25:14,60,0,1,12.5211,-69.9683,Apr02,2020,4,2
Australian Capital Territory,Australia,2020-04-02 23:32:01,87,1,11,-35.4735,149.0124,Apr02,2020,4,2
Beijing,China,2020-04-02 02:23:37,582,8,424,40.1824,116.4142,Apr02,2020,4,2
Bermuda,United Kingdom,2020-04-02 23:25:14,35,0,11,32.3078,-64.7505,Apr02,2020,4,2
"Bonaire, Sint Eustatius and Saba",Netherlands,2020-04-02 23:25:14,2,0,0,12.1784,-68.2385,Apr02,2020,4,2
British Columbia,Canada,2020-04-02 23:31:46,1121,31,0,53.7267,-127.6476,Apr02,2020,4,2
British Virgin Islands,United Kingdom,2020-04-02 23:25:14,3,0,0,18.4207,-64.64,Apr02,2020,4,2
Cayman Islands,United Kingdom,2020-04-02 23:25:14,28,1,0,19.3133,-81.2546,Apr02,2020,4,2
Channel Islands,United Kingdom,2020-04-02 23:25:14,193,3,0,49.3723,-2.3644,Apr02,2020,4,2
Chongqing,China,2020-03-29 00:14:12,579,6,570,30.0572,107.874,Apr02,2020,4,2
Curacao,Netherlands,2020-04-02 23:25:14,11,1,3,12.1696,-68.99,Apr02,2020,4,2
Diamond Princess,Canada,2020-04-02 23:31:46,0,1,0,,,Apr02,2020,4,2
Diamond Princess,US,2020-04-02 23:25:27,49,0,0,,,Apr02,2020,4,2
Faroe Islands,Denmark,2020-04-02 23:25:14,177,0,81,61.8926,-6.9118,Apr02,2020,4,2
French Guiana,France,2020-04-02 23:25:14,51,0,15,4.0,-53.0,Apr02,2020,4,2
French Polynesia,France,2020-04-02 23:25:14,37,0,0,-17.6797,-149.4068,Apr02,2020,4,2
Fujian,China,2020-04-02 01:38:02,345,1,299,26.0789,117.9874,Apr02,2020,4,2
Gansu,China,2020-04-01 14:00:34,138,2,127,37.8099,101.0583,Apr02,2020,4,2
Gibraltar,United Kingdom,2020-04-02 23:25:14,88,0,46,36.1408,-5.3536,Apr02,2020,4,2
Grand Princess,Canada,2020-04-02 23:31:46,13,0,0,,,Apr02,2020,4,2
Grand Princess,US,2020-04-02 23:25:27,103,3,0,,,Apr02,2020,4,2
Greenland,Denmark,2020-04-02 23:25:14,10,0,2,71.7069,-42.6043,Apr02,2020,4,2
Guadeloupe,France,2020-04-02 23:25:14,128,6,24,16.265,-61.551,Apr02,2020,4,2
Guam,US,2020-04-02 23:25:27,82,3,0,13.4443,144.7937,Apr02,2020,4,2
Guangdong,China,2020-04-02 01:26:54,1507,8,1365,23.3417,113.4244,Apr02,2020,4,2
