Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,date,year,month,day,Latitude,Longitude
Hubei,Mainland China,2020-02-06T23:23:02,22112,618,817,Feb06,2020,2,6,30.9756,112.2707
Guangdong,Mainland China,2020-02-06T12:43:02,970,0,69,Feb06,2020,2,6,23.3417,113.4244
Zhejiang,Mainland China,2020-02-06T10:53:04,954,0,94,Feb06,2020,2,6,29.1832,120.0934
Henan,Mainland China,2020-02-06T11:23:14,851,2,56,Feb06,2020,2,6,33.882,113.614
Hunan,Mainland China,2020-02-06T13:13:06,711,0,81,Feb06,2020,2,6,27.6104,111.7088
Jiangxi,Mainland China,2020-02-06T02:33:01,600,0,37,Feb06,2020,2,6,27.614,115.7221
Anhui,Mainland China,2020-02-06T13:33:02,591,0,34,Feb06,2020,2,6,31.8257,117.2264
Chongqing,Mainland China,2020-02-06T23:33:02,411,2,24,Feb06,2020,2,6,30.0572,107.874
Jiangsu,Mainland China,2020-02-06T08:03:10,373,0,34,Feb06,2020,2,6,32.9711,119.455
Shandong,Mainland China,2020-02-06T07:53:02,347,0,27,Feb06,2020,2,6,36.3427,118.1498
Sichuan,Mainland China,2020-02-06T08:03:10,321,1,31,Feb06,2020,2,6,30.6171,102.7103
Beijing,Mainland China,2020-02-06T03:23:11,274,1,31,Feb06,2020,2,6,40.1824,116.4142
Shanghai,Mainland China,2020-02-06T06:53:07,257,1,25,Feb06,2020,2,6,31.202,121.4491
Heilongjiang,Mainland China,2020-02-06T08:13:06,227,3,8,Feb06,2020,2,6,47.862,127.7615
Fujian,Mainland China,2020-02-06T11:03:19,215,0,14,Feb06,2020,2,6,26.0789,117.9874
Shaanxi,Mainland China,2020-02-06T13:53:02,173,0,9,Feb06,2020,2,6,35.1917,108.8701
Guangxi,Mainland China,2020-02-06T04:13:13,168,0,14,Feb06,2020,2,6,23.8298,108.7881
Hebei,Mainland China,2020-02-06T13:53:02,157,1,13,Feb06,2020,2,6,38.0428,114.5149
Yunnan,Mainland China,2020-02-06T09:43:02,133,0,7,Feb06,2020,2,6,24.974,101.487
Hainan,Mainland China,2020-02-06T11:13:24,106,1,8,Feb06,2020,2,6,19.1959,109.7453
Shanxi,Mainland China,2020-02-06T23:03:02,96,0,12,Feb06,2020,2,6,37.5777,112.2922
Liaoning,Mainland China,2020-02-06T14:33:02,94,0,5,Feb06,2020,2,6,41.2956,122.6085
Tianjin,Mainland China,2020-02-06T23:43:01,79,1,2,Feb06,2020,2,6,39.3054,117.323
Guizhou,Mainland China,2020-02-06T09:53:02,71,1,6,Feb06,2020,2,6,26.8154,106.8748
Gansu,Mainland China,2020-02-05T16:23:06,62,0,6,Feb06,2020,2,6,36.0611,103.8343
Jilin,Mainland China,2020-02-06T14:23:04,59,0,4,Feb06,2020,2,6,43.6661,126.1923
Inner Mongolia,Mainland China,2020-02-06T02:23:08,46,0,4,Feb06,2020,2,6,44.0935,113.9448
,Japan,2020-02-06T02:53:03,45,0,1,Feb06,2020,2,6,36.0,138.0
Ningxia,Mainland China,2020-02-06T02:13:15,40,0,1,Feb06,2020,2,6,37.2692,106.1655
Xinjiang,Mainland China,2020-02-06T01:13:08,36,0,0,Feb06,2020,2,6,41.1129,85.2401
,Singapore,2020-02-05T16:33:03,28,0,0,Feb06,2020,2,6,1.2833,103.8333
,Thailand,2020-02-04T15:33:03,25,0,5,Feb06,2020,2,6,15.0,101.0
Hong Kong,Hong Kong,2020-02-06T14:43:02,24,1,0,Feb06,2020,2,6,22.3,114.2
,South Korea,2020-02-06T02:53:03,23,0,0,Feb06,2020,2,6,36.0,128.0
Qinghai,Mainland China,2020-02-06T02:13:15,18,0,3,Feb06,2020,2,6,35.7452,95.9956
Taiwan,Taiwan,2020-02-06T15:03:04,16,0,1,Feb06,2020,2,6,23.7,121.0
,Germany,2020-02-03T20:53:02,12,0,0,Feb06,2020,2,6,51.0,9.0
,Malaysia,2020-02-05T15:43:02,12,0,0,Feb06,2020,2,6,2.5,112.5
Macau,Macau,2020-02-06T14:23:04,10,0,1,Feb06,2020,2,6,22.1667,113.55
,Vietnam,2020-02-06T01:13:08,10,0,1,Feb06,2020,2,6,16.0,108.0
,France,2020-02-01T01:52:40,6,0,0,Feb06,2020,2,6,47.0,2.0
,United Arab Emirates,2020-02-02T05:43:01,5,0,0,Feb06,2020,2,6,24.0,54.0
New South Wales,Australia,2020-02-06T03:13:22,4,0,2,Feb06,2020,2,6,-33.8688,151.2093
Queensland,Australia,2020-02-06T02:53:03,4,0,0,Feb06,2020,2,6,-28.0167,153.4
Victoria,Australia,2020-02-01T18:12:49,4,0,0,Feb06,2020,2,6,-37.8136,144.9631
,India,2020-02-03T21:43:02,3,0,0,Feb06,2020,2,6,21.0,78.0
South Australia,Australia,2020-02-02T22:33:07,2,0,0,Feb06,2020,2,6,-34.9285,138.6007
British Columbia,Canada,2020-02-05T17:33:03,2,0,0,Feb06,2020,2,6,49.2827,-123.1207
"Toronto, ON",Canada,2020-02-04T00:13:06,2,0,0,Feb06,2020,2,6,43.6532,-79.3832
,Italy,2020-01-31T08:15:53,2,0,0,Feb06,2020,2,6,43.0,12.0
,Philippines,2020-02-02T03:33:07,2,1,0,Feb06,2020,2,6,13.0,122.0
,Russia,2020-01-31T16:13:45,2,0,0,Feb06,2020,2,6,60.0,90.0
,UK,2020-02-01T01:52:40,2,0,0,Feb06,2020,2,6,55.0,-3.0
"Chicago, IL",US,2020-02-01T19:43:03,2,0,0,Feb06,2020,2,6,41.8781,-87.6298
"San Benito, CA",US,2020-02-03T03:53:02,2,0,0,Feb06,2020,2,6,36.5761,-120.9876
"Santa Clara, CA",US,2020-02-03T00:43:02,2,0,0,Feb06,2020,2,6,37.3541,-121.9552
,Belgium,2020-02-04T15:43:02,1,0,0,Feb06,2020,2,6,50.8333,4.0
,Cambodia,2020-01-31T08:15:53,1,0,0,Feb06,2020,2,6,11.55,104.9167
"London, ON",Canada,2020-02-04T00:03:11,1,0,0,Feb06,2020,2,6,42.9849,-81.2453
,Finland,2020-01-31T08:15:53,1,0,0,Feb06,2020,2,6,64.0,26.0
Tibet,Mainland China,2020-02-01T01:52:40,1,0,0,Feb06,2020,2,6,31.6927,88.0924
,Nepal,2020-01-31T08:15:53,1,0,0,Feb06,2020,2,6,28.1667,84.25
,Spain,2020-02-01T23:43:02,1,0,0,Feb06,2020,2,6,40.0,-4.0
,Sri Lanka,2020-01-31T08:15:53,1,0,0,Feb06,2020,2,6,7.0,81.0
,Sweden,2020-02-01T02:13:26,1,0,0,Feb06,2020,2,6,63.0,16.0
"Boston, MA",US,2020-02-01T19:43:03,1,0,0,Feb06,2020,2,6,42.3601,-71.0589
"Los Angeles, CA",US,2020-02-01T19:53:03,1,0,0,Feb06,2020,2,6,34.0522,-118.2437
"Madison, WI",US,2020-02-05T21:53:02,1,0,0,Feb06,2020,2,6,43.0731,-89.4012
"Orange, CA",US,2020-02-01T19:53:03,1,0,0,Feb06,2020,2,6,33.7879,-117.8531
"Seattle, WA",US,2020-02-01T19:43:03,1,0,0,Feb06,2020,2,6,47.6062,-122.3321
"Tempe, AZ",US,2020-02-01T19:43:03,1,0,0,Feb06,2020,2,6,33.4255,-111.94
