Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,date,year,month,day,Latitude,Longitude
Hubei,Mainland China,2020-02-27T12:13:14,65596,2641,23383,Feb27,2020,2,27,30.9756,112.2707
,South Korea,2020-02-27T12:03:04,1766,13,22,Feb27,2020,2,27,36.0,128.0
Guangdong,Mainland China,2020-02-27T09:53:02,1347,7,890,Feb27,2020,2,27,23.3417,113.4244
Henan,Mainland China,2020-02-27T15:03:11,1272,20,1068,Feb27,2020,2,27,33.882,113.614
Zhejiang,Mainland China,2020-02-27T12:43:02,1205,1,932,Feb27,2020,2,27,29.1832,120.0934
Hunan,Mainland China,2020-02-27T12:43:02,1017,4,804,Feb27,2020,2,27,27.6104,111.7088
Anhui,Mainland China,2020-02-27T14:13:06,989,6,792,Feb27,2020,2,27,31.8257,117.2264
Jiangxi,Mainland China,2020-02-27T01:43:02,934,1,754,Feb27,2020,2,27,27.614,115.7221
Shandong,Mainland China,2020-02-27T14:13:06,756,6,387,Feb27,2020,2,27,36.3427,118.1498
Diamond Princess cruise ship,Others,2020-02-26T19:33:02,705,4,10,Feb27,2020,2,27,35.4437,139.638
,Italy,2020-02-27T23:23:02,655,17,45,Feb27,2020,2,27,43.0,12.0
Jiangsu,Mainland China,2020-02-27T14:13:06,631,0,498,Feb27,2020,2,27,32.9711,119.455
Chongqing,Mainland China,2020-02-27T23:23:02,576,6,401,Feb27,2020,2,27,30.0572,107.874
Sichuan,Mainland China,2020-02-27T12:43:02,534,3,321,Feb27,2020,2,27,30.6171,102.7103
Heilongjiang,Mainland China,2020-02-27T12:43:02,480,13,270,Feb27,2020,2,27,47.862,127.7615
Beijing,Mainland China,2020-02-27T02:23:13,410,5,248,Feb27,2020,2,27,40.1824,116.4142
Shanghai,Mainland China,2020-02-27T04:03:12,337,3,276,Feb27,2020,2,27,31.202,121.4491
Hebei,Mainland China,2020-02-27T12:43:02,317,6,274,Feb27,2020,2,27,38.0428,114.5149
Fujian,Mainland China,2020-02-27T10:03:07,296,1,228,Feb27,2020,2,27,26.0789,117.9874
Guangxi,Mainland China,2020-02-27T10:03:07,252,2,161,Feb27,2020,2,27,23.8298,108.7881
,Iran,2020-02-27T12:03:04,245,26,49,Feb27,2020,2,27,32.0,53.0
Shaanxi,Mainland China,2020-02-27T12:43:02,245,1,195,Feb27,2020,2,27,35.1917,108.8701
,Japan,2020-02-27T23:33:02,214,4,22,Feb27,2020,2,27,36.0,138.0
Yunnan,Mainland China,2020-02-27T10:03:07,174,2,150,Feb27,2020,2,27,24.974,101.487
Hainan,Mainland China,2020-02-27T10:03:07,168,5,131,Feb27,2020,2,27,19.1959,109.7453
Guizhou,Mainland China,2020-02-27T00:43:02,146,2,112,Feb27,2020,2,27,26.8154,106.8748
Tianjin,Mainland China,2020-02-27T23:13:04,136,3,102,Feb27,2020,2,27,39.3054,117.323
Shanxi,Mainland China,2020-02-27T23:13:04,133,0,107,Feb27,2020,2,27,37.5777,112.2922
Liaoning,Mainland China,2020-02-27T14:13:06,121,1,93,Feb27,2020,2,27,41.2956,122.6085
