Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,date,year,month,day
Hubei,Mainland China,2020-02-03T23:23:03,13522,414,386,Feb03,2020,2,3
Guangdong,Mainland China,2020-02-03T12:53:02,725,0,21,Feb03,2020,2,3
Zhejiang,Mainland China,2020-02-03T13:33:02,724,0,43,Feb03,2020,2,3
Henan,Mainland China,2020-02-03T17:11:34,566,2,16,Feb03,2020,2,3
Hunan,Mainland China,2020-02-03T11:03:10,521,0,22,Feb03,2020,2,3
Anhui,Mainland China,2020-02-03T17:11:34,408,0,14,Feb03,2020,2,3
Jiangxi,Mainland China,2020-02-03T01:33:02,391,0,18,Feb03,2020,2,3
Chongqing,Mainland China,2020-02-03T23:43:02,337,2,9,Feb03,2020,2,3
Jiangsu,Mainland China,2020-02-03T11:03:10,271,0,8,Feb03,2020,2,3
Shandong,Mainland China,2020-02-03T17:11:34,259,0,7,Feb03,2020,2,3
Sichuan,Mainland China,2020-02-03T11:23:23,254,1,14,Feb03,2020,2,3
Beijing,Mainland China,2020-02-03T09:23:05,212,1,12,Feb03,2020,2,3
Shanghai,Mainland China,2020-02-03T07:03:12,203,1,10,Feb03,2020,2,3
Fujian,Mainland China,2020-02-03T11:33:13,179,0,1,Feb03,2020,2,3
Shaanxi,Mainland China,2020-02-03T02:33:02,128,0,0,Feb03,2020,2,3
Guangxi,Mainland China,2020-02-03T12:33:02,127,0,7,Feb03,2020,2,3
Heilongjiang,Mainland China,2020-02-03T07:13:19,121,2,2,Feb03,2020,2,3
Yunnan,Mainland China,2020-02-03T23:23:03,117,0,5,Feb03,2020,2,3
Hebei,Mainland China,2020-02-03T00:23:14,113,1,3,Feb03,2020,2,3
Liaoning,Mainland China,2020-02-03T17:11:34,74,0,1,Feb03,2020,2,3
Shanxi,Mainland China,2020-02-03T23:13:11,74,0,2,Feb03,2020,2,3
Hainan,Mainland China,2020-02-03T17:11:34,72,1,4,Feb03,2020,2,3
Tianjin,Mainland China,2020-02-03T13:53:03,60,0,1,Feb03,2020,2,3
Gansu,Mainland China,2020-02-03T23:03:08,55,0,3,Feb03,2020,2,3
Guizhou,Mainland China,2020-02-03T01:03:22,46,0,2,Feb03,2020,2,3
Inner Mongolia,Mainland China,2020-02-03T03:03:09,34,0,1,Feb03,2020,2,3
Jilin,Mainland China,2020-02-03T00:53:03,31,0,1,Feb03,2020,2,3
Ningxia,Mainland China,2020-02-03T08:33:03,31,0,1,Feb03,2020,2,3
Xinjiang,Mainland China,2020-02-03T01:13:21,24,0,0,Feb03,2020,2,3
,Japan,2020-02-01T18:53:03,20,0,1,Feb03,2020,2,3
,Thailand,2020-01-31T10:37:00,19,0,5,Feb03,2020,2,3
,Singapore,2020-02-02T01:03:32,18,0,0,Feb03,2020,2,3
Hong Kong,Hong Kong,2020-02-02T23:53:02,15,0,0,Feb03,2020,2,3
,South Korea,2020-02-02T02:23:13,15,0,0,Feb03,2020,2,3
Qinghai,Mainland China,2020-02-03T02:43:01,13,0,0,Feb03,2020,2,3
,Germany,2020-02-03T20:53:02,12,0,0,Feb03,2020,2,3
Taiwan,Taiwan,2020-01-31T15:20:56,10,0,0,Feb03,2020,2,3
Macau,Macau,2020-02-02T04:23:14,8,0,0,Feb03,2020,2,3
,Malaysia,2020-01-31T08:15:53,8,0,0,Feb03,2020,2,3
,Vietnam,2020-02-03T21:43:02,8,0,1,Feb03,2020,2,3
,France,2020-02-01T01:52:40,6,0,0,Feb03,2020,2,3
,United Arab Emirates,2020-02-02T05:43:01,5,0,0,Feb03,2020,2,3
New South Wales,Australia,2020-02-01T18:12:49,4,0,2,Feb03,2020,2,3
Victoria,Australia,2020-02-01T18:12:49,4,0,0,Feb03,2020,2,3
Ontario,Canada,2020-02-01T18:12:49,3,0,0,Feb03,2020,2,3
,India,2020-02-03T21:43:02,3,0,0,Feb03,2020,2,3
Queensland,Australia,2020-02-02T22:33:07,2,0,0,Feb03,2020,2,3
South Australia,Australia,2020-02-02T22:33:07,2,0,0,Feb03,2020,2,3
,Italy,2020-01-31T08:15:53,2,0,0,Feb03,2020,2,3
,Philippines,2020-02-02T03:33:07,2,1,0,Feb03,2020,2,3
