Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Suspected,ConfnSusp,datetime,date,year,month,day,hr,min
Hubei,Mainland China,1/25/2020  10pm,1052,52.0,42.0,,1052,2020-01-25 22:00:00,Jan25,2020,1,25,22,0
Zhejiang,Mainland China,1/25/2020  10pm,104,,1.0,,104,2020-01-25 22:00:00,Jan25,2020,1,25,22,0
Guangdong,Mainland China,1/25/2020  12pm,98,,2.0,,98,2020-01-25 22:00:00,Jan25,2020,1,25,22,0
Henan,Mainland China,1/25/2020  12pm,83,1.0,,3.0,86,2020-01-25 22:00:00,Jan25,2020,1,25,22,0
Chongqing,Mainland China,1/25/2020  12pm,75,,,,75,2020-01-25 22:00:00,Jan25,2020,1,25,22,0
Hunan,Mainland China,1/25/2020  12pm,69,,,,69,2020-01-25 22:00:00,Jan25,2020,1,25,22,0
Anhui,Mainland China,1/25/2020  12pm,60,,,4.0,64,2020-01-25 22:00:00,Jan25,2020,1,25,22,0
Beijing,Mainland China,1/25/2020  12pm,51,,2.0,,51,2020-01-25 22:00:00,Jan25,2020,1,25,22,0
Sichuan,Mainland China,1/25/2020  12pm,44,,,4.0,48,2020-01-25 22:00:00,Jan25,2020,1,25,22,0
Shanghai,Mainland China,1/25/2020  12pm,40,1.0,1.0,72.0,112,2020-01-25 22:00:00,Jan25,2020,1,25,22,0
Shandong,Mainland China,1/25/2020  12pm,39,,,,39,2020-01-25 22:00:00,Jan25,2020,1,25,22,0
Jiangxi,Mainland China,1/25/2020  12pm,36,,,,36,2020-01-25 22:00:00,Jan25,2020,1,25,22,0
Guangxi,Mainland China,1/25/2020  12pm,33,,,,33,2020-01-25 22:00:00,Jan25,2020,1,25,22,0
Jiangsu,Mainland China,1/25/2020  12pm,31,,1.0,,31,2020-01-25 22:00:00,Jan25,2020,1,25,22,0
Hainan,Mainland China,1/25/2020  12pm,19,,,,19,2020-01-25 22:00:00,Jan25,2020,1,25,22,0
Liaoning,Mainland China,1/25/2020  12pm,19,,,,19,2020-01-25 22:00:00,Jan25,2020,1,25,22,0
Fujian,Mainland China,1/25/2020  12pm,18,1.0,,20.0,38,2020-01-25 22:00:00,Jan25,2020,1,25,22,0
Heilongjiang,Mainland China,1/25/2020  12pm,15,,,,15,2020-01-25 22:00:00,Jan25,2020,1,25,22,0
Shaanxi,Mainland China,1/25/2020  12pm,15,,,,15,2020-01-25 22:00:00,Jan25,2020,1,25,22,0
Tianjin,Mainland China,1/25/2020  12pm,13,,,,13,2020-01-25 22:00:00,Jan25,2020,1,25,22,0
Hebei,Mainland China,1/25/2020  12pm,13,1.0,,,13,2020-01-25 22:00:00,Jan25,2020,1,25,22,0
Yunnan,Mainland China,1/25/2020  12pm,11,,,58.0,69,2020-01-25 22:00:00,Jan25,2020,1,25,22,0
Shanxi,Mainland China,1/25/2020  12pm,9,,,,9,2020-01-25 22:00:00,Jan25,2020,1,25,22,0
Inner Mongolia,Mainland China,1/25/2020  12pm,7,,,,7,2020-01-25 22:00:00,Jan25,2020,1,25,22,0
Gansu,Mainland China,1/25/2020  12pm,7,,,,7,2020-01-25 22:00:00,Jan25,2020,1,25,22,0
Guizhou,Mainland China,1/25/2020  12pm,5,,,,5,2020-01-25 22:00:00,Jan25,2020,1,25,22,0
Hong Kong,Hong Kong,1/25/2020  12pm,5,,,244.0,249,2020-01-25 22:00:00,Jan25,2020,1,25,22,0
Ningxia,Mainland China,1/25/2020  12pm,4,,,1.0,5,2020-01-25 22:00:00,Jan25,2020,1,25,22,0
Jilin,Mainland China,1/25/2020  12pm,4,,,,4,2020-01-25 22:00:00,Jan25,2020,1,25,22,0
Xinjiang,Mainland China,1/25/2020  12pm,4,,,,4,2020-01-25 22:00:00,Jan25,2020,1,25,22,0
Taiwan,Taiwan,1/25/2020  12pm,3,,,,3,2020-01-25 22:00:00,Jan25,2020,1,25,22,0
Macau,Macau,1/25/2020  12pm,2,,,,2,2020-01-25 22:00:00,Jan25,2020,1,25,22,0
Qinghai,Mainland China,1/25/2020  12pm,1,,,,1,2020-01-25 22:00:00,Jan25,2020,1,25,22,0
Washington,US,1/25/2020  12pm,1,,,,1,2020-01-25 22:00:00,Jan25,2020,1,25,22,0
Illinois,US,1/25/2020  12pm,1,,,,1,2020-01-25 22:00:00,Jan25,2020,1,25,22,0
,Japan,1/25/2020  12pm,2,,,,2,2020-01-25 22:00:00,Jan25,2020,1,25,22,0
,Thailand,1/25/2020  12pm,7,,,,7,2020-01-25 22:00:00,Jan25,2020,1,25,22,0
,South Korea,1/25/2020  12pm,3,,,,3,2020-01-25 22:00:00,Jan25,2020,1,25,22,0
,Singapore ,1/25/2020  12pm,3,,,,3,2020-01-25 22:00:00,Jan25,2020,1,25,22,0
,Vietnam,1/25/2020  12pm,2,,,,2,2020-01-25 22:00:00,Jan25,2020,1,25,22,0
,France,1/25/2020  12pm,3,,,,3,2020-01-25 22:00:00,Jan25,2020,1,25,22,0
,Australia,1/25/2020  12pm,4,,,,4,2020-01-25 22:00:00,Jan25,2020,1,25,22,0
,Nepal,1/25/2020  12pm,1,,,,1,2020-01-25 22:00:00,Jan25,2020,1,25,22,0
,Malaysia ,1/25/2020  12pm,3,,,,3,2020-01-25 22:00:00,Jan25,2020,1,25,22,0
