Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,date,year,month,day
Hubei,Mainland China,2020-02-09T23:33:02,29631,871,1795,Feb09,2020,2,9
Guangdong,Mainland China,2020-02-09T15:03:05,1131,1,141,Feb09,2020,2,9
Zhejiang,Mainland China,2020-02-09T12:03:04,1075,0,201,Feb09,2020,2,9
Henan,Mainland China,2020-02-09T11:23:08,1033,6,153,Feb09,2020,2,9
Hunan,Mainland China,2020-02-09T12:33:01,838,1,186,Feb09,2020,2,9
Anhui,Mainland China,2020-02-09T09:33:02,779,1,72,Feb09,2020,2,9
Jiangxi,Mainland China,2020-02-09T11:33:12,740,0,73,Feb09,2020,2,9
Chongqing,Mainland China,2020-02-09T23:53:02,468,2,51,Feb09,2020,2,9
Jiangsu,Mainland China,2020-02-09T10:23:11,468,0,71,Feb09,2020,2,9
Shandong,Mainland China,2020-02-09T15:03:05,444,1,63,Feb09,2020,2,9
Sichuan,Mainland China,2020-02-09T12:43:01,386,1,71,Feb09,2020,2,9
Beijing,Mainland China,2020-02-09T03:43:02,326,2,37,Feb09,2020,2,9
Heilongjiang,Mainland China,2020-02-09T08:43:05,307,6,14,Feb09,2020,2,9
Shanghai,Mainland China,2020-02-09T06:33:01,293,1,44,Feb09,2020,2,9
Fujian,Mainland China,2020-02-09T09:13:11,250,0,35,Feb09,2020,2,9
Shaanxi,Mainland China,2020-02-09T03:03:09,208,0,25,Feb09,2020,2,9
Hebei,Mainland China,2020-02-09T12:43:01,206,2,34,Feb09,2020,2,9
Guangxi,Mainland China,2020-02-09T00:33:07,195,1,18,Feb09,2020,2,9
Yunnan,Mainland China,2020-02-09T08:53:02,141,0,18,Feb09,2020,2,9
Hainan,Mainland China,2020-02-09T13:33:02,131,3,19,Feb09,2020,2,9
Shanxi,Mainland China,2020-02-09T23:43:02,119,0,25,Feb09,2020,2,9
Liaoning,Mainland China,2020-02-09T12:23:03,107,0,12,Feb09,2020,2,9
Guizhou,Mainland China,2020-02-09T09:53:02,99,1,7,Feb09,2020,2,9
Tianjin,Mainland China,2020-02-09T23:43:02,91,1,4,Feb09,2020,2,9
Gansu,Mainland China,2020-02-09T23:33:02,83,2,16,Feb09,2020,2,9
Jilin,Mainland China,2020-02-09T09:03:04,78,1,12,Feb09,2020,2,9
Diamond Princess cruise ship,Others,2020-02-09T06:13:11,64,0,0,Feb09,2020,2,9
Inner Mongolia,Mainland China,2020-02-09T02:23:07,54,0,5,Feb09,2020,2,9
Ningxia,Mainland China,2020-02-09T02:03:11,45,0,13,Feb09,2020,2,9
Xinjiang,Mainland China,2020-02-09T01:23:08,45,0,0,Feb09,2020,2,9
,Singapore,2020-02-09T02:43:02,40,0,2,Feb09,2020,2,9
,Thailand,2020-02-08T12:53:01,32,0,10,Feb09,2020,2,9
Hong Kong,Hong Kong,2020-02-09T09:53:02,29,1,0,Feb09,2020,2,9
,Japan,2020-02-09T06:13:11,26,0,1,Feb09,2020,2,9
,South Korea,2020-02-09T02:33:02,25,0,3,Feb09,2020,2,9
Qinghai,Mainland China,2020-02-06T02:13:15,18,0,3,Feb09,2020,2,9
