Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,date,year,month,day,Latitude,Longitude
Hubei,Mainland China,2/1/2020 11:53,7153,249,168,Feb01,2020,2,1,30.9756,112.2707
Zhejiang,Mainland China,2/1/2020 10:53,599,0,21,Feb01,2020,2,1,29.1832,120.0934
Guangdong,Mainland China,2/1/2020 14:23,535,0,14,Feb01,2020,2,1,23.3417,113.4244
Henan,Mainland China,2/1/2020 1:52,422,2,3,Feb01,2020,2,1,33.882,113.614
Hunan,Mainland China,2/1/2020 11:03,389,0,8,Feb01,2020,2,1,27.6104,111.7088
Anhui,Mainland China,2/1/2020 13:33,297,0,5,Feb01,2020,2,1,31.8257,117.2264
Jiangxi,Mainland China,2/1/2020 1:52,286,0,9,Feb01,2020,2,1,27.614,115.7221
Chongqing,Mainland China,2/1/2020 8:43,247,1,3,Feb01,2020,2,1,30.0572,107.874
Sichuan,Mainland China,2/1/2020 1:52,207,1,3,Feb01,2020,2,1,30.6171,102.7103
Shandong,Mainland China,2/1/2020 7:51,206,0,3,Feb01,2020,2,1,36.3427,118.1498
Jiangsu,Mainland China,2/1/2020 14:03,202,0,6,Feb01,2020,2,1,32.9711,119.455
Shanghai,Mainland China,2/1/2020 6:05,169,1,10,Feb01,2020,2,1,31.202,121.4491
Beijing,Mainland China,2/1/2020 9:17,168,1,9,Feb01,2020,2,1,40.1824,116.4142
Fujian,Mainland China,2/1/2020 5:37,144,0,0,Feb01,2020,2,1,26.0789,117.9874
Shaanxi,Mainland China,2/1/2020 5:37,101,0,0,Feb01,2020,2,1,35.1917,108.8701
Guangxi,Mainland China,2/1/2020 1:52,100,0,2,Feb01,2020,2,1,23.8298,108.7881
Hebei,Mainland China,2/1/2020 1:52,96,1,0,Feb01,2020,2,1,38.0428,114.5149
Yunnan,Mainland China,2/1/2020 15:53,93,0,2,Feb01,2020,2,1,24.974,101.487
Heilongjiang,Mainland China,2/1/2020 10:33,80,2,2,Feb01,2020,2,1,47.862,127.7615
Liaoning,Mainland China,2/1/2020 15:23,64,0,1,Feb01,2020,2,1,41.2956,122.6085
Hainan,Mainland China,2/1/2020 8:43,62,1,1,Feb01,2020,2,1,19.1959,109.7453
Shanxi,Mainland China,2/1/2020 1:52,47,0,1,Feb01,2020,2,1,37.5777,112.2922
Tianjin,Mainland China,2/1/2020 15:43,41,0,0,Feb01,2020,2,1,39.3054,117.323
Gansu,Mainland China,2/1/2020 15:43,40,0,0,Feb01,2020,2,1,36.0611,103.8343
Guizhou,Mainland China,1/31/2020 15:20,29,0,2,Feb01,2020,2,1,26.8154,106.8748
Ningxia,Mainland China,2/1/2020 2:13,26,0,0,Feb01,2020,2,1,37.2692,106.1655
Inner Mongolia,Mainland China,2/1/2020 5:37,23,0,1,Feb01,2020,2,1,44.0935,113.9448
,Japan,2/1/2020 18:53,20,0,1,Feb01,2020,2,1,36.0,138.0
,Thailand,1/31/2020 10:37,19,0,5,Feb01,2020,2,1,15.0,101.0
Xinjiang,Mainland China,2/1/2020 5:37,18,0,0,Feb01,2020,2,1,41.1129,85.2401
Jilin,Mainland China,2/1/2020 1:52,17,0,1,Feb01,2020,2,1,43.6661,126.1923
,Singapore,2/1/2020 5:37,16,0,0,Feb01,2020,2,1,1.2833,103.8333
Hong Kong,Hong Kong,2/1/2020 5:37,13,0,0,Feb01,2020,2,1,22.3,114.2
,South Korea,2/1/2020 10:43,12,0,0,Feb01,2020,2,1,36.0,128.0
Taiwan,Taiwan,1/31/2020 15:20,10,0,0,Feb01,2020,2,1,23.7,121.0
Qinghai,Mainland China,2/1/2020 5:37,9,0,0,Feb01,2020,2,1,35.7452,95.9956
,Malaysia,1/31/2020 8:15,8,0,0,Feb01,2020,2,1,2.5,112.5
,Germany,2/1/2020 18:33,8,0,0,Feb01,2020,2,1,51.0,9.0
Macau,Macau,1/31/2020 8:15,7,0,0,Feb01,2020,2,1,22.1667,113.55
,France,2/1/2020 1:52,6,0,0,Feb01,2020,2,1,47.0,2.0
,Vietnam,2/1/2020 7:38,6,0,1,Feb01,2020,2,1,16.0,108.0
New South Wales,Australia,2/1/2020 18:12,4,0,2,Feb01,2020,2,1,-33.8688,151.2093
Victoria,Australia,2/1/2020 18:12,4,0,0,Feb01,2020,2,1,-37.8136,144.9631
,United Arab Emirates,1/31/2020 8:15,4,0,0,Feb01,2020,2,1,24.0,54.0
Queensland,Australia,2/1/2020 18:12,3,0,0,Feb01,2020,2,1,-28.0167,153.4
Ontario,Canada,2/1/2020 18:12,3,0,0,Feb01,2020,2,1,51.2538,-85.3232
,Italy,1/31/2020 8:15,2,0,0,Feb01,2020,2,1,43.0,12.0
,Russia,1/31/2020 16:13,2,0,0,Feb01,2020,2,1,60.0,90.0
,UK,2/1/2020 1:52,2,0,0,Feb01,2020,2,1,55.0,-3.0
"Chicago, IL",US,2/1/2020 19:43,2,0,0,Feb01,2020,2,1,41.8781,-87.6298
South Australia,Australia,2/1/2020 18:12,1,0,0,Feb01,2020,2,1,-34.9285,138.6007
,Cambodia,1/31/2020 8:15,1,0,0,Feb01,2020,2,1,11.55,104.9167
British Columbia,Canada,2/1/2020 18:12,1,0,0,Feb01,2020,2,1,49.2827,-123.1207
,Finland,1/31/2020 8:15,1,0,0,Feb01,2020,2,1,64.0,26.0
,India,1/31/2020 8:15,1,0,0,Feb01,2020,2,1,21.0,78.0
