Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,datetime,date,year,month,day,hr,min
Hubei,Mainland China,2/4/20 9:43,13522,414,397,2020-02-04 11:50:00,Feb04,2020,2,4,11,50
Zhejiang,Mainland China,2/4/20 13:03,829,0,62,2020-02-04 11:50:00,Feb04,2020,2,4,11,50
Guangdong,Mainland China,2/4/20 13:03,813,0,30,2020-02-04 11:50:00,Feb04,2020,2,4,11,50
Henan,Mainland China,2/4/20 11:53,675,2,27,2020-02-04 11:50:00,Feb04,2020,2,4,11,50
Hunan,Mainland China,2/4/20 14:03,593,0,31,2020-02-04 11:50:00,Feb04,2020,2,4,11,50
Anhui,Mainland China,2/4/20 5:33,480,0,20,2020-02-04 11:50:00,Feb04,2020,2,4,11,50
Jiangxi,Mainland China,2/4/20 14:43,476,0,20,2020-02-04 11:50:00,Feb04,2020,2,4,11,50
Chongqing,Mainland China,2/4/20 8:23,344,2,9,2020-02-04 11:50:00,Feb04,2020,2,4,11,50
Jiangsu,Mainland China,2/4/20 11:53,308,0,12,2020-02-04 11:50:00,Feb04,2020,2,4,11,50
Sichuan,Mainland China,2/4/20 1:43,282,1,14,2020-02-04 11:50:00,Feb04,2020,2,4,11,50
Shandong,Mainland China,2/4/20 12:03,275,0,11,2020-02-04 11:50:00,Feb04,2020,2,4,11,50
Beijing,Mainland China,2/4/20 8:33,228,1,23,2020-02-04 11:50:00,Feb04,2020,2,4,11,50
Shanghai,Mainland China,2/4/20 6:33,219,1,12,2020-02-04 11:50:00,Feb04,2020,2,4,11,50
Fujian,Mainland China,2/4/20 12:13,194,0,3,2020-02-04 11:50:00,Feb04,2020,2,4,11,50
Heilongjiang,Mainland China,2/4/20 7:43,155,2,4,2020-02-04 11:50:00,Feb04,2020,2,4,11,50
Shaanxi,Mainland China,2/4/20 12:33,142,0,2,2020-02-04 11:50:00,Feb04,2020,2,4,11,50
Guangxi,Mainland China,2/4/20 5:53,139,0,10,2020-02-04 11:50:00,Feb04,2020,2,4,11,50
Hebei,Mainland China,2/4/20 8:53,126,1,4,2020-02-04 11:50:00,Feb04,2020,2,4,11,50
Yunnan,Mainland China,2/4/20 7:03,119,0,5,2020-02-04 11:50:00,Feb04,2020,2,4,11,50
Liaoning,Mainland China,2/4/20 14:13,81,0,2,2020-02-04 11:50:00,Feb04,2020,2,4,11,50
Hainan,Mainland China,2/4/20 11:33,80,1,5,2020-02-04 11:50:00,Feb04,2020,2,4,11,50
Shanxi,Mainland China,2/4/20 12:33,74,0,4,2020-02-04 11:50:00,Feb04,2020,2,4,11,50
Tianjin,Mainland China,2/4/20 13:33,67,0,2,2020-02-04 11:50:00,Feb04,2020,2,4,11,50
Guizhou,Mainland China,2/4/20 10:43,58,0,2,2020-02-04 11:50:00,Feb04,2020,2,4,11,50
Gansu,Mainland China,2/4/20 15:43,57,0,4,2020-02-04 11:50:00,Feb04,2020,2,4,11,50
Jilin,Mainland China,2/4/20 0:23,42,0,1,2020-02-04 11:50:00,Feb04,2020,2,4,11,50
Inner Mongolia,Mainland China,2/4/20 3:03,35,0,1,2020-02-04 11:50:00,Feb04,2020,2,4,11,50
Ningxia,Mainland China,2/4/20 2:13,34,0,1,2020-02-04 11:50:00,Feb04,2020,2,4,11,50
Xinjiang,Mainland China,2/4/20 1:33,29,0,0,2020-02-04 11:50:00,Feb04,2020,2,4,11,50
,Thailand,2/4/20 15:33,25,0,5,2020-02-04 11:50:00,Feb04,2020,2,4,11,50
,Singapore,2/4/20 15:33,24,0,0,2020-02-04 11:50:00,Feb04,2020,2,4,11,50
,Japan,2/4/20 16:43,22,0,1,2020-02-04 11:50:00,Feb04,2020,2,4,11,50
Hong Kong,Hong Kong,2/4/20 9:03,17,1,0,2020-02-04 11:50:00,Feb04,2020,2,4,11,50
,South Korea,2/4/20 15:33,16,0,0,2020-02-04 11:50:00,Feb04,2020,2,4,11,50
Qinghai,Mainland China,2/4/20 1:33,15,0,0,2020-02-04 11:50:00,Feb04,2020,2,4,11,50
,Germany,2/3/20 20:53,12,0,0,2020-02-04 11:50:00,Feb04,2020,2,4,11,50
Taiwan,Taiwan,2/4/20 14:53,11,0,0,2020-02-04 11:50:00,Feb04,2020,2,4,11,50
Macau,Macau,2/4/20 4:43,10,0,0,2020-02-04 11:50:00,Feb04,2020,2,4,11,50
,Malaysia,2/4/20 7:33,10,0,0,2020-02-04 11:50:00,Feb04,2020,2,4,11,50
,Vietnam,2/3/20 21:43,8,0,1,2020-02-04 11:50:00,Feb04,2020,2,4,11,50
,France,2/1/20 1:52,6,0,0,2020-02-04 11:50:00,Feb04,2020,2,4,11,50
,United Arab Emirates,2/2/20 5:43,5,0,0,2020-02-04 11:50:00,Feb04,2020,2,4,11,50
New South Wales,Australia,2/1/20 18:12,4,0,2,2020-02-04 11:50:00,Feb04,2020,2,4,11,50
Victoria,Australia,2/1/20 18:12,4,0,0,2020-02-04 11:50:00,Feb04,2020,2,4,11,50
Queensland,Australia,2/4/20 16:53,3,0,0,2020-02-04 11:50:00,Feb04,2020,2,4,11,50
,India,2/3/20 21:43,3,0,0,2020-02-04 11:50:00,Feb04,2020,2,4,11,50
South Australia,Australia,2/2/20 22:33,2,0,0,2020-02-04 11:50:00,Feb04,2020,2,4,11,50
"Toronto, ON",Canada,2/4/20 0:13,2,0,0,2020-02-04 11:50:00,Feb04,2020,2,4,11,50
,Italy,1/31/20 8:15,2,0,0,2020-02-04 11:50:00,Feb04,2020,2,4,11,50
,Philippines,2/2/20 3:33,2,1,0,2020-02-04 11:50:00,Feb04,2020,2,4,11,50
,Russia,1/31/20 16:13,2,0,0,2020-02-04 11:50:00,Feb04,2020,2,4,11,50
,UK,2/1/20 1:52,2,0,0,2020-02-04 11:50:00,Feb04,2020,2,4,11,50
"Chicago, IL",US,2/1/20 19:43,2,0,0,2020-02-04 11:50:00,Feb04,2020,2,4,11,50
"San Benito, CA",US,2/3/20 3:53,2,0,0,2020-02-04 11:50:00,Feb04,2020,2,4,11,50
"Santa Clara, CA",US,2/3/20 0:43,2,0,0,2020-02-04 11:50:00,Feb04,2020,2,4,11,50
,Belgium,2/4/20 15:43,1,0,0,2020-02-04 11:50:00,Feb04,2020,2,4,11,50
,Cambodia,1/31/20 8:15,1,0,0,2020-02-04 11:50:00,Feb04,2020,2,4,11,50
British Columbia,Canada,2/1/20 18:12,1,0,0,2020-02-04 11:50:00,Feb04,2020,2,4,11,50
"London, ON",Canada,2/4/20 0:03,1,0,0,2020-02-04 11:50:00,Feb04,2020,2,4,11,50
