Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,date,year,month,day,Latitude,Longitude
Hubei,Mainland China,2020-02-14T23:33:02,54406,1457,4774,Feb14,2020,2,14,30.9756,112.2707
Guangdong,Mainland China,2020-02-14T12:53:02,1261,2,362,Feb14,2020,2,14,23.3417,113.4244
Henan,Mainland China,2020-02-14T12:53:02,1184,11,357,Feb14,2020,2,14,33.882,113.614
Zhejiang,Mainland China,2020-02-14T14:13:15,1155,0,403,Feb14,2020,2,14,29.1832,120.0934
Hunan,Mainland China,2020-02-14T09:23:04,988,2,364,Feb14,2020,2,14,27.6104,111.7088
Anhui,Mainland China,2020-02-14T12:53:02,934,6,193,Feb14,2020,2,14,31.8257,117.2264
Jiangxi,Mainland China,2020-02-14T01:13:06,900,1,187,Feb14,2020,2,14,27.614,115.7221
Jiangsu,Mainland China,2020-02-14T10:03:03,593,0,157,Feb14,2020,2,14,32.9711,119.455
Chongqing,Mainland China,2020-02-14T23:33:02,537,5,152,Feb14,2020,2,14,30.0572,107.874
Shandong,Mainland China,2020-02-14T11:13:22,523,2,136,Feb14,2020,2,14,36.3427,118.1498
Sichuan,Mainland China,2020-02-14T11:13:22,463,1,114,Feb14,2020,2,14,30.6171,102.7103
Heilongjiang,Mainland China,2020-02-14T13:23:07,419,11,47,Feb14,2020,2,14,47.862,127.7615
Beijing,Mainland China,2020-02-14T06:33:02,372,3,80,Feb14,2020,2,14,40.1824,116.4142
Shanghai,Mainland China,2020-02-14T04:13:11,318,1,90,Feb14,2020,2,14,31.202,121.4491
Hebei,Mainland China,2020-02-14T11:13:22,283,3,87,Feb14,2020,2,14,38.0428,114.5149
Fujian,Mainland China,2020-02-14T11:13:22,281,0,63,Feb14,2020,2,14,26.0789,117.9874
Shaanxi,Mainland China,2020-02-14T12:53:02,230,0,54,Feb14,2020,2,14,35.1917,108.8701
Guangxi,Mainland China,2020-02-14T15:23:02,226,2,36,Feb14,2020,2,14,23.8298,108.7881
Diamond Princess cruise ship,Others,2020-02-14T00:13:23,218,0,0,Feb14,2020,2,14,35.4437,139.638
Yunnan,Mainland China,2020-02-14T12:53:02,162,0,36,Feb14,2020,2,14,24.974,101.487
Hainan,Mainland China,2020-02-14T15:23:02,159,4,43,Feb14,2020,2,14,19.1959,109.7453
Guizhou,Mainland China,2020-02-14T01:53:02,140,1,28,Feb14,2020,2,14,26.8154,106.8748
Shanxi,Mainland China,2020-02-14T23:23:04,127,0,38,Feb14,2020,2,14,37.5777,112.2922
Tianjin,Mainland China,2020-02-14T11:13:22,120,3,31,Feb14,2020,2,14,39.3054,117.323
Liaoning,Mainland China,2020-02-14T15:23:02,119,1,29,Feb14,2020,2,14,41.2956,122.6085
Gansu,Mainland China,2020-02-13T15:53:03,90,2,39,Feb14,2020,2,14,36.0611,103.8343
Jilin,Mainland China,2020-02-14T00:43:02,86,1,25,Feb14,2020,2,14,43.6661,126.1923
Ningxia,Mainland China,2020-02-14T01:43:02,67,0,24,Feb14,2020,2,14,37.2692,106.1655
,Singapore,2020-02-14T12:43:02,67,0,17,Feb14,2020,2,14,1.2833,103.8333
Inner Mongolia,Mainland China,2020-02-14T02:03:08,65,0,6,Feb14,2020,2,14,44.0935,113.9448
Xinjiang,Mainland China,2020-02-14T01:13:06,65,1,6,Feb14,2020,2,14,41.1129,85.2401
Hong Kong,Hong Kong,2020-02-14T09:03:12,56,1,1,Feb14,2020,2,14,22.3,114.2
,Thailand,2020-02-13T17:53:03,33,0,12,Feb14,2020,2,14,15.0,101.0
,Japan,2020-02-14T03:53:02,29,1,9,Feb14,2020,2,14,36.0,138.0
,South Korea,2020-02-12T14:43:03,28,0,7,Feb14,2020,2,14,36.0,128.0
,Malaysia,2020-02-13T10:53:02,19,0,3,Feb14,2020,2,14,2.5,112.5
Qinghai,Mainland China,2020-02-13T08:43:08,18,0,11,Feb14,2020,2,14,35.7452,95.9956
Taiwan,Taiwan,2020-02-14T02:13:06,18,0,2,Feb14,2020,2,14,23.7,121.0
,Germany,2020-02-13T15:13:11,16,0,1,Feb14,2020,2,14,51.0,9.0
,Vietnam,2020-02-13T06:33:02,16,0,7,Feb14,2020,2,14,16.0,108.0
,France,2020-02-12T18:53:02,11,0,2,Feb14,2020,2,14,47.0,2.0
Macau,Macau,2020-02-13T14:13:06,10,0,3,Feb14,2020,2,14,22.1667,113.55
,UK,2020-02-12T19:03:06,9,0,1,Feb14,2020,2,14,55.0,-3.0
,United Arab Emirates,2020-02-12T00:33:02,8,0,1,Feb14,2020,2,14,24.0,54.0
Queensland,Australia,2020-02-09T19:33:02,5,0,0,Feb14,2020,2,14,-28.0167,153.4
New South Wales,Australia,2020-02-13T17:53:03,4,0,4,Feb14,2020,2,14,-33.8688,151.2093
Victoria,Australia,2020-02-13T17:53:03,4,0,4,Feb14,2020,2,14,-37.8136,144.9631
British Columbia,Canada,2020-02-07T05:43:03,4,0,0,Feb14,2020,2,14,49.2827,-123.1207
,India,2020-02-13T18:53:02,3,0,0,Feb14,2020,2,14,21.0,78.0
,Italy,2020-02-07T17:53:02,3,0,0,Feb14,2020,2,14,43.0,12.0
,Philippines,2020-02-12T07:43:02,3,1,1,Feb14,2020,2,14,13.0,122.0
South Australia,Australia,2020-02-02T22:33:07,2,0,0,Feb14,2020,2,14,-34.9285,138.6007
"Toronto, ON",Canada,2020-02-04T00:13:06,2,0,0,Feb14,2020,2,14,43.6532,-79.3832
,Russia,2020-02-12T14:43:03,2,0,2,Feb14,2020,2,14,60.0,90.0
,Spain,2020-02-09T20:33:03,2,0,0,Feb14,2020,2,14,40.0,-4.0
"Chicago, IL",US,2020-02-09T19:03:03,2,0,2,Feb14,2020,2,14,41.8781,-87.6298
"San Benito, CA",US,2020-02-03T03:53:02,2,0,0,Feb14,2020,2,14,36.5761,-120.9876
"San Diego County, CA",US,2020-02-13T03:13:08,2,0,0,Feb14,2020,2,14,32.7157,-117.1611
"Santa Clara, CA",US,2020-02-03T00:43:02,2,0,0,Feb14,2020,2,14,37.3541,-121.9552
,Belgium,2020-02-04T15:43:02,1,0,0,Feb14,2020,2,14,50.8333,4.0
,Cambodia,2020-02-12T07:43:02,1,0,1,Feb14,2020,2,14,11.55,104.9167
"London, ON",Canada,2020-02-12T18:53:03,1,0,1,Feb14,2020,2,14,42.9849,-81.2453
,Egypt,2020-02-14T23:53:02,1,0,0,Feb14,2020,2,14,26.0,30.0
,Finland,2020-02-12T00:03:12,1,0,1,Feb14,2020,2,14,64.0,26.0
Tibet,Mainland China,2020-02-12T06:43:02,1,0,1,Feb14,2020,2,14,31.6927,88.0924
,Nepal,2020-02-12T14:43:03,1,0,1,Feb14,2020,2,14,28.1667,84.25
,Sri Lanka,2020-02-08T03:43:03,1,0,1,Feb14,2020,2,14,7.0,81.0
,Sweden,2020-02-01T02:13:26,1,0,0,Feb14,2020,2,14,63.0,16.0
"Boston, MA",US,2020-02-01T19:43:03,1,0,0,Feb14,2020,2,14,42.3601,-71.0589
"Los Angeles, CA",US,2020-02-01T19:53:03,1,0,0,Feb14,2020,2,14,34.0522,-118.2437
"Madison, WI",US,2020-02-05T21:53:02,1,0,0,Feb14,2020,2,14,43.0731,-89.4012
"Orange, CA",US,2020-02-01T19:53:03,1,0,0,Feb14,2020,2,14,33.7879,-117.8531
"San Antonio, TX",US,2020-02-13T18:53:02,1,0,0,Feb14,2020,2,14,29.4241,-98.4936
"Seattle, WA",US,2020-02-09T07:03:04,1,0,1,Feb14,2020,2,14,47.6062,-122.3321
"Tempe, AZ",US,2020-02-01T19:43:03,1,0,0,Feb14,2020,2,14,33.4255,-111.94
