Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Suspected,ConfnSusp,datetime,date,year,month,day,hr,min
Hubei,Mainland China,1/25/2020  12pm,761,40.0,32.0,,761,2020-01-25 12:00:00,Jan25,2020,1,25,12,0
Guangdong,Mainland China,1/25/2020  12pm,78,,2.0,,78,2020-01-25 12:00:00,Jan25,2020,1,25,12,0
Zhejiang,Mainland China,1/25/2020  12pm,62,,1.0,,62,2020-01-25 12:00:00,Jan25,2020,1,25,12,0
Chongqing,Mainland China,1/25/2020  12pm,57,,,,57,2020-01-25 12:00:00,Jan25,2020,1,25,12,0
Hunan,Mainland China,1/25/2020  12pm,43,,,,43,2020-01-25 12:00:00,Jan25,2020,1,25,12,0
Beijing,Mainland China,1/25/2020  12pm,41,,2.0,,41,2020-01-25 12:00:00,Jan25,2020,1,25,12,0
Anhui,Mainland China,1/25/2020  12pm,39,,,4.0,43,2020-01-25 12:00:00,Jan25,2020,1,25,12,0
Shanghai,Mainland China,1/25/2020  12pm,33,,1.0,72.0,105,2020-01-25 12:00:00,Jan25,2020,1,25,12,0
Henan,Mainland China,1/25/2020  12pm,32,,,1.0,33,2020-01-25 12:00:00,Jan25,2020,1,25,12,0
Sichuan,Mainland China,1/25/2020  12pm,28,,,4.0,32,2020-01-25 12:00:00,Jan25,2020,1,25,12,0
Shandong,Mainland China,1/25/2020  12pm,27,,,,27,2020-01-25 12:00:00,Jan25,2020,1,25,12,0
Guangxi,Mainland China,1/25/2020  12pm,23,,,,23,2020-01-25 12:00:00,Jan25,2020,1,25,12,0
Hainan,Mainland China,1/25/2020  12pm,19,,,,19,2020-01-25 12:00:00,Jan25,2020,1,25,12,0
Jiangxi,Mainland China,1/25/2020  12pm,18,,,,18,2020-01-25 12:00:00,Jan25,2020,1,25,12,0
Fujian,Mainland China,1/25/2020  12pm,18,,,20.0,38,2020-01-25 12:00:00,Jan25,2020,1,25,12,0
Jiangsu,Mainland China,1/25/2020  12pm,18,,1.0,,18,2020-01-25 12:00:00,Jan25,2020,1,25,12,0
Liaoning,Mainland China,1/25/2020  12pm,17,,,,17,2020-01-25 12:00:00,Jan25,2020,1,25,12,0
Shaanxi,Mainland China,1/25/2020  12pm,15,,,,15,2020-01-25 12:00:00,Jan25,2020,1,25,12,0
Yunnan,Mainland China,1/25/2020  12pm,11,,,58.0,69,2020-01-25 12:00:00,Jan25,2020,1,25,12,0
Tianjin,Mainland China,1/25/2020  12pm,10,,,,10,2020-01-25 12:00:00,Jan25,2020,1,25,12,0
Heilongjiang,Mainland China,1/25/2020  12pm,9,1.0,,,9,2020-01-25 12:00:00,Jan25,2020,1,25,12,0
Hebei,Mainland China,1/25/2020  12pm,8,1.0,,,8,2020-01-25 12:00:00,Jan25,2020,1,25,12,0
Inner Mongolia,Mainland China,1/25/2020  12pm,7,,,,7,2020-01-25 12:00:00,Jan25,2020,1,25,12,0
Shanxi,Mainland China,1/25/2020  12pm,6,,,,6,2020-01-25 12:00:00,Jan25,2020,1,25,12,0
Hong Kong,Hong Kong,1/25/2020  12pm,5,,,244.0,249,2020-01-25 12:00:00,Jan25,2020,1,25,12,0
Guizhou,Mainland China,1/25/2020  12pm,4,,,,4,2020-01-25 12:00:00,Jan25,2020,1,25,12,0
Jilin,Mainland China,1/25/2020  12pm,4,,,,4,2020-01-25 12:00:00,Jan25,2020,1,25,12,0
Gansu,Mainland China,1/25/2020  12pm,4,,,,4,2020-01-25 12:00:00,Jan25,2020,1,25,12,0
Ningxia,Mainland China,1/25/2020  12pm,3,,,1.0,4,2020-01-25 12:00:00,Jan25,2020,1,25,12,0
Taiwan,Taiwan,1/25/2020  12pm,3,,,,3,2020-01-25 12:00:00,Jan25,2020,1,25,12,0
Xinjiang,Mainland China,1/25/2020  12pm,3,,,,3,2020-01-25 12:00:00,Jan25,2020,1,25,12,0
Macau,Macau,1/25/2020  12pm,2,,,,2,2020-01-25 12:00:00,Jan25,2020,1,25,12,0
Qinghai,Mainland China,1/25/2020  12pm,1,,,,1,2020-01-25 12:00:00,Jan25,2020,1,25,12,0
Washington,US,1/25/2020  12pm,1,,,,1,2020-01-25 12:00:00,Jan25,2020,1,25,12,0
Illinois,US,1/25/2020  12pm,1,,,,1,2020-01-25 12:00:00,Jan25,2020,1,25,12,0
,Japan,1/25/2020  12pm,2,,,,2,2020-01-25 12:00:00,Jan25,2020,1,25,12,0
,Thailand,1/25/2020  12pm,7,,,,7,2020-01-25 12:00:00,Jan25,2020,1,25,12,0
,South Korea,1/25/2020  12pm,2,,,,2,2020-01-25 12:00:00,Jan25,2020,1,25,12,0
,Singapore ,1/25/2020  12pm,3,,,,3,2020-01-25 12:00:00,Jan25,2020,1,25,12,0
,Vietnam,1/25/2020  12pm,2,,,,2,2020-01-25 12:00:00,Jan25,2020,1,25,12,0
,France,1/25/2020  12pm,3,,,,3,2020-01-25 12:00:00,Jan25,2020,1,25,12,0
,Australia,1/25/2020  12pm,4,,,,4,2020-01-25 12:00:00,Jan25,2020,1,25,12,0
,Nepal,1/25/2020  12pm,1,,,,1,2020-01-25 12:00:00,Jan25,2020,1,25,12,0
,Malaysia ,1/25/2020  12pm,3,,,,3,2020-01-25 12:00:00,Jan25,2020,1,25,12,0
