Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,datetime,date,year,month,day,hr,min
Hubei,Mainland China,1/28/20 13:00,2714,100.0,52.0,2020-01-28 13:00:00,Jan28,2020,1,28,13,0
Guangdong,Mainland China,1/28/20 13:00,207,,4.0,2020-01-28 13:00:00,Jan28,2020,1,28,13,0
Zhejiang,Mainland China,1/28/20 13:00,173,,3.0,2020-01-28 13:00:00,Jan28,2020,1,28,13,0
Henan,Mainland China,1/28/20 13:00,168,1.0,,2020-01-28 13:00:00,Jan28,2020,1,28,13,0
Hunan,Mainland China,1/28/20 13:00,143,,,2020-01-28 13:00:00,Jan28,2020,1,28,13,0
Chongqing,Mainland China,1/28/20 13:00,132,,,2020-01-28 13:00:00,Jan28,2020,1,28,13,0
Anhui,Mainland China,1/28/20 13:00,106,,,2020-01-28 13:00:00,Jan28,2020,1,28,13,0
Shandong,Mainland China,1/28/20 13:00,95,,,2020-01-28 13:00:00,Jan28,2020,1,28,13,0
Beijing,Mainland China,1/28/20 13:00,91,1.0,4.0,2020-01-28 13:00:00,Jan28,2020,1,28,13,0
Sichuan,Mainland China,1/28/20 13:00,90,,,2020-01-28 13:00:00,Jan28,2020,1,28,13,0
Fujian,Mainland China,1/28/20 13:00,80,,,2020-01-28 13:00:00,Jan28,2020,1,28,13,0
Jiangxi,Mainland China,1/28/20 13:00,72,,3.0,2020-01-28 13:00:00,Jan28,2020,1,28,13,0
Jiangsu,Mainland China,1/28/20 13:00,70,,1.0,2020-01-28 13:00:00,Jan28,2020,1,28,13,0
Shanghai,Mainland China,1/28/20 13:00,66,1.0,4.0,2020-01-28 13:00:00,Jan28,2020,1,28,13,0
Guangxi,Mainland China,1/28/20 13:00,51,,2.0,2020-01-28 13:00:00,Jan28,2020,1,28,13,0
Shaanxi,Mainland China,1/28/20 13:00,46,,,2020-01-28 13:00:00,Jan28,2020,1,28,13,0
Yunnan,Mainland China,1/28/20 13:00,44,,,2020-01-28 13:00:00,Jan28,2020,1,28,13,0
Hainan,Mainland China,1/28/20 13:00,40,1.0,,2020-01-28 13:00:00,Jan28,2020,1,28,13,0
Liaoning,Mainland China,1/28/20 13:00,34,,,2020-01-28 13:00:00,Jan28,2020,1,28,13,0
Heilongjiang,Mainland China,1/28/20 13:00,33,1.0,,2020-01-28 13:00:00,Jan28,2020,1,28,13,0
Hebei,Mainland China,1/28/20 13:00,33,1.0,,2020-01-28 13:00:00,Jan28,2020,1,28,13,0
Tianjin,Mainland China,1/28/20 13:00,24,,,2020-01-28 13:00:00,Jan28,2020,1,28,13,0
Shanxi,Mainland China,1/28/20 13:00,20,,,2020-01-28 13:00:00,Jan28,2020,1,28,13,0
Gansu,Mainland China,1/28/20 13:00,19,,,2020-01-28 13:00:00,Jan28,2020,1,28,13,0
Inner Mongolia,Mainland China,1/28/20 13:00,15,,,2020-01-28 13:00:00,Jan28,2020,1,28,13,0
Ningxia,Mainland China,1/28/20 13:00,11,,,2020-01-28 13:00:00,Jan28,2020,1,28,13,0
Xinjiang,Mainland China,1/28/20 13:00,10,,,2020-01-28 13:00:00,Jan28,2020,1,28,13,0
Guizhou,Mainland China,1/28/20 13:00,9,,,2020-01-28 13:00:00,Jan28,2020,1,28,13,0
Jilin,Mainland China,1/28/20 13:00,8,,,2020-01-28 13:00:00,Jan28,2020,1,28,13,0
Taiwan,Taiwan,1/28/20 13:00,8,,,2020-01-28 13:00:00,Jan28,2020,1,28,13,0
Hong Kong,Hong Kong,1/28/20 13:00,8,,,2020-01-28 13:00:00,Jan28,2020,1,28,13,0
Macau,Macau,1/28/20 13:00,7,,,2020-01-28 13:00:00,Jan28,2020,1,28,13,0
Qinghai,Mainland China,1/28/20 13:00,6,,,2020-01-28 13:00:00,Jan28,2020,1,28,13,0
Washington,US,1/28/20 13:00,1,,,2020-01-28 13:00:00,Jan28,2020,1,28,13,0
Illinois,US,1/28/20 13:00,1,,,2020-01-28 13:00:00,Jan28,2020,1,28,13,0
California,US,1/28/20 13:00,2,,,2020-01-28 13:00:00,Jan28,2020,1,28,13,0
Arizona,US,1/28/20 13:00,1,,,2020-01-28 13:00:00,Jan28,2020,1,28,13,0
,Japan,1/28/20 13:00,7,,1.0,2020-01-28 13:00:00,Jan28,2020,1,28,13,0
,Thailand,1/28/20 13:00,14,,5.0,2020-01-28 13:00:00,Jan28,2020,1,28,13,0
,South Korea,1/28/20 13:00,4,,,2020-01-28 13:00:00,Jan28,2020,1,28,13,0
,Singapore ,1/28/20 13:00,7,,,2020-01-28 13:00:00,Jan28,2020,1,28,13,0
,Vietnam,1/28/20 13:00,2,,,2020-01-28 13:00:00,Jan28,2020,1,28,13,0
,France,1/28/20 13:00,3,,,2020-01-28 13:00:00,Jan28,2020,1,28,13,0
,Nepal,1/28/20 13:00,1,,,2020-01-28 13:00:00,Jan28,2020,1,28,13,0
,Malaysia ,1/28/20 13:00,4,,,2020-01-28 13:00:00,Jan28,2020,1,28,13,0
Ontario,Canada,1/28/20 13:00,2,,,2020-01-28 13:00:00,Jan28,2020,1,28,13,0
,Cambodia,1/28/20 13:00,1,,,2020-01-28 13:00:00,Jan28,2020,1,28,13,0
,Sri Lanka,1/28/20 13:00,1,,,2020-01-28 13:00:00,Jan28,2020,1,28,13,0
New South Wales,Australia,1/28/20 13:00,4,,,2020-01-28 13:00:00,Jan28,2020,1,28,13,0
Victoria,Australia,1/28/20 13:00,1,,,2020-01-28 13:00:00,Jan28,2020,1,28,13,0
Bavaria,Germany,1/28/20 13:00,1,,,2020-01-28 13:00:00,Jan28,2020,1,28,13,0
