Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,datetime,date,year,month,day,hr,min
Hubei,Mainland China,2/5/20 16:43,16678,479,538,2020-02-05 12:20:00,Feb05,2020,2,5,12,20
Guangdong,Mainland China,2/5/20 13:23,895,0,49,2020-02-05 12:20:00,Feb05,2020,2,5,12,20
Zhejiang,Mainland China,2/5/20 15:13,895,0,78,2020-02-05 12:20:00,Feb05,2020,2,5,12,20
Henan,Mainland China,2/5/20 15:03,764,2,47,2020-02-05 12:20:00,Feb05,2020,2,5,12,20
Hunan,Mainland China,2/5/20 15:23,661,0,54,2020-02-05 12:20:00,Feb05,2020,2,5,12,20
Jiangxi,Mainland China,2/5/20 1:33,548,0,27,2020-02-05 12:20:00,Feb05,2020,2,5,12,20
Anhui,Mainland China,2/5/20 13:43,530,0,23,2020-02-05 12:20:00,Feb05,2020,2,5,12,20
Chongqing,Mainland China,2/5/20 9:13,376,2,15,2020-02-05 12:20:00,Feb05,2020,2,5,12,20
Jiangsu,Mainland China,2/5/20 12:43,341,0,23,2020-02-05 12:20:00,Feb05,2020,2,5,12,20
Shandong,Mainland China,2/5/20 10:13,307,0,15,2020-02-05 12:20:00,Feb05,2020,2,5,12,20
Sichuan,Mainland China,2/5/20 10:13,301,1,24,2020-02-05 12:20:00,Feb05,2020,2,5,12,20
Beijing,Mainland China,2/5/20 5:43,253,1,24,2020-02-05 12:20:00,Feb05,2020,2,5,12,20
Shanghai,Mainland China,2/5/20 6:23,243,1,15,2020-02-05 12:20:00,Feb05,2020,2,5,12,20
Fujian,Mainland China,2/5/20 12:33,205,0,11,2020-02-05 12:20:00,Feb05,2020,2,5,12,20
Heilongjiang,Mainland China,2/5/20 12:13,190,2,7,2020-02-05 12:20:00,Feb05,2020,2,5,12,20
Shaanxi,Mainland China,2/5/20 8:43,165,0,6,2020-02-05 12:20:00,Feb05,2020,2,5,12,20
Guangxi,Mainland China,2/5/20 12:03,150,0,13,2020-02-05 12:20:00,Feb05,2020,2,5,12,20
Hebei,Mainland China,2/5/20 11:23,135,1,6,2020-02-05 12:20:00,Feb05,2020,2,5,12,20
Yunnan,Mainland China,2/5/20 7:43,124,0,5,2020-02-05 12:20:00,Feb05,2020,2,5,12,20
Hainan,Mainland China,2/5/20 16:43,99,1,5,2020-02-05 12:20:00,Feb05,2020,2,5,12,20
Liaoning,Mainland China,2/5/20 15:23,89,0,4,2020-02-05 12:20:00,Feb05,2020,2,5,12,20
Shanxi,Mainland China,2/5/20 15:23,81,0,5,2020-02-05 12:20:00,Feb05,2020,2,5,12,20
Tianjin,Mainland China,2/5/20 3:43,69,1,2,2020-02-05 12:20:00,Feb05,2020,2,5,12,20
Guizhou,Mainland China,2/5/20 12:33,64,1,9,2020-02-05 12:20:00,Feb05,2020,2,5,12,20
Gansu,Mainland China,2/5/20 16:23,62,0,6,2020-02-05 12:20:00,Feb05,2020,2,5,12,20
Jilin,Mainland China,2/5/20 11:03,54,0,2,2020-02-05 12:20:00,Feb05,2020,2,5,12,20
Inner Mongolia,Mainland China,2/5/20 8:53,42,0,3,2020-02-05 12:20:00,Feb05,2020,2,5,12,20
Ningxia,Mainland China,2/4/20 2:13,34,0,1,2020-02-05 12:20:00,Feb05,2020,2,5,12,20
Xinjiang,Mainland China,2/5/20 2:03,32,0,0,2020-02-05 12:20:00,Feb05,2020,2,5,12,20
,Singapore,2/5/20 16:33,28,0,0,2020-02-05 12:20:00,Feb05,2020,2,5,12,20
,Thailand,2/4/20 15:33,25,0,5,2020-02-05 12:20:00,Feb05,2020,2,5,12,20
,Japan,2/4/20 16:43,22,0,1,2020-02-05 12:20:00,Feb05,2020,2,5,12,20
Hong Kong,Hong Kong,2/5/20 13:13,21,1,0,2020-02-05 12:20:00,Feb05,2020,2,5,12,20
,South Korea,2/5/20 15:33,19,0,0,2020-02-05 12:20:00,Feb05,2020,2,5,12,20
Qinghai,Mainland China,2/5/20 3:13,17,0,3,2020-02-05 12:20:00,Feb05,2020,2,5,12,20
,Germany,2/3/20 20:53,12,0,0,2020-02-05 12:20:00,Feb05,2020,2,5,12,20
,Malaysia,2/5/20 15:43,12,0,0,2020-02-05 12:20:00,Feb05,2020,2,5,12,20
Taiwan,Taiwan,2/4/20 14:53,11,0,0,2020-02-05 12:20:00,Feb05,2020,2,5,12,20
Macau,Macau,2/4/20 4:43,10,0,0,2020-02-05 12:20:00,Feb05,2020,2,5,12,20
,Vietnam,2/3/20 21:43,8,0,1,2020-02-05 12:20:00,Feb05,2020,2,5,12,20
,France,2/1/20 1:52,6,0,0,2020-02-05 12:20:00,Feb05,2020,2,5,12,20
,United Arab Emirates,2/2/20 5:43,5,0,0,2020-02-05 12:20:00,Feb05,2020,2,5,12,20
New South Wales,Australia,2/1/20 18:12,4,0,2,2020-02-05 12:20:00,Feb05,2020,2,5,12,20
Victoria,Australia,2/1/20 18:12,4,0,0,2020-02-05 12:20:00,Feb05,2020,2,5,12,20
Queensland,Australia,2/4/20 16:53,3,0,0,2020-02-05 12:20:00,Feb05,2020,2,5,12,20
,India,2/3/20 21:43,3,0,0,2020-02-05 12:20:00,Feb05,2020,2,5,12,20
South Australia,Australia,2/2/20 22:33,2,0,0,2020-02-05 12:20:00,Feb05,2020,2,5,12,20
"Toronto, ON",Canada,2/4/20 0:13,2,0,0,2020-02-05 12:20:00,Feb05,2020,2,5,12,20
,Italy,1/31/20 8:15,2,0,0,2020-02-05 12:20:00,Feb05,2020,2,5,12,20
,Philippines,2/2/20 3:33,2,1,0,2020-02-05 12:20:00,Feb05,2020,2,5,12,20
,Russia,1/31/20 16:13,2,0,0,2020-02-05 12:20:00,Feb05,2020,2,5,12,20
,UK,2/1/20 1:52,2,0,0,2020-02-05 12:20:00,Feb05,2020,2,5,12,20
"Chicago, IL",US,2/1/20 19:43,2,0,0,2020-02-05 12:20:00,Feb05,2020,2,5,12,20
"San Benito, CA",US,2/3/20 3:53,2,0,0,2020-02-05 12:20:00,Feb05,2020,2,5,12,20
"Santa Clara, CA",US,2/3/20 0:43,2,0,0,2020-02-05 12:20:00,Feb05,2020,2,5,12,20
,Belgium,2/4/20 15:43,1,0,0,2020-02-05 12:20:00,Feb05,2020,2,5,12,20
,Cambodia,1/31/20 8:15,1,0,0,2020-02-05 12:20:00,Feb05,2020,2,5,12,20
British Columbia,Canada,2/1/20 18:12,1,0,0,2020-02-05 12:20:00,Feb05,2020,2,5,12,20
"London, ON",Canada,2/4/20 0:03,1,0,0,2020-02-05 12:20:00,Feb05,2020,2,5,12,20
,Finland,1/31/20 8:15,1,0,0,2020-02-05 12:20:00,Feb05,2020,2,5,12,20
Tibet,Mainland China,2/1/20 1:52,1,0,0,2020-02-05 12:20:00,Feb05,2020,2,5,12,20
,Nepal,1/31/20 8:15,1,0,0,2020-02-05 12:20:00,Feb05,2020,2,5,12,20
,Spain,2/1/20 23:43,1,0,0,2020-02-05 12:20:00,Feb05,2020,2,5,12,20
,Sri Lanka,1/31/20 8:15,1,0,0,2020-02-05 12:20:00,Feb05,2020,2,5,12,20
,Sweden,2/1/20 2:13,1,0,0,2020-02-05 12:20:00,Feb05,2020,2,5,12,20
"Boston, MA",US,2/1/20 19:43,1,0,0,2020-02-05 12:20:00,Feb05,2020,2,5,12,20
"Los Angeles, CA",US,2/1/20 19:53,1,0,0,2020-02-05 12:20:00,Feb05,2020,2,5,12,20
"Orange, CA",US,2/1/20 19:53,1,0,0,2020-02-05 12:20:00,Feb05,2020,2,5,12,20
"Seattle, WA",US,2/1/20 19:43,1,0,0,2020-02-05 12:20:00,Feb05,2020,2,5,12,20
"Tempe, AZ",US,2/1/20 19:43,1,0,0,2020-02-05 12:20:00,Feb05,2020,2,5,12,20
