Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude,date,year,month,day
Hubei,China,2020-03-19T10:13:14,67800,3130,57682,30.9756,112.2707,Mar19,2020,3,19
,Italy,2020-03-19T17:43:03,41035,3405,4440,41.8719,12.5674,Mar19,2020,3,19
,Iran,2020-03-19T11:33:29,18407,1284,5710,32.4279,53.688,Mar19,2020,3,19
,Spain,2020-03-19T20:13:08,17963,830,1107,40.4637,-3.7492,Mar19,2020,3,19
,Germany,2020-03-19T20:13:08,15320,44,113,51.1657,10.4515,Mar19,2020,3,19
France,France,2020-03-19T20:43:02,10871,243,12,46.2276,2.2137,Mar19,2020,3,19
,"Korea, South",2020-03-19T02:13:17,8565,91,1540,35.9078,127.7669,Mar19,2020,3,19
New York,US,2020-03-19T23:43:04,5365,34,0,42.1657,-74.9481,Mar19,2020,3,19
,Switzerland,2020-03-19T21:13:15,4075,41,15,46.8182,8.2275,Mar19,2020,3,19
United Kingdom,United Kingdom,2020-03-19T17:13:27,2689,137,65,55.3781,-3.436,Mar19,2020,3,19
Netherlands,Netherlands,2020-03-19T14:53:06,2460,76,2,52.1326,5.2913,Mar19,2020,3,19
,Austria,2020-03-19T14:53:05,2013,6,9,47.5162,14.5501,Mar19,2020,3,19
,Belgium,2020-03-19T11:13:17,1795,21,31,50.5039,4.4699,Mar19,2020,3,19
,Norway,2020-03-19T17:13:14,1746,7,1,60.472,8.4689,Mar19,2020,3,19
,Sweden,2020-03-19T15:13:27,1439,11,16,60.1282,18.6435,Mar19,2020,3,19
Guangdong,China,2020-03-19T01:13:06,1378,8,1318,23.3417,113.4244,Mar19,2020,3,19
Washington,US,2020-03-19T23:43:04,1376,74,0,47.4009,-121.4905,Mar19,2020,3,19
Henan,China,2020-03-14T09:53:08,1273,22,1250,33.882,113.614,Mar19,2020,3,19
Zhejiang,China,2020-03-19T10:13:14,1233,1,1217,29.1832,120.0934,Mar19,2020,3,19
Denmark,Denmark,2020-03-19T17:13:42,1151,6,1,56.2639,9.5018,Mar19,2020,3,19
Hunan,China,2020-03-14T08:33:03,1018,4,1014,27.6104,111.7088,Mar19,2020,3,19
Anhui,China,2020-03-11T02:18:14,990,6,984,31.8257,117.2264,Mar19,2020,3,19
California,US,2020-03-19T21:13:40,952,18,0,36.1162,-119.6816,Mar19,2020,3,19
Jiangxi,China,2020-03-12T02:13:04,935,1,934,27.614,115.7221,Mar19,2020,3,19
,Japan,2020-03-19T10:13:15,924,29,150,36.2048,138.2529,Mar19,2020,3,19
,Malaysia,2020-03-19T10:13:15,900,2,75,4.2105,101.9758,Mar19,2020,3,19
,Portugal,2020-03-19T15:13:27,785,3,3,39.3999,-8.2245,Mar19,2020,3,19
Shandong,China,2020-03-19T01:02:56,761,7,747,36.3427,118.1498,Mar19,2020,3,19
New Jersey,US,2020-03-19T23:43:04,742,9,0,40.2989,-74.521,Mar19,2020,3,19
Diamond Princess,Cruise Ship,2020-03-18T10:33:04,712,7,325,35.4498,139.6649,Mar19,2020,3,19
,Czechia,2020-03-19T18:13:20,694,0,3,49.8175,15.473,Mar19,2020,3,19
,Israel,2020-03-19T20:43:02,677,0,11,31.0461,34.8516,Mar19,2020,3,19
Jiangsu,China,2020-03-15T01:53:02,631,0,631,32.9711,119.455,Mar19,2020,3,19
,Brazil,2020-03-19T20:43:02,621,6,2,-14.235,-51.9253,Mar19,2020,3,19
Chongqing,China,2020-03-15T03:53:04,576,6,570,30.0572,107.874,Mar19,2020,3,19
,Ireland,2020-03-19T18:43:03,557,3,5,53.1424,-7.6921,Mar19,2020,3,19
Sichuan,China,2020-03-19T10:13:14,540,3,536,30.6171,102.7103,Mar19,2020,3,19
Heilongjiang,China,2020-03-19T01:02:56,483,13,460,47.862,127.7615,Mar19,2020,3,19
Beijing,China,2020-03-19T05:13:10,480,8,380,40.1824,116.4142,Mar19,2020,3,19
,Qatar,2020-03-19T20:13:08,460,0,4,25.3548,51.1839,Mar19,2020,3,19
,Pakistan,2020-03-19T20:13:08,454,2,13,30.3753,69.3451,Mar19,2020,3,19
Illinois,US,2020-03-19T21:13:40,422,4,0,40.3495,-88.9861,Mar19,2020,3,19
,Greece,2020-03-19T11:13:18,418,6,8,39.0742,21.8243,Mar19,2020,3,19
Florida,US,2020-03-19T23:43:04,417,9,0,27.7663,-81.6868,Mar19,2020,3,19
,Finland,2020-03-19T16:13:36,400,0,10,61.9241,25.7482,Mar19,2020,3,19
Louisiana,US,2020-03-19T23:43:04,392,10,0,31.1695,-91.8678,Mar19,2020,3,19
Shanghai,China,2020-03-19T01:02:56,363,3,326,31.202,121.4491,Mar19,2020,3,19
,Poland,2020-03-19T20:13:28,355,5,1,51.9194,19.1451,Mar19,2020,3,19
,Singapore,2020-03-19T16:13:36,345,0,114,1.3521,103.8198,Mar19,2020,3,19
,Luxembourg,2020-03-19T11:13:18,335,4,0,49.8153,6.1296,Mar19,2020,3,19
Michigan,US,2020-03-19T23:43:04,334,3,0,43.3266,-84.5361,Mar19,2020,3,19
,Iceland,2020-03-19T11:33:29,330,1,5,64.9631,-19.0208,Mar19,2020,3,19
Massachusetts,US,2020-03-19T21:13:35,328,0,0,42.2302,-71.5301,Mar19,2020,3,19
Hebei,China,2020-03-13T11:09:03,318,6,310,38.0428,114.5149,Mar19,2020,3,19
,Indonesia,2020-03-19T10:13:16,311,25,11,-0.7893,113.9213,Mar19,2020,3,19
New South Wales,Australia,2020-03-19T11:13:54,307,5,4,-33.8688,151.2093,Mar19,2020,3,19
Fujian,China,2020-03-11T02:18:14,296,1,295,26.0789,117.9874,Mar19,2020,3,19
Georgia,US,2020-03-19T21:13:35,287,10,0,33.0406,-83.6431,Mar19,2020,3,19
,Slovenia,2020-03-19T02:13:17,286,1,0,46.1512,14.9955,Mar19,2020,3,19
,Bahrain,2020-03-19T18:13:29,278,1,100,26.0667,50.5577,Mar19,2020,3,19
,Romania,2020-03-19T11:33:29,277,0,25,45.9432,24.9668,Mar19,2020,3,19
Colorado,US,2020-03-19T23:43:04,277,4,0,39.0598,-105.3111,Mar19,2020,3,19
,Saudi Arabia,2020-03-19T20:43:02,274,0,6,23.8859,45.0792,Mar19,2020,3,19
,Thailand,2020-03-19T10:13:16,272,1,42,15.87,100.9925,Mar19,2020,3,19
,Estonia,2020-03-19T11:33:29,267,0,1,58.5953,25.0136,Mar19,2020,3,19
Texas,US,2020-03-19T21:13:35,260,5,0,31.0545,-97.5635,Mar19,2020,3,19
Ontario,Canada,2020-03-19T16:43:04,257,1,5,51.2538,-85.3232,Mar19,2020,3,19
,Egypt,2020-03-19T20:43:02,256,6,32,26.8206,30.8025,Mar19,2020,3,19
Guangxi,China,2020-03-18T00:33:02,253,2,250,23.8298,108.7881,Mar19,2020,3,19
Shaanxi,China,2020-03-18T03:53:02,246,3,237,35.1917,108.8701,Mar19,2020,3,19
,Chile,2020-03-18T13:33:12,238,0,0,-35.6751,-71.543,Mar19,2020,3,19
,Peru,2020-03-19T18:13:29,234,0,1,-9.19,-75.0152,Mar19,2020,3,19
British Columbia,Canada,2020-03-19T03:13:26,231,7,4,53.7267,-127.6476,Mar19,2020,3,19
,Philippines,2020-03-19T11:13:24,217,17,8,12.8797,121.774,Mar19,2020,3,19
Hong Kong,China,2020-03-19T09:53:20,208,4,95,22.3,114.2,Mar19,2020,3,19
Pennsylvania,US,2020-03-19T21:13:35,206,1,0,40.5908,-77.2098,Mar19,2020,3,19
,Ecuador,2020-03-19T17:13:14,199,3,0,-1.8312,-78.1834,Mar19,2020,3,19
,Russia,2020-03-19T16:13:36,199,1,9,61.524,105.3188,Mar19,2020,3,19
,India,2020-03-19T20:43:02,194,4,15,20.5937,78.9629,Mar19,2020,3,19
,Iraq,2020-03-19T20:13:34,192,13,43,33.2232,43.6793,Mar19,2020,3,19
,Turkey,2020-03-19T16:43:03,192,3,0,38.9637,35.2433,Mar19,2020,3,19
Yunnan,China,2020-03-16T23:53:02,176,2,172,24.974,101.487,Mar19,2020,3,19
Hainan,China,2020-03-16T14:38:45,168,6,161,19.1959,109.7453,Mar19,2020,3,19
Connecticut,US,2020-03-19T23:43:04,159,2,0,41.5978,-72.7554,Mar19,2020,3,19
Wisconsin,US,2020-03-19T23:43:04,159,0,0,44.2685,-89.6165,Mar19,2020,3,19
,Lebanon,2020-03-19T18:43:03,157,4,4,33.8547,35.8623,Mar19,2020,3,19
Tennessee,US,2020-03-19T21:13:40,154,0,0,35.7478,-86.6923,Mar19,2020,3,19
,South Africa,2020-03-19T16:43:03,150,0,0,-30.5595,22.9375,Mar19,2020,3,19
,Kuwait,2020-03-19T10:13:23,148,0,18,29.3117,47.4818,Mar19,2020,3,19
Guizhou,China,2020-03-18T01:53:03,146,2,144,26.8154,106.8748,Mar19,2020,3,19
Queensland,Australia,2020-03-19T11:13:54,144,0,8,-28.0167,153.4,Mar19,2020,3,19
,United Arab Emirates,2020-03-19T16:13:36,140,0,31,23.4241,53.8478,Mar19,2020,3,19
Tianjin,China,2020-03-19T23:43:03,137,3,133,39.3054,117.323,Mar19,2020,3,19
Gansu,China,2020-03-19T14:33:08,134,2,91,36.0611,103.8343,Mar19,2020,3,19
Shanxi,China,2020-03-13T11:09:03,133,0,133,37.5777,112.2922,Mar19,2020,3,19
Liaoning,China,2020-03-18T02:13:06,125,1,122,41.2956,122.6085,Mar19,2020,3,19
,Slovakia,2020-03-19T16:13:36,123,1,0,48.669,19.699,Mar19,2020,3,19
North Carolina,US,2020-03-19T23:43:04,123,0,0,35.6301,-79.8064,Mar19,2020,3,19
Victoria,Australia,2020-03-18T12:13:09,121,0,8,-37.8136,144.9631,Mar19,2020,3,19
Quebec,Canada,2020-03-19T17:43:04,121,1,0,52.9399,-73.5491,Mar19,2020,3,19
Alberta,Canada,2020-03-19T03:13:26,119,0,0,53.9333,-116.5765,Mar19,2020,3,19
,San Marino,2020-03-18T02:53:03,119,11,4,43.9424,12.4578,Mar19,2020,3,19
Ohio,US,2020-03-19T21:43:03,119,0,0,40.3888,-82.7649,Mar19,2020,3,19
,Mexico,2020-03-19T10:53:03,118,1,4,23.6345,-102.5528,Mar19,2020,3,19
,Armenia,2020-03-19T10:53:03,115,0,1,40.0691,45.0382,Mar19,2020,3,19
,Panama,2020-03-19T02:33:08,109,1,0,8.538,-80.7821,Mar19,2020,3,19
,Taiwan*,2020-03-19T06:53:03,108,1,26,23.7,121.0,Mar19,2020,3,19
Maryland,US,2020-03-19T21:43:03,107,1,0,39.0639,-76.8021,Mar19,2020,3,19
,Croatia,2020-03-19T16:43:03,105,1,5,45.1,15.2,Mar19,2020,3,19
,Serbia,2020-03-19T18:13:29,103,0,1,44.0165,21.0059,Mar19,2020,3,19
,Colombia,2020-03-19T10:53:03,102,0,1,4.5709,-74.2973,Mar19,2020,3,19
Virginia,US,2020-03-19T23:43:04,99,2,0,37.7693,-78.17,Mar19,2020,3,19
,Argentina,2020-03-19T10:53:03,97,3,3,-38.4161,-63.6167,Mar19,2020,3,19
Nevada,US,2020-03-19T21:43:03,95,1,0,38.3135,-117.0554,Mar19,2020,3,19
,Bulgaria,2020-03-19T10:53:03,94,3,0,42.7339,25.4858,Mar19,2020,3,19
Jilin,China,2020-03-16T00:22:10,93,1,92,43.6661,126.1923,Mar19,2020,3,19
Minnesota,US,2020-03-19T18:43:03,89,0,0,45.6945,-93.9002,Mar19,2020,3,19
Oregon,US,2020-03-19T21:43:03,88,3,0,44.572,-122.0709,Mar19,2020,3,19
,Algeria,2020-03-19T16:13:36,87,9,32,28.0339,1.6596,Mar19,2020,3,19
,Latvia,2020-03-19T10:53:03,86,0,1,56.8796,24.6032,Mar19,2020,3,19
,Vietnam,2020-03-19T20:13:34,85,0,16,14.0583,108.2772,Mar19,2020,3,19
South Carolina,US,2020-03-19T23:43:04,81,1,0,33.8569,-80.945,Mar19,2020,3,19
Utah,US,2020-03-19T23:43:04,80,0,0,40.15,-111.8624,Mar19,2020,3,19
,Uruguay,2020-03-19T02:13:17,79,0,0,-32.5228,-55.7658,Mar19,2020,3,19
Alabama,US,2020-03-19T23:43:04,78,0,0,32.3182,-86.9023,Mar19,2020,3,19
Xinjiang,China,2020-03-11T02:18:14,76,3,73,41.1129,85.2401,Mar19,2020,3,19
,Brunei,2020-03-19T11:13:33,75,0,0,4.5353,114.7277,Mar19,2020,3,19
Inner Mongolia,China,2020-03-19T01:03:02,75,1,74,44.0935,113.9448,Mar19,2020,3,19
Ningxia,China,2020-03-16T14:38:45,75,0,75,37.2692,106.1655,Mar19,2020,3,19
,Hungary,2020-03-19T10:53:03,73,1,2,47.1625,19.5033,Mar19,2020,3,19
Faroe Islands,Denmark,2020-03-19T10:53:03,72,0,0,61.8926,-6.9118,Mar19,2020,3,19
,Costa Rica,2020-03-19T02:53:32,69,1,0,9.7489,-83.7534,Mar19,2020,3,19
,Jordan,2020-03-19T18:13:29,69,0,1,30.5852,36.2384,Mar19,2020,3,19
,Cyprus,2020-03-19T18:13:29,67,0,0,35.1264,33.4299,Mar19,2020,3,19
,Albania,2020-03-19T11:33:30,64,2,0,41.1533,20.1683,Mar19,2020,3,19
,Bosnia and Herzegovina,2020-03-19T17:13:24,63,0,2,43.9159,17.6791,Mar19,2020,3,19
,Morocco,2020-03-19T20:43:02,63,2,1,31.7917,-7.0926,Mar19,2020,3,19
Arkansas,US,2020-03-19T21:43:03,62,0,0,34.9697,-92.3731,Mar19,2020,3,19
,Sri Lanka,2020-03-19T16:13:36,60,0,3,7.8731,80.7718,Mar19,2020,3,19
Indiana,US,2020-03-19T23:43:04,60,2,0,39.8494,-86.2583,Mar19,2020,3,19
,Andorra,2020-03-19T01:03:40,53,0,1,42.5063,1.5218,Mar19,2020,3,19
,Malta,2020-03-19T11:33:30,53,0,2,35.9375,14.3754,Mar19,2020,3,19
Western Australia,Australia,2020-03-19T11:13:54,52,1,0,-31.9505,115.8605,Mar19,2020,3,19
Maine,US,2020-03-19T18:43:03,52,0,0,44.6939,-69.3819,Mar19,2020,3,19
,Belarus,2020-03-18T11:33:04,51,0,5,53.7098,27.9534,Mar19,2020,3,19
Mississippi,US,2020-03-19T23:43:04,50,1,0,32.7416,-89.6787,Mar19,2020,3,19
,Moldova,2020-03-19T16:43:03,49,1,1,47.4116,28.3699,Mar19,2020,3,19
,North Macedonia,2020-03-19T16:43:03,48,0,1,41.6086,21.7453,Mar19,2020,3,19
,Oman,2020-03-19T20:13:34,48,0,12,21.4735,55.9754,Mar19,2020,3,19
Diamond Princess,US,2020-03-16T16:53:06,47,0,0,35.4437,139.638,Mar19,2020,3,19
Arizona,US,2020-03-19T23:43:04,45,0,0,33.7298,-111.4312,Mar19,2020,3,19
,Azerbaijan,2020-03-19T16:13:36,44,1,6,40.1431,47.5769,Mar19,2020,3,19
,Kazakhstan,2020-03-19T10:53:03,44,0,0,48.0196,66.9237,Mar19,2020,3,19
Iowa,US,2020-03-19T23:43:04,44,0,0,42.0115,-93.2105,Mar19,2020,3,19
New Hampshire,US,2020-03-19T23:43:04,44,0,0,43.4525,-71.5639,Mar19,2020,3,19
Oklahoma,US,2020-03-19T23:43:04,44,1,0,35.5653,-96.9289,Mar19,2020,3,19
