Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,date,year,month,day
Hubei,Mainland China,1/24/2020 17:00,549.0,24.0,31.0,Jan24,2020,1,24
Guangdong,Mainland China,1/24/2020 17:00,53.0,,2.0,Jan24,2020,1,24
Zhejiang,Mainland China,1/24/2020 17:00,43.0,,1.0,Jan24,2020,1,24
Beijing,Mainland China,1/24/2020 17:00,36.0,,1.0,Jan24,2020,1,24
Chongqing,Mainland China,1/24/2020 17:00,27.0,,,Jan24,2020,1,24
Hunan,Mainland China,1/24/2020 17:00,24.0,,,Jan24,2020,1,24
Guangxi,Mainland China,1/24/2020 17:00,23.0,,,Jan24,2020,1,24
Shanghai,Mainland China,1/24/2020 17:00,20.0,,1.0,Jan24,2020,1,24
Jiangxi,Mainland China,1/24/2020 17:00,18.0,,,Jan24,2020,1,24
Sichuan,Mainland China,1/24/2020 17:00,15.0,,,Jan24,2020,1,24
Shandong,Mainland China,1/24/2020 17:00,15.0,,,Jan24,2020,1,24
Anhui,Mainland China,1/24/2020 17:00,15.0,,,Jan24,2020,1,24
Fujian,Mainland China,1/24/2020 17:00,10.0,,,Jan24,2020,1,24
Henan,Mainland China,1/24/2020 17:00,9.0,,,Jan24,2020,1,24
Jiangsu,Mainland China,1/24/2020 17:00,9.0,,,Jan24,2020,1,24
Hainan,Mainland China,1/24/2020 17:00,8.0,,,Jan24,2020,1,24
Tianjin,Mainland China,1/24/2020 17:00,8.0,,,Jan24,2020,1,24
Yunnan,Mainland China,1/24/2020 17:00,5.0,,,Jan24,2020,1,24
Shaanxi,Mainland China,1/24/2020 17:00,5.0,,,Jan24,2020,1,24
Heilongjiang,Mainland China,1/24/2020 17:00,4.0,1.0,,Jan24,2020,1,24
Liaoning,Mainland China,1/24/2020 17:00,4.0,,,Jan24,2020,1,24
Guizhou,Mainland China,1/24/2020 17:00,3.0,,,Jan24,2020,1,24
Jilin,Mainland China,1/24/2020 17:00,3.0,,,Jan24,2020,1,24
Taiwan,Taiwan,1/24/2020 17:00,3.0,,,Jan24,2020,1,24
Ningxia,Mainland China,1/24/2020 17:00,2.0,,,Jan24,2020,1,24
Hong Kong,Hong Kong,1/24/2020 17:00,2.0,,,Jan24,2020,1,24
Macau,Macau,1/24/2020 17:00,2.0,,,Jan24,2020,1,24
Hebei,Mainland China,1/24/2020 17:00,2.0,1.0,,Jan24,2020,1,24
Gansu,Mainland China,1/24/2020 17:00,2.0,,,Jan24,2020,1,24
Xinjiang,Mainland China,1/24/2020 17:00,2.0,,,Jan24,2020,1,24
Shanxi,Mainland China,1/24/2020 17:00,1.0,,,Jan24,2020,1,24
Inner Mongolia,Mainland China,1/24/2020 17:00,1.0,,,Jan24,2020,1,24
Qinghai,Mainland China,1/24/2020 17:00,,,,Jan24,2020,1,24
Washington,US,1/24/2020 17:00,1.0,,,Jan24,2020,1,24
Chicago,US,1/24/2020 17:00,1.0,,,Jan24,2020,1,24
,Japan,1/24/2020 17:00,2.0,,,Jan24,2020,1,24
,Thailand,1/24/2020 17:00,5.0,,,Jan24,2020,1,24
,South Korea,1/24/2020 17:00,2.0,,,Jan24,2020,1,24
,Singapore ,1/24/2020 17:00,3.0,,,Jan24,2020,1,24
,Vietnam,1/24/2020 17:00,2.0,,,Jan24,2020,1,24
,France,1/24/2020 17:00,2.0,,,Jan24,2020,1,24
