Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude,date,year,month,day
Alabama,US,2020-04-08 22:51:58,2328,66,0,32.3182,-86.9023,Apr08,2020,4,8
Alaska,US,2020-04-08 22:51:58,226,7,0,61.3707,-152.4044,Apr08,2020,4,8
Arizona,US,2020-04-08 22:51:58,3036,80,0,33.7298,-111.4312,Apr08,2020,4,8
Arkansas,US,2020-04-08 22:51:58,1000,18,0,34.9697,-92.3731,Apr08,2020,4,8
California,US,2020-04-08 22:51:58,18897,495,0,36.1162,-119.6816,Apr08,2020,4,8
Colorado,US,2020-04-08 22:51:58,5655,193,0,39.0598,-105.3111,Apr08,2020,4,8
Connecticut,US,2020-04-08 22:51:58,7781,326,0,41.5978,-72.7554,Apr08,2020,4,8
Delaware,US,2020-04-08 22:51:58,1116,19,0,39.3185,-75.5071,Apr08,2020,4,8
District of Columbia,US,2020-04-08 22:51:58,1440,27,0,38.8974,-77.0268,Apr08,2020,4,8
Florida,US,2020-04-08 22:51:58,15456,309,0,27.7663,-81.6868,Apr08,2020,4,8
Georgia,US,2020-04-08 22:51:58,9901,362,0,33.0406,-83.6431,Apr08,2020,4,8
Hawaii,US,2020-04-08 22:51:58,410,5,0,21.0943,-157.4983,Apr08,2020,4,8
Idaho,US,2020-04-08 22:51:58,1210,15,0,44.2405,-114.4788,Apr08,2020,4,8
Illinois,US,2020-04-08 22:51:58,15078,462,0,40.3495,-88.9861,Apr08,2020,4,8
Indiana,US,2020-04-08 22:51:58,5943,203,0,39.8494,-86.2583,Apr08,2020,4,8
Iowa,US,2020-04-08 22:51:58,1145,27,0,42.0115,-93.2105,Apr08,2020,4,8
Kansas,US,2020-04-08 22:51:58,1046,34,0,38.5266,-96.7265,Apr08,2020,4,8
Kentucky,US,2020-04-08 22:51:58,1149,65,0,37.6681,-84.6701,Apr08,2020,4,8
Louisiana,US,2020-04-08 22:51:58,17030,652,0,31.1695,-91.8678,Apr08,2020,4,8
Maine,US,2020-04-08 22:51:58,537,14,0,44.6939,-69.3819,Apr08,2020,4,8
Maryland,US,2020-04-08 22:51:58,5529,124,0,39.0639,-76.8021,Apr08,2020,4,8
Massachusetts,US,2020-04-08 22:51:58,16790,433,0,42.2302,-71.5301,Apr08,2020,4,8
Michigan,US,2020-04-08 22:51:58,20346,959,0,43.3266,-84.5361,Apr08,2020,4,8
Minnesota,US,2020-04-08 22:51:58,1154,39,0,45.6945,-93.9002,Apr08,2020,4,8
Mississippi,US,2020-04-08 22:51:58,2003,67,0,32.7416,-89.6787,Apr08,2020,4,8
Missouri,US,2020-04-08 22:51:58,3209,86,0,38.4561,-92.2884,Apr08,2020,4,8
Montana,US,2020-04-08 22:51:58,332,6,0,46.9219,-110.4544,Apr08,2020,4,8
Nebraska,US,2020-04-08 22:51:58,519,12,0,41.1254,-98.2681,Apr08,2020,4,8
Nevada,US,2020-04-08 22:51:58,2259,72,0,38.3135,-117.0554,Apr08,2020,4,8
New Hampshire,US,2020-04-08 22:51:58,747,13,0,43.4525,-71.5639,Apr08,2020,4,8
New Jersey,US,2020-04-08 22:51:58,47437,1504,0,40.2989,-74.521,Apr08,2020,4,8
New Mexico,US,2020-04-08 22:51:58,902,13,0,34.8405,-106.2485,Apr08,2020,4,8
New York,US,2020-04-08 22:51:58,151061,6268,0,42.1657,-74.9481,Apr08,2020,4,8
North Carolina,US,2020-04-08 22:51:58,3499,66,0,35.6301,-79.8064,Apr08,2020,4,8
North Dakota,US,2020-04-08 22:51:58,251,4,0,47.5289,-99.784,Apr08,2020,4,8
Northern Mariana Islands,US,2020-04-08 22:51:58,5,1,0,15.0979,145.6739,Apr08,2020,4,8
Ohio,US,2020-04-08 22:51:58,5148,193,0,40.3888,-82.7649,Apr08,2020,4,8
Oklahoma,US,2020-04-08 22:51:58,1526,79,0,35.5653,-96.9289,Apr08,2020,4,8
Oregon,US,2020-04-08 22:51:58,1181,33,0,44.572,-122.0709,Apr08,2020,4,8
Pennsylvania,US,2020-04-08 22:51:58,16631,318,0,40.5908,-77.2098,Apr08,2020,4,8
Rhode Island,US,2020-04-08 22:51:58,1450,35,0,41.6809,-71.5118,Apr08,2020,4,8
South Carolina,US,2020-04-08 22:51:58,2417,51,0,33.8569,-80.945,Apr08,2020,4,8
South Dakota,US,2020-04-08 22:51:58,393,6,0,44.2998,-99.4388,Apr08,2020,4,8
Tennessee,US,2020-04-08 22:51:58,4363,80,0,35.7478,-86.6923,Apr08,2020,4,8
Texas,US,2020-04-08 22:51:58,9777,189,0,31.0545,-97.5635,Apr08,2020,4,8
Utah,US,2020-04-08 22:51:58,1855,13,0,40.15,-111.8624,Apr08,2020,4,8
Vermont,US,2020-04-08 22:51:58,605,23,0,44.0459,-72.7107,Apr08,2020,4,8
Virginia,US,2020-04-08 22:51:58,3645,66,0,37.7693,-78.17,Apr08,2020,4,8
