Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,datetime,date,year,month,day,hr,min
Hubei,Mainland China,2/2/2020 23:43,11177,350,295,2020-02-02 21:00:00,Feb02,2020,2,2,21,0
Zhejiang,Mainland China,2/3/2020 1:33,724,0,36,2020-02-02 21:00:00,Feb02,2020,2,2,21,0
Guangdong,Mainland China,2/3/2020 1:33,683,0,15,2020-02-02 21:00:00,Feb02,2020,2,2,21,0
Henan,Mainland China,2/3/2020 1:03,566,2,14,2020-02-02 21:00:00,Feb02,2020,2,2,21,0
Hunan,Mainland China,2/3/2020 1:33,521,0,16,2020-02-02 21:00:00,Feb02,2020,2,2,21,0
Anhui,Mainland China,2/3/2020 0:53,408,0,7,2020-02-02 21:00:00,Feb02,2020,2,2,21,0
Jiangxi,Mainland China,2/3/2020 1:33,391,0,18,2020-02-02 21:00:00,Feb02,2020,2,2,21,0
Chongqing,Mainland China,2/2/2020 23:33,300,2,7,2020-02-02 21:00:00,Feb02,2020,2,2,21,0
Jiangsu,Mainland China,2/3/2020 1:03,271,0,7,2020-02-02 21:00:00,Feb02,2020,2,2,21,0
Sichuan,Mainland China,2/3/2020 1:03,254,1,12,2020-02-02 21:00:00,Feb02,2020,2,2,21,0
Shandong,Mainland China,2/3/2020 1:13,246,0,6,2020-02-02 21:00:00,Feb02,2020,2,2,21,0
Shanghai,Mainland China,2/3/2020 0:03,193,1,10,2020-02-02 21:00:00,Feb02,2020,2,2,21,0
Beijing,Mainland China,2/2/2020 8:43,191,1,9,2020-02-02 21:00:00,Feb02,2020,2,2,21,0
Fujian,Mainland China,2/2/2020 3:43,159,0,0,2020-02-02 21:00:00,Feb02,2020,2,2,21,0
Guangxi,Mainland China,2/3/2020 0:13,127,0,2,2020-02-02 21:00:00,Feb02,2020,2,2,21,0
Shaanxi,Mainland China,2/2/2020 3:23,116,0,0,2020-02-02 21:00:00,Feb02,2020,2,2,21,0
Hebei,Mainland China,2/3/2020 0:23,113,1,3,2020-02-02 21:00:00,Feb02,2020,2,2,21,0
Yunnan,Mainland China,2/2/2020 18:03,105,0,3,2020-02-02 21:00:00,Feb02,2020,2,2,21,0
Heilongjiang,Mainland China,2/2/2020 3:23,95,2,2,2020-02-02 21:00:00,Feb02,2020,2,2,21,0
Hainan,Mainland China,2/3/2020 0:43,71,1,4,2020-02-02 21:00:00,Feb02,2020,2,2,21,0
Liaoning,Mainland China,2/2/2020 18:03,70,0,1,2020-02-02 21:00:00,Feb02,2020,2,2,21,0
Shanxi,Mainland China,2/2/2020 23:23,66,0,3,2020-02-02 21:00:00,Feb02,2020,2,2,21,0
Gansu,Mainland China,2/2/2020 23:43,51,0,3,2020-02-02 21:00:00,Feb02,2020,2,2,21,0
Tianjin,Mainland China,2/2/2020 9:43,48,0,1,2020-02-02 21:00:00,Feb02,2020,2,2,21,0
Guizhou,Mainland China,2/3/2020 1:03,46,0,2,2020-02-02 21:00:00,Feb02,2020,2,2,21,0
