Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Suspected,ConfnSusp,datetime,date,year,month,day,hr,min
Hubei,Mainland China,1/26/20 11:00,1058,52.0,42.0,,1058,2020-01-26 11:00:00,Jan26,2020,1,26,11,0
Guangdong,Mainland China,1/26/20 11:00,111,,2.0,,111,2020-01-26 11:00:00,Jan26,2020,1,26,11,0
Zhejiang,Mainland China,1/26/20 11:00,104,,1.0,,104,2020-01-26 11:00:00,Jan26,2020,1,26,11,0
Henan,Mainland China,1/26/20 11:00,83,1.0,,3.0,86,2020-01-26 11:00:00,Jan26,2020,1,26,11,0
Chongqing,Mainland China,1/26/20 11:00,75,,,,75,2020-01-26 11:00:00,Jan26,2020,1,26,11,0
Hunan,Mainland China,1/26/20 11:00,69,,,,69,2020-01-26 11:00:00,Jan26,2020,1,26,11,0
Beijing,Mainland China,1/26/20 11:00,68,,2.0,,68,2020-01-26 11:00:00,Jan26,2020,1,26,11,0
Anhui,Mainland China,1/26/20 11:00,60,,,4.0,64,2020-01-26 11:00:00,Jan26,2020,1,26,11,0
Shandong,Mainland China,1/26/20 11:00,46,,,,46,2020-01-26 11:00:00,Jan26,2020,1,26,11,0
Sichuan,Mainland China,1/26/20 11:00,44,,,4.0,48,2020-01-26 11:00:00,Jan26,2020,1,26,11,0
Shanghai,Mainland China,1/26/20 11:00,40,1.0,1.0,72.0,112,2020-01-26 11:00:00,Jan26,2020,1,26,11,0
Guangxi,Mainland China,1/26/20 11:00,36,,,,36,2020-01-26 11:00:00,Jan26,2020,1,26,11,0
Jiangxi,Mainland China,1/26/20 11:00,36,,,,36,2020-01-26 11:00:00,Jan26,2020,1,26,11,0
Fujian,Mainland China,1/26/20 11:00,35,,,20.0,55,2020-01-26 11:00:00,Jan26,2020,1,26,11,0
Jiangsu,Mainland China,1/26/20 11:00,33,,1.0,,33,2020-01-26 11:00:00,Jan26,2020,1,26,11,0
Hainan,Mainland China,1/26/20 11:00,22,,,,22,2020-01-26 11:00:00,Jan26,2020,1,26,11,0
Shaanxi,Mainland China,1/26/20 11:00,22,,,,22,2020-01-26 11:00:00,Jan26,2020,1,26,11,0
Liaoning,Mainland China,1/26/20 11:00,21,,,,21,2020-01-26 11:00:00,Jan26,2020,1,26,11,0
Yunnan,Mainland China,1/26/20 11:00,16,,,36.0,52,2020-01-26 11:00:00,Jan26,2020,1,26,11,0
Heilongjiang,Mainland China,1/26/20 11:00,15,1.0,,,15,2020-01-26 11:00:00,Jan26,2020,1,26,11,0
Tianjin,Mainland China,1/26/20 11:00,14,,,,14,2020-01-26 11:00:00,Jan26,2020,1,26,11,0
Hebei,Mainland China,1/26/20 11:00,13,1.0,,,13,2020-01-26 11:00:00,Jan26,2020,1,26,11,0
Shanxi,Mainland China,1/26/20 11:00,9,,,,9,2020-01-26 11:00:00,Jan26,2020,1,26,11,0
Hong Kong,Hong Kong,1/26/20 11:00,8,,,244.0,252,2020-01-26 11:00:00,Jan26,2020,1,26,11,0
Inner Mongolia,Mainland China,1/26/20 11:00,7,,,,7,2020-01-26 11:00:00,Jan26,2020,1,26,11,0
Gansu,Mainland China,1/26/20 11:00,7,,,,7,2020-01-26 11:00:00,Jan26,2020,1,26,11,0
Guizhou,Mainland China,1/26/20 11:00,5,,,,5,2020-01-26 11:00:00,Jan26,2020,1,26,11,0
Macau,Macau,1/26/20 11:00,5,,,,5,2020-01-26 11:00:00,Jan26,2020,1,26,11,0
Ningxia,Mainland China,1/26/20 11:00,4,,,,4,2020-01-26 11:00:00,Jan26,2020,1,26,11,0
Jilin,Mainland China,1/26/20 11:00,4,,,,4,2020-01-26 11:00:00,Jan26,2020,1,26,11,0
Taiwan,Taiwan,1/26/20 11:00,4,,,,4,2020-01-26 11:00:00,Jan26,2020,1,26,11,0
Xinjiang,Mainland China,1/26/20 11:00,4,,,,4,2020-01-26 11:00:00,Jan26,2020,1,26,11,0
Qinghai,Mainland China,1/26/20 11:00,1,,,,1,2020-01-26 11:00:00,Jan26,2020,1,26,11,0
Washington,US,1/26/20 11:00,1,,,,1,2020-01-26 11:00:00,Jan26,2020,1,26,11,0
Illinois,US,1/26/20 11:00,1,,,,1,2020-01-26 11:00:00,Jan26,2020,1,26,11,0
California,US,1/26/20 16:30,2,,,,2,2020-01-26 11:00:00,Jan26,2020,1,26,11,0
Arizona,US,1/26/20 16:30,1,,,,1,2020-01-26 11:00:00,Jan26,2020,1,26,11,0
,Japan,1/26/20 11:00,4,,1.0,,4,2020-01-26 11:00:00,Jan26,2020,1,26,11,0
,Thailand,1/26/20 11:00,8,,2.0,,8,2020-01-26 11:00:00,Jan26,2020,1,26,11,0
,South Korea,1/26/20 11:00,3,,,,3,2020-01-26 11:00:00,Jan26,2020,1,26,11,0
,Singapore ,1/26/20 11:00,4,,,,4,2020-01-26 11:00:00,Jan26,2020,1,26,11,0
,Vietnam,1/26/20 11:00,2,,,,2,2020-01-26 11:00:00,Jan26,2020,1,26,11,0
,France,1/26/20 11:00,3,,,,3,2020-01-26 11:00:00,Jan26,2020,1,26,11,0
,Australia,1/26/20 11:00,4,,,,4,2020-01-26 11:00:00,Jan26,2020,1,26,11,0
,Nepal,1/26/20 11:00,1,,,,1,2020-01-26 11:00:00,Jan26,2020,1,26,11,0
,Malaysia ,1/26/20 11:00,4,,,,4,2020-01-26 11:00:00,Jan26,2020,1,26,11,0
Ontario,Canada,1/26/20 11:00,1,,,,1,2020-01-26 11:00:00,Jan26,2020,1,26,11,0
