Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,datetime,date,year,month,day,hr,min
Hubei,Mainland China,1/27/20 20:30,2714,100.0,47.0,2020-01-27 20:30:00,Jan27,2020,1,27,20,30
Zhejiang,Mainland China,1/27/20 20:30,173,,1.0,2020-01-27 20:30:00,Jan27,2020,1,27,20,30
Henan,Mainland China,1/27/20 20:30,168,1.0,,2020-01-27 20:30:00,Jan27,2020,1,27,20,30
Guangdong,Mainland China,1/27/20 20:30,151,,4.0,2020-01-27 20:30:00,Jan27,2020,1,27,20,30
Chongqing,Mainland China,1/27/20 20:30,132,,,2020-01-27 20:30:00,Jan27,2020,1,27,20,30
Anhui,Mainland China,1/27/20 20:30,106,,,2020-01-27 20:30:00,Jan27,2020,1,27,20,30
Hunan,Mainland China,1/27/20 20:30,100,,,2020-01-27 20:30:00,Jan27,2020,1,27,20,30
Sichuan,Mainland China,1/27/20 20:30,90,,,2020-01-27 20:30:00,Jan27,2020,1,27,20,30
Shandong,Mainland China,1/27/20 20:30,87,1.0,,2020-01-27 20:30:00,Jan27,2020,1,27,20,30
Beijing,Mainland China,1/27/20 20:30,80,1.0,2.0,2020-01-27 20:30:00,Jan27,2020,1,27,20,30
Jiangxi,Mainland China,1/27/20 20:30,72,,2.0,2020-01-27 20:30:00,Jan27,2020,1,27,20,30
Jiangsu,Mainland China,1/27/20 20:30,70,,1.0,2020-01-27 20:30:00,Jan27,2020,1,27,20,30
Shanghai,Mainland China,1/27/20 20:30,66,1.0,3.0,2020-01-27 20:30:00,Jan27,2020,1,27,20,30
Fujian,Mainland China,1/27/20 20:30,59,,,2020-01-27 20:30:00,Jan27,2020,1,27,20,30
Guangxi,Mainland China,1/27/20 20:30,51,,,2020-01-27 20:30:00,Jan27,2020,1,27,20,30
Shaanxi,Mainland China,1/27/20 20:30,35,,,2020-01-27 20:30:00,Jan27,2020,1,27,20,30
Hainan,Mainland China,1/27/20 20:30,33,1.0,,2020-01-27 20:30:00,Jan27,2020,1,27,20,30
Hebei,Mainland China,1/27/20 20:30,33,1.0,,2020-01-27 20:30:00,Jan27,2020,1,27,20,30
Heilongjiang,Mainland China,1/27/20 20:30,30,1.0,,2020-01-27 20:30:00,Jan27,2020,1,27,20,30
Liaoning,Mainland China,1/27/20 20:30,27,,,2020-01-27 20:30:00,Jan27,2020,1,27,20,30
Yunnan,Mainland China,1/27/20 20:30,26,,,2020-01-27 20:30:00,Jan27,2020,1,27,20,30
Tianjin,Mainland China,1/27/20 20:30,23,,,2020-01-27 20:30:00,Jan27,2020,1,27,20,30
Shanxi,Mainland China,1/27/20 20:30,20,,,2020-01-27 20:30:00,Jan27,2020,1,27,20,30
Gansu,Mainland China,1/27/20 20:30,19,,,2020-01-27 20:30:00,Jan27,2020,1,27,20,30
Inner Mongolia,Mainland China,1/27/20 20:30,11,,,2020-01-27 20:30:00,Jan27,2020,1,27,20,30
