Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,date,year,month,day
Anhui,Mainland China,1/22/2020 17:00,1.0,,,Jan22,2020,1,22
Beijing,Mainland China,1/22/2020 17:00,14.0,,,Jan22,2020,1,22
Chongqing,Mainland China,1/22/2020 17:00,6.0,,,Jan22,2020,1,22
Fujian,Mainland China,1/22/2020 17:00,1.0,,,Jan22,2020,1,22
Gansu,Mainland China,1/22/2020 17:00,,,,Jan22,2020,1,22
Guangdong,Mainland China,1/22/2020 17:00,26.0,,,Jan22,2020,1,22
Guangxi,Mainland China,1/22/2020 17:00,2.0,,,Jan22,2020,1,22
Guizhou,Mainland China,1/22/2020 17:00,1.0,,,Jan22,2020,1,22
Hainan,Mainland China,1/22/2020 17:00,4.0,,,Jan22,2020,1,22
Hebei,Mainland China,1/22/2020 17:00,1.0,,,Jan22,2020,1,22
Heilongjiang,Mainland China,1/22/2020 17:00,,,,Jan22,2020,1,22
Henan,Mainland China,1/22/2020 17:00,5.0,,,Jan22,2020,1,22
Hong Kong,Hong Kong,1/22/2020 17:00,,,,Jan22,2020,1,22
Hubei,Mainland China,1/22/2020 17:00,444.0,17.0,28.0,Jan22,2020,1,22
Hunan,Mainland China,1/22/2020 17:00,4.0,,,Jan22,2020,1,22
Inner Mongolia,Mainland China,1/22/2020 17:00,,,,Jan22,2020,1,22
Jiangsu,Mainland China,1/22/2020 17:00,1.0,,,Jan22,2020,1,22
Jiangxi,Mainland China,1/22/2020 17:00,2.0,,,Jan22,2020,1,22
Jilin,Mainland China,1/22/2020 17:00,,,,Jan22,2020,1,22
Liaoning,Mainland China,1/22/2020 17:00,2.0,,,Jan22,2020,1,22
Macau,Macau,1/22/2020 17:00,1.0,,,Jan22,2020,1,22
Ningxia,Mainland China,1/22/2020 17:00,1.0,,,Jan22,2020,1,22
Qinghai,Mainland China,1/22/2020 17:00,,,,Jan22,2020,1,22
Shaanxi,Mainland China,1/22/2020 17:00,,,,Jan22,2020,1,22
Shandong,Mainland China,1/22/2020 17:00,2.0,,,Jan22,2020,1,22
Shanghai,Mainland China,1/22/2020 17:00,9.0,,,Jan22,2020,1,22
Shanxi,Mainland China,1/22/2020 17:00,1.0,,,Jan22,2020,1,22
Sichuan,Mainland China,1/22/2020 17:00,5.0,,,Jan22,2020,1,22
Taiwan,Taiwan,1/22/2020 17:00,1.0,,,Jan22,2020,1,22
Tianjin,Mainland China,1/22/2020 17:00,4.0,,,Jan22,2020,1,22
Tibet,Mainland China,1/22/2020 17:00,,,,Jan22,2020,1,22
Washington,US,1/22/2020 17:00,1.0,,,Jan22,2020,1,22
Xinjiang,Mainland China,1/22/2020 17:00,,,,Jan22,2020,1,22
Yunnan,Mainland China,1/22/2020 17:00,1.0,,,Jan22,2020,1,22
Zhejiang,Mainland China,1/22/2020 17:00,10.0,,,Jan22,2020,1,22
,Japan,1/22/2020 17:00,2.0,,,Jan22,2020,1,22
,Thailand,1/22/2020 17:00,2.0,,,Jan22,2020,1,22
,South Korea,1/22/2020 17:00,1.0,,,Jan22,2020,1,22
