Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude,date,year,month,day
Alabama,US,2020-04-05 23:06:45,1765,45,0,32.3182,-86.9023,Apr05,2020,4,5
Alaska,US,2020-04-05 23:06:45,185,6,0,61.3707,-152.4044,Apr05,2020,4,5
Arizona,US,2020-04-05 23:06:45,2486,64,0,33.7298,-111.4312,Apr05,2020,4,5
Arkansas,US,2020-04-05 23:06:45,837,16,0,34.9697,-92.3731,Apr05,2020,4,5
California,US,2020-04-05 23:06:45,15034,348,0,36.1162,-119.6816,Apr05,2020,4,5
Colorado,US,2020-04-05 23:06:45,4950,140,0,39.0598,-105.3111,Apr05,2020,4,5
Connecticut,US,2020-04-05 23:06:45,5675,189,0,41.5978,-72.7554,Apr05,2020,4,5
Delaware,US,2020-04-05 23:06:45,673,14,0,39.3185,-75.5071,Apr05,2020,4,5
District of Columbia,US,2020-04-05 23:06:45,1002,22,0,38.8974,-77.0268,Apr05,2020,4,5
Florida,US,2020-04-05 23:06:45,12350,221,0,27.7663,-81.6868,Apr05,2020,4,5
Georgia,US,2020-04-05 23:06:45,6647,211,0,33.0406,-83.6431,Apr05,2020,4,5
Hawaii,US,2020-04-05 23:06:45,371,4,0,21.0943,-157.4983,Apr05,2020,4,5
Idaho,US,2020-04-05 23:06:45,1078,10,0,44.2405,-114.4788,Apr05,2020,4,5
Illinois,US,2020-04-05 23:06:45,11259,274,0,40.3495,-88.9861,Apr05,2020,4,5
Indiana,US,2020-04-05 23:06:45,4411,127,0,39.8494,-86.2583,Apr05,2020,4,5
Iowa,US,2020-04-05 23:06:45,869,18,0,42.0115,-93.2105,Apr05,2020,4,5
Kansas,US,2020-04-05 23:06:45,751,22,0,38.5266,-96.7265,Apr05,2020,4,5
Kentucky,US,2020-04-05 23:06:45,955,45,0,37.6681,-84.6701,Apr05,2020,4,5
Louisiana,US,2020-04-05 23:06:45,13010,477,0,31.1695,-91.8678,Apr05,2020,4,5
Maine,US,2020-04-05 23:06:45,470,10,0,44.6939,-69.3819,Apr05,2020,4,5
Maryland,US,2020-04-05 23:06:45,3617,67,0,39.0639,-76.8021,Apr05,2020,4,5
Massachusetts,US,2020-04-05 23:06:45,12500,231,0,42.2302,-71.5301,Apr05,2020,4,5
Michigan,US,2020-04-05 23:06:45,15718,617,0,43.3266,-84.5361,Apr05,2020,4,5
Minnesota,US,2020-04-05 23:06:45,935,29,0,45.6945,-93.9002,Apr05,2020,4,5
Mississippi,US,2020-04-05 23:06:45,1638,43,0,32.7416,-89.6787,Apr05,2020,4,5
Missouri,US,2020-04-05 23:06:45,2347,44,0,38.4561,-92.2884,Apr05,2020,4,5
Montana,US,2020-04-05 23:06:45,286,6,0,46.9219,-110.4544,Apr05,2020,4,5
Nebraska,US,2020-04-05 23:06:45,364,8,0,41.1254,-98.2681,Apr05,2020,4,5
Nevada,US,2020-04-05 23:06:45,1855,46,0,38.3135,-117.0554,Apr05,2020,4,5
New Hampshire,US,2020-04-05 23:06:45,621,9,0,43.4525,-71.5639,Apr05,2020,4,5
New Jersey,US,2020-04-05 23:06:45,37505,917,0,40.2989,-74.521,Apr05,2020,4,5
New Mexico,US,2020-04-05 23:06:45,670,12,0,34.8405,-106.2485,Apr05,2020,4,5
