Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,date,year,month,day
Hubei,Mainland China,2020-02-23T11:33:03,64084,2346,15343,Feb23,2020,2,23
Guangdong,Mainland China,2020-02-23T08:53:02,1342,6,755,Feb23,2020,2,23
Henan,Mainland China,2020-02-23T10:23:02,1271,19,868,Feb23,2020,2,23
Zhejiang,Mainland China,2020-02-23T13:43:02,1205,1,760,Feb23,2020,2,23
Hunan,Mainland China,2020-02-23T10:33:03,1016,4,714,Feb23,2020,2,23
Anhui,Mainland China,2020-02-23T10:53:02,989,6,637,Feb23,2020,2,23
Jiangxi,Mainland China,2020-02-23T09:23:02,934,1,613,Feb23,2020,2,23
Shandong,Mainland China,2020-02-23T11:33:03,754,4,321,Feb23,2020,2,23
Diamond Princess cruise ship,Others,2020-02-23T22:33:03,691,3,0,Feb23,2020,2,23
Jiangsu,Mainland China,2020-02-23T08:53:02,631,0,418,Feb23,2020,2,23
,South Korea,2020-02-23T23:33:07,602,6,18,Feb23,2020,2,23
Chongqing,Mainland China,2020-02-23T23:13:05,575,6,335,Feb23,2020,2,23
Sichuan,Mainland China,2020-02-23T08:53:02,526,3,261,Feb23,2020,2,23
Heilongjiang,Mainland China,2020-02-23T13:43:02,480,12,222,Feb23,2020,2,23
Beijing,Mainland China,2020-02-23T01:13:13,399,4,189,Feb23,2020,2,23
Shanghai,Mainland China,2020-02-23T03:13:07,335,3,249,Feb23,2020,2,23
Hebei,Mainland China,2020-02-23T11:33:03,311,6,219,Feb23,2020,2,23
Fujian,Mainland China,2020-02-23T10:33:03,293,1,170,Feb23,2020,2,23
Guangxi,Mainland China,2020-02-23T10:33:03,249,2,106,Feb23,2020,2,23
Shaanxi,Mainland China,2020-02-23T12:13:14,245,1,163,Feb23,2020,2,23
Yunnan,Mainland China,2020-02-23T05:33:03,174,2,115,Feb23,2020,2,23
Hainan,Mainland China,2020-02-23T23:23:03,168,5,106,Feb23,2020,2,23
,Italy,2020-02-23T23:43:02,155,3,2,Feb23,2020,2,23
,Japan,2020-02-23T23:33:07,147,1,22,Feb23,2020,2,23
Guizhou,Mainland China,2020-02-23T12:43:02,146,2,102,Feb23,2020,2,23
Tianjin,Mainland China,2020-02-23T12:43:02,135,3,81,Feb23,2020,2,23
Shanxi,Mainland China,2020-02-23T23:03:08,132,0,88,Feb23,2020,2,23
Liaoning,Mainland China,2020-02-23T13:33:02,121,1,73,Feb23,2020,2,23
Gansu,Mainland China,2020-02-23T13:23:06,91,2,78,Feb23,2020,2,23
Jilin,Mainland China,2020-02-23T12:43:02,91,1,54,Feb23,2020,2,23
,Singapore,2020-02-23T15:13:15,89,0,51,Feb23,2020,2,23
Xinjiang,Mainland China,2020-02-23T14:43:04,76,2,28,Feb23,2020,2,23
Inner Mongolia,Mainland China,2020-02-23T09:43:02,75,0,27,Feb23,2020,2,23
Hong Kong,Hong Kong,2020-02-23T09:53:02,74,2,11,Feb23,2020,2,23
Ningxia,Mainland China,2020-02-23T05:33:03,71,0,56,Feb23,2020,2,23
,Iran,2020-02-23T15:13:15,43,8,0,Feb23,2020,2,23
,Thailand,2020-02-23T15:03:05,35,0,21,Feb23,2020,2,23
Taiwan,Taiwan,2020-02-23T09:53:02,28,1,2,Feb23,2020,2,23
,Malaysia,2020-02-19T09:33:03,22,0,15,Feb23,2020,2,23
Qinghai,Mainland China,2020-02-21T04:43:02,18,0,18,Feb23,2020,2,23
,Germany,2020-02-21T23:03:13,16,0,14,Feb23,2020,2,23
,Vietnam,2020-02-21T06:03:04,16,0,14,Feb23,2020,2,23
,United Arab Emirates,2020-02-22T14:53:02,13,0,4,Feb23,2020,2,23
,France,2020-02-15T20:53:02,12,1,4,Feb23,2020,2,23
"Omaha, NE (From Diamond Princess)",US,2020-02-22T23:03:09,11,0,0,Feb23,2020,2,23
Macau,Macau,2020-02-20T02:13:19,10,0,6,Feb23,2020,2,23
,UK,2020-02-16T16:23:06,9,0,8,Feb23,2020,2,23
From Diamond Princess,Australia,2020-02-22T17:03:05,7,0,0,Feb23,2020,2,23
British Columbia,Canada,2020-02-21T05:23:04,6,0,0,Feb23,2020,2,23
Queensland,Australia,2020-02-21T05:43:02,5,0,1,Feb23,2020,2,23
"Travis, CA (From Diamond Princess)",US,2020-02-22T17:13:24,5,0,0,Feb23,2020,2,23
New South Wales,Australia,2020-02-13T17:53:03,4,0,4,Feb23,2020,2,23
Victoria,Australia,2020-02-13T17:53:03,4,0,4,Feb23,2020,2,23
,India,2020-02-16T07:43:02,3,0,3,Feb23,2020,2,23
,Philippines,2020-02-12T07:43:02,3,1,1,Feb23,2020,2,23
South Australia,Australia,2020-02-17T08:13:09,2,0,2,Feb23,2020,2,23
"Toronto, ON",Canada,2020-02-21T05:23:04,2,0,2,Feb23,2020,2,23
,Russia,2020-02-12T14:43:03,2,0,2,Feb23,2020,2,23
,Spain,2020-02-15T17:23:04,2,0,2,Feb23,2020,2,23
"Chicago, IL",US,2020-02-09T19:03:03,2,0,2,Feb23,2020,2,23
"Lackland, TX (From Diamond Princess)",US,2020-02-22T17:13:24,2,0,0,Feb23,2020,2,23
"San Benito, CA",US,2020-02-03T03:53:02,2,0,0,Feb23,2020,2,23
"San Diego County, CA",US,2020-02-21T05:43:02,2,0,1,Feb23,2020,2,23
"Santa Clara, CA",US,2020-02-21T05:23:04,2,0,1,Feb23,2020,2,23
,Belgium,2020-02-17T04:23:06,1,0,1,Feb23,2020,2,23
,Cambodia,2020-02-12T07:43:02,1,0,1,Feb23,2020,2,23
"London, ON",Canada,2020-02-12T18:53:03,1,0,1,Feb23,2020,2,23
,Egypt,2020-02-21T18:53:02,1,0,0,Feb23,2020,2,23
,Finland,2020-02-12T00:03:12,1,0,1,Feb23,2020,2,23
From Diamond Princess,Israel,2020-02-22T20:53:02,1,0,0,Feb23,2020,2,23
,Lebanon,2020-02-22T20:53:02,1,0,0,Feb23,2020,2,23
Tibet,Mainland China,2020-02-12T06:43:02,1,0,1,Feb23,2020,2,23
,Nepal,2020-02-12T14:43:03,1,0,1,Feb23,2020,2,23
,Sri Lanka,2020-02-08T03:43:03,1,0,1,Feb23,2020,2,23
,Sweden,2020-02-01T02:13:26,1,0,0,Feb23,2020,2,23
"Boston, MA",US,2020-02-01T19:43:03,1,0,0,Feb23,2020,2,23
"Humboldt County, CA",US,2020-02-21T05:13:09,1,0,0,Feb23,2020,2,23
"Los Angeles, CA",US,2020-02-01T19:53:03,1,0,0,Feb23,2020,2,23
"Madison, WI",US,2020-02-05T21:53:02,1,0,0,Feb23,2020,2,23
"Orange, CA",US,2020-02-01T19:53:03,1,0,0,Feb23,2020,2,23
"Sacramento County, CA",US,2020-02-21T23:13:16,1,0,0,Feb23,2020,2,23
"San Antonio, TX",US,2020-02-13T18:53:02,1,0,0,Feb23,2020,2,23
"Seattle, WA",US,2020-02-09T07:03:04,1,0,1,Feb23,2020,2,23
"Tempe, AZ",US,2020-02-01T19:43:03,1,0,0,Feb23,2020,2,23
None,Iraq,2020-02-23T18:23:06,0,0,0,Feb23,2020,2,23
