Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude,date,year,month,day
Cayman Islands,United Kingdom,2020-04-11 22:45:13,45,1,6,19.3133,-81.2546,Apr11,2020,4,11
Channel Islands,United Kingdom,2020-04-11 22:45:13,407,9,48,49.3723,-2.3644,Apr11,2020,4,11
Chongqing,China,2020-03-29 00:14:12,579,6,570,30.0572,107.874,Apr11,2020,4,11
Curacao,Netherlands,2020-04-11 22:45:13,14,1,7,12.1696,-68.99,Apr11,2020,4,11
Diamond Princess,Canada,2020-04-11 22:52:28,0,1,0,,,Apr11,2020,4,11
Diamond Princess,US,2020-04-11 22:45:33,49,0,0,,,Apr11,2020,4,11
Falkland Islands (Malvinas),United Kingdom,2020-04-11 22:45:13,5,0,1,-51.7963,-59.5236,Apr11,2020,4,11
Faroe Islands,Denmark,2020-04-11 22:45:13,184,0,145,61.8926,-6.9118,Apr11,2020,4,11
French Guiana,France,2020-04-11 22:45:13,83,0,43,4.0,-53.0,Apr11,2020,4,11
French Polynesia,France,2020-04-11 22:45:13,51,0,0,-17.6797,-149.4068,Apr11,2020,4,11
Fujian,China,2020-04-11 01:53:14,351,1,317,26.0789,117.9874,Apr11,2020,4,11
Gansu,China,2020-04-09 02:02:54,139,2,135,37.8099,101.0583,Apr11,2020,4,11
Gibraltar,United Kingdom,2020-04-11 22:45:13,129,0,84,36.1408,-5.3536,Apr11,2020,4,11
Grand Princess,Canada,2020-04-11 22:52:28,13,0,0,,,Apr11,2020,4,11
Grand Princess,US,2020-04-11 22:45:33,103,3,0,,,Apr11,2020,4,11
Greenland,Denmark,2020-04-11 22:45:13,11,0,11,71.7069,-42.6043,Apr11,2020,4,11
Guadeloupe,France,2020-04-11 22:45:13,143,8,67,16.265,-61.551,Apr11,2020,4,11
Guam,US,2020-04-11 22:45:33,133,5,0,13.4443,144.7937,Apr11,2020,4,11
Guangdong,China,2020-04-11 01:26:52,1548,8,1437,23.3417,113.4244,Apr11,2020,4,11
Guangxi,China,2020-04-02 00:16:02,254,2,252,23.8298,108.7881,Apr11,2020,4,11
Guizhou,China,2020-03-18 01:37:43,146,2,144,26.8154,106.8748,Apr11,2020,4,11
Hainan,China,2020-03-24 04:19:14,168,6,162,19.1959,109.7453,Apr11,2020,4,11
Hebei,China,2020-04-09 00:59:02,327,6,313,39.549,116.1306,Apr11,2020,4,11
Heilongjiang,China,2020-04-11 00:29:01,661,13,470,47.862,127.7615,Apr11,2020,4,11
Henan,China,2020-04-06 00:42:07,1276,22,1252,33.882,113.614,Apr11,2020,4,11
Hong Kong,China,2020-04-11 08:51:55,1000,4,336,22.3,114.2,Apr11,2020,4,11
Hubei,China,2020-04-11 01:38:00,67803,3219,64264,30.9756,112.2707,Apr11,2020,4,11
Hunan,China,2020-04-02 01:30:57,1019,4,1014,27.6104,111.7088,Apr11,2020,4,11
Inner Mongolia,China,2020-04-11 02:19:40,155,1,79,44.0935,113.9448,Apr11,2020,4,11
Isle of Man,United Kingdom,2020-04-11 22:45:13,226,2,112,54.2361,-4.5481,Apr11,2020,4,11
Jiangsu,China,2020-04-11 00:55:24,652,0,636,32.9711,119.455,Apr11,2020,4,11
Jiangxi,China,2020-04-10 01:22:42,937,1,936,27.614,115.7221,Apr11,2020,4,11
Jilin,China,2020-04-11 00:18:54,98,1,96,43.6661,126.1923,Apr11,2020,4,11
Liaoning,China,2020-04-11 00:29:01,145,2,133,41.2956,122.6085,Apr11,2020,4,11
Macau,China,2020-04-08 09:36:20,45,0,10,22.1667,113.55,Apr11,2020,4,11
Manitoba,Canada,2020-04-11 22:52:28,243,4,0,53.7609,-98.8139,Apr11,2020,4,11
Martinique,France,2020-04-11 22:45:13,155,6,50,14.6415,-61.0242,Apr11,2020,4,11
