Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,datetime,date,year,month,day,hr,min
Hubei,Mainland China,2/9/20 3:03,27100,780,1440,2020-02-08 23:04:00,Feb08,2020,2,8,23,4
Guangdong,Mainland China,2/9/20 1:53,1120,1,125,2020-02-08 23:04:00,Feb08,2020,2,8,23,4
Zhejiang,Mainland China,2/9/20 3:03,1075,0,185,2020-02-08 23:04:00,Feb08,2020,2,8,23,4
Henan,Mainland China,2/9/20 1:13,1033,6,131,2020-02-08 23:04:00,Feb08,2020,2,8,23,4
Hunan,Mainland China,2/9/20 1:13,838,1,159,2020-02-08 23:04:00,Feb08,2020,2,8,23,4
Anhui,Mainland China,2/9/20 1:23,779,1,59,2020-02-08 23:04:00,Feb08,2020,2,8,23,4
Jiangxi,Mainland China,2/9/20 1:23,740,0,72,2020-02-08 23:04:00,Feb08,2020,2,8,23,4
Jiangsu,Mainland China,2/9/20 3:33,468,0,58,2020-02-08 23:04:00,Feb08,2020,2,8,23,4
Chongqing,Mainland China,2/9/20 0:43,446,2,39,2020-02-08 23:04:00,Feb08,2020,2,8,23,4
Shandong,Mainland China,2/9/20 2:13,435,1,50,2020-02-08 23:04:00,Feb08,2020,2,8,23,4
Sichuan,Mainland China,2/9/20 1:13,386,1,60,2020-02-08 23:04:00,Feb08,2020,2,8,23,4
Beijing,Mainland China,2/9/20 3:43,326,2,37,2020-02-08 23:04:00,Feb08,2020,2,8,23,4
Heilongjiang,Mainland China,2/9/20 1:03,307,6,13,2020-02-08 23:04:00,Feb08,2020,2,8,23,4
Shanghai,Mainland China,2/9/20 1:33,292,1,41,2020-02-08 23:04:00,Feb08,2020,2,8,23,4
Fujian,Mainland China,2/9/20 3:43,250,0,26,2020-02-08 23:04:00,Feb08,2020,2,8,23,4
Shaanxi,Mainland China,2/9/20 3:03,208,0,25,2020-02-08 23:04:00,Feb08,2020,2,8,23,4
Hebei,Mainland China,2/9/20 1:03,206,2,30,2020-02-08 23:04:00,Feb08,2020,2,8,23,4
Guangxi,Mainland China,2/9/20 0:33,195,1,18,2020-02-08 23:04:00,Feb08,2020,2,8,23,4
Yunnan,Mainland China,2/9/20 0:13,140,0,17,2020-02-08 23:04:00,Feb08,2020,2,8,23,4
Hainan,Mainland China,2/9/20 1:53,128,2,15,2020-02-08 23:04:00,Feb08,2020,2,8,23,4
Shanxi,Mainland China,2/8/20 23:53,115,0,21,2020-02-08 23:04:00,Feb08,2020,2,8,23,4
Liaoning,Mainland China,2/8/20 11:53,105,0,8,2020-02-08 23:04:00,Feb08,2020,2,8,23,4
Guizhou,Mainland China,2/9/20 1:23,96,1,7,2020-02-08 23:04:00,Feb08,2020,2,8,23,4
Tianjin,Mainland China,2/9/20 4:03,90,1,4,2020-02-08 23:04:00,Feb08,2020,2,8,23,4
Gansu,Mainland China,2/8/20 15:13,79,1,12,2020-02-08 23:04:00,Feb08,2020,2,8,23,4
Jilin,Mainland China,2/9/20 0:53,78,1,5,2020-02-08 23:04:00,Feb08,2020,2,8,23,4
Cruise Ship,Others,2/7/20 16:33,61,0,0,2020-02-08 23:04:00,Feb08,2020,2,8,23,4
Inner Mongolia,Mainland China,2/9/20 2:23,54,0,5,2020-02-08 23:04:00,Feb08,2020,2,8,23,4
Ningxia,Mainland China,2/9/20 2:03,45,0,13,2020-02-08 23:04:00,Feb08,2020,2,8,23,4
Xinjiang,Mainland China,2/9/20 1:23,45,0,0,2020-02-08 23:04:00,Feb08,2020,2,8,23,4
,Singapore,2/9/20 2:43,40,0,2,2020-02-08 23:04:00,Feb08,2020,2,8,23,4
,Thailand,2/8/20 12:53,32,0,10,2020-02-08 23:04:00,Feb08,2020,2,8,23,4
Hong Kong,Hong Kong,2/8/20 0:03,26,1,0,2020-02-08 23:04:00,Feb08,2020,2,8,23,4
,Japan,2/7/20 4:13,25,0,1,2020-02-08 23:04:00,Feb08,2020,2,8,23,4
,South Korea,2/9/20 2:33,25,0,3,2020-02-08 23:04:00,Feb08,2020,2,8,23,4
Qinghai,Mainland China,2/6/20 2:13,18,0,3,2020-02-08 23:04:00,Feb08,2020,2,8,23,4
Taiwan,Taiwan,2/8/20 5:23,17,0,1,2020-02-08 23:04:00,Feb08,2020,2,8,23,4
,Malaysia,2/8/20 10:23,16,0,1,2020-02-08 23:04:00,Feb08,2020,2,8,23,4
,Germany,2/7/20 16:33,13,0,0,2020-02-08 23:04:00,Feb08,2020,2,8,23,4
