Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,datetime,date,year,month,day,hr,min
Hubei,Mainland China,2/2/2020 23:43:00,11177,350,295,2020-02-02 19:45:00,Feb02,2020,2,2,19,45
Zhejiang,Mainland China,2/2/2020 18:03:00,661,0,32,2020-02-02 19:45:00,Feb02,2020,2,2,19,45
Guangdong,Mainland China,2/2/2020 18:03:00,632,0,15,2020-02-02 19:45:00,Feb02,2020,2,2,19,45
Henan,Mainland China,2/2/2020 18:03:00,493,2,10,2020-02-02 19:45:00,Feb02,2020,2,2,19,45
Hunan,Mainland China,2/2/2020 18:03:00,463,0,16,2020-02-02 19:45:00,Feb02,2020,2,2,19,45
Anhui,Mainland China,2/2/2020 18:03:00,340,0,7,2020-02-02 19:45:00,Feb02,2020,2,2,19,45
Jiangxi,Mainland China,2/2/2020 18:03:00,333,0,12,2020-02-02 19:45:00,Feb02,2020,2,2,19,45
Chongqing,Mainland China,2/2/2020 23:33:00,300,2,7,2020-02-02 19:45:00,Feb02,2020,2,2,19,45
Jiangsu,Mainland China,2/2/2020 18:03:00,236,0,7,2020-02-02 19:45:00,Feb02,2020,2,2,19,45
Sichuan,Mainland China,2/2/2020 18:03:00,231,1,11,2020-02-02 19:45:00,Feb02,2020,2,2,19,45
Shandong,Mainland China,2/2/2020 18:03:00,230,0,6,2020-02-02 19:45:00,Feb02,2020,2,2,19,45
Shanghai,Mainland China,2/3/2020 0:03:00,193,1,10,2020-02-02 19:45:00,Feb02,2020,2,2,19,45
Beijing,Mainland China,2/2/2020 8:43:00,191,1,9,2020-02-02 19:45:00,Feb02,2020,2,2,19,45
Fujian,Mainland China,2/2/2020 3:43:00,159,0,0,2020-02-02 19:45:00,Feb02,2020,2,2,19,45
Guangxi,Mainland China,2/3/2020 0:13:00,127,0,2,2020-02-02 19:45:00,Feb02,2020,2,2,19,45
Shaanxi,Mainland China,2/2/2020 3:23:00,116,0,0,2020-02-02 19:45:00,Feb02,2020,2,2,19,45
Hebei,Mainland China,2/3/2020 0:23:00,113,1,3,2020-02-02 19:45:00,Feb02,2020,2,2,19,45
Yunnan,Mainland China,2/2/2020 18:03:00,105,0,3,2020-02-02 19:45:00,Feb02,2020,2,2,19,45
Heilongjiang,Mainland China,2/2/2020 3:23:00,95,2,2,2020-02-02 19:45:00,Feb02,2020,2,2,19,45
Liaoning,Mainland China,2/3/2020 0:43:00,70,0,1,2020-02-02 19:45:00,Feb02,2020,2,2,19,45
Shanxi,Mainland China,2/2/2020 18:03:00,66,0,3,2020-02-02 19:45:00,Feb02,2020,2,2,19,45
Hainan,Mainland China,2/2/2020 23:23:00,64,1,4,2020-02-02 19:45:00,Feb02,2020,2,2,19,45
Gansu,Mainland China,2/2/2020 23:43:00,51,0,3,2020-02-02 19:45:00,Feb02,2020,2,2,19,45
Tianjin,Mainland China,2/2/2020 9:43:00,48,0,1,2020-02-02 19:45:00,Feb02,2020,2,2,19,45
Guizhou,Mainland China,2/2/2020 1:03:00,38,0,2,2020-02-02 19:45:00,Feb02,2020,2,2,19,45
Ningxia,Mainland China,2/2/2020 1:43:00,28,0,0,2020-02-02 19:45:00,Feb02,2020,2,2,19,45
Inner Mongolia,Mainland China,2/2/2020 3:43:00,27,0,1,2020-02-02 19:45:00,Feb02,2020,2,2,19,45
Jilin,Mainland China,2/2/2020 2:33:00,23,0,1,2020-02-02 19:45:00,Feb02,2020,2,2,19,45
Xinjiang,Mainland China,2/2/2020 0:43:00,21,0,0,2020-02-02 19:45:00,Feb02,2020,2,2,19,45
,Japan,2/1/2020 18:53:00,20,0,1,2020-02-02 19:45:00,Feb02,2020,2,2,19,45
,Thailand,1/31/2020 10:37:00,19,0,5,2020-02-02 19:45:00,Feb02,2020,2,2,19,45
,Singapore,2/2/2020 1:03:00,18,0,0,2020-02-02 19:45:00,Feb02,2020,2,2,19,45
Hong Kong,Hong Kong,2/2/2020 23:53:00,15,0,0,2020-02-02 19:45:00,Feb02,2020,2,2,19,45
,South Korea,2/2/2020 2:23:00,15,0,0,2020-02-02 19:45:00,Feb02,2020,2,2,19,45
Qinghai,Mainland China,2/2/2020 5:33:00,11,0,0,2020-02-02 19:45:00,Feb02,2020,2,2,19,45
,Germany,2/2/2020 18:03:00,10,0,0,2020-02-02 19:45:00,Feb02,2020,2,2,19,45
Taiwan,Taiwan,1/31/2020 15:20:00,10,0,0,2020-02-02 19:45:00,Feb02,2020,2,2,19,45
Macau,Macau,2/2/2020 4:23:00,8,0,0,2020-02-02 19:45:00,Feb02,2020,2,2,19,45
,Malaysia,1/31/2020 8:15:00,8,0,0,2020-02-02 19:45:00,Feb02,2020,2,2,19,45
,France,2/1/2020 1:52:00,6,0,0,2020-02-02 19:45:00,Feb02,2020,2,2,19,45
,Vietnam,2/1/2020 7:38:00,6,0,1,2020-02-02 19:45:00,Feb02,2020,2,2,19,45
,United Arab Emirates,2/2/2020 5:43:00,5,0,0,2020-02-02 19:45:00,Feb02,2020,2,2,19,45
New South Wales,Australia,2/1/2020 18:12:00,4,0,2,2020-02-02 19:45:00,Feb02,2020,2,2,19,45
Victoria,Australia,2/1/2020 18:12:00,4,0,0,2020-02-02 19:45:00,Feb02,2020,2,2,19,45
