Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude,date,year,month,day
Alabama,US,2020-03-31 23:43:56,987,23,0,32.3182,-86.9023,Mar31,2020,3,31
Alaska,US,2020-03-31 23:43:56,119,3,0,61.3707,-152.4044,Mar31,2020,3,31
Arizona,US,2020-03-31 23:43:56,1289,24,0,33.7298,-111.4312,Mar31,2020,3,31
Arkansas,US,2020-03-31 23:43:56,523,8,0,34.9697,-92.3731,Mar31,2020,3,31
California,US,2020-03-31 23:43:56,8210,173,0,36.1162,-119.6816,Mar31,2020,3,31
Colorado,US,2020-03-31 23:43:56,2966,69,0,39.0598,-105.3111,Mar31,2020,3,31
Connecticut,US,2020-03-31 23:43:56,3128,69,0,41.5978,-72.7554,Mar31,2020,3,31
Delaware,US,2020-03-31 23:43:56,319,10,0,39.3185,-75.5071,Mar31,2020,3,31
District of Columbia,US,2020-03-31 23:43:56,495,9,0,38.8974,-77.0268,Mar31,2020,3,31
Florida,US,2020-03-31 23:43:56,6741,85,0,27.7663,-81.6868,Mar31,2020,3,31
Georgia,US,2020-03-31 23:43:56,3929,111,0,33.0406,-83.6431,Mar31,2020,3,31
Hawaii,US,2020-03-31 23:43:56,204,0,0,21.0943,-157.4983,Mar31,2020,3,31
Idaho,US,2020-03-31 23:43:56,515,8,0,44.2405,-114.4788,Mar31,2020,3,31
Illinois,US,2020-03-31 23:43:56,5994,99,0,40.3495,-88.9861,Mar31,2020,3,31
Indiana,US,2020-03-31 23:43:56,2158,49,0,39.8494,-86.2583,Mar31,2020,3,31
Iowa,US,2020-03-31 23:43:56,497,7,0,42.0115,-93.2105,Mar31,2020,3,31
Kansas,US,2020-03-31 23:43:56,434,9,0,38.5266,-96.7265,Mar31,2020,3,31
Kentucky,US,2020-03-31 23:43:56,628,11,0,37.6681,-84.6701,Mar31,2020,3,31
Louisiana,US,2020-03-31 23:43:56,5237,239,0,31.1695,-91.8678,Mar31,2020,3,31
Maine,US,2020-03-31 23:43:56,303,5,0,44.6939,-69.3819,Mar31,2020,3,31
Maryland,US,2020-03-31 23:43:56,1660,18,0,39.0639,-76.8021,Mar31,2020,3,31
Massachusetts,US,2020-03-31 23:43:56,6620,89,0,42.2302,-71.5301,Mar31,2020,3,31
Michigan,US,2020-03-31 23:43:56,7615,259,0,43.3266,-84.5361,Mar31,2020,3,31
Minnesota,US,2020-03-31 23:43:56,629,12,0,45.6945,-93.9002,Mar31,2020,3,31
Mississippi,US,2020-03-31 23:43:56,937,20,0,32.7416,-89.6787,Mar31,2020,3,31
Missouri,US,2020-03-31 23:43:56,1357,15,0,38.4561,-92.2884,Mar31,2020,3,31
Montana,US,2020-03-31 23:43:56,198,5,0,46.9219,-110.4544,Mar31,2020,3,31
Nebraska,US,2020-03-31 23:43:56,172,3,0,41.1254,-98.2681,Mar31,2020,3,31
Nevada,US,2020-03-31 23:43:56,1114,26,0,38.3135,-117.0554,Mar31,2020,3,31
New Hampshire,US,2020-03-31 23:43:56,357,3,0,43.4525,-71.5639,Mar31,2020,3,31
New Jersey,US,2020-03-31 23:43:56,18696,267,0,40.2989,-74.521,Mar31,2020,3,31
New Mexico,US,2020-03-31 23:43:56,315,4,0,34.8405,-106.2485,Mar31,2020,3,31
New York,US,2020-03-31 23:43:56,75833,1550,0,42.1657,-74.9481,Mar31,2020,3,31
North Carolina,US,2020-03-31 23:43:56,1535,12,0,35.6301,-79.8064,Mar31,2020,3,31
North Dakota,US,2020-03-31 23:43:56,122,3,0,47.5289,-99.784,Mar31,2020,3,31
Ohio,US,2020-03-31 23:43:56,2199,55,0,40.3888,-82.7649,Mar31,2020,3,31
Oklahoma,US,2020-03-31 23:43:56,568,23,0,35.5653,-96.9289,Mar31,2020,3,31
Oregon,US,2020-03-31 23:43:56,690,18,0,44.572,-122.0709,Mar31,2020,3,31
Pennsylvania,US,2020-03-31 23:43:56,4963,63,0,40.5908,-77.2098,Mar31,2020,3,31
Rhode Island,US,2020-03-31 23:43:56,488,8,0,41.6809,-71.5118,Mar31,2020,3,31
South Carolina,US,2020-03-31 23:43:56,1083,22,0,33.8569,-80.945,Mar31,2020,3,31
South Dakota,US,2020-03-31 23:43:56,108,1,0,44.2998,-99.4388,Mar31,2020,3,31
Tennessee,US,2020-03-31 23:43:56,2391,23,0,35.7478,-86.6923,Mar31,2020,3,31
Texas,US,2020-03-31 23:43:56,3809,54,0,31.0545,-97.5635,Mar31,2020,3,31
Utah,US,2020-03-31 23:43:56,888,5,0,40.15,-111.8624,Mar31,2020,3,31
Vermont,US,2020-03-31 23:43:56,293,13,0,44.0459,-72.7107,Mar31,2020,3,31
Virginia,US,2020-03-31 23:43:56,1249,27,0,37.7693,-78.17,Mar31,2020,3,31
Washington,US,2020-03-31 23:43:56,5432,225,0,47.4009,-121.4905,Mar31,2020,3,31
West Virginia,US,2020-03-31 23:43:56,162,1,0,38.4912,-80.9545,Mar31,2020,3,31
Wisconsin,US,2020-03-31 23:43:56,1412,25,0,44.2685,-89.6165,Mar31,2020,3,31
Wyoming,US,2020-03-31 23:43:56,109,0,0,42.756,-107.3025,Mar31,2020,3,31
Alberta,Canada,2020-03-31 23:49:13,690,8,0,53.9333,-116.5765,Mar31,2020,3,31
Anguilla,United Kingdom,2020-03-31 23:43:43,2,0,0,18.2206,-63.0686,Mar31,2020,3,31
Anhui,China,2020-03-08 05:19:01,990,6,984,31.8257,117.2264,Mar31,2020,3,31
Aruba,Netherlands,2020-03-31 23:43:43,55,0,1,12.5211,-69.9683,Mar31,2020,3,31
Australian Capital Territory,Australia,2020-03-31 23:49:27,80,1,3,-35.4735,149.0124,Mar31,2020,3,31
Beijing,China,2020-03-31 05:46:54,580,8,418,40.1824,116.4142,Mar31,2020,3,31
Bermuda,United Kingdom,2020-03-31 23:43:43,32,0,10,32.3078,-64.7505,Mar31,2020,3,31
British Columbia,Canada,2020-03-31 23:49:13,1013,24,0,53.7267,-127.6476,Mar31,2020,3,31
British Virgin Islands,United Kingdom,2020-03-31 23:43:43,3,0,0,18.4207,-64.64,Mar31,2020,3,31
Cayman Islands,United Kingdom,2020-03-31 23:43:43,14,1,0,19.3133,-81.2546,Mar31,2020,3,31
Channel Islands,United Kingdom,2020-03-31 23:43:43,141,3,0,49.3723,-2.3644,Mar31,2020,3,31
Chongqing,China,2020-03-29 00:14:12,579,6,570,30.0572,107.874,Mar31,2020,3,31
Curacao,Netherlands,2020-03-31 23:43:43,11,1,2,12.1696,-68.99,Mar31,2020,3,31
Diamond Princess,Canada,2020-03-31 23:49:13,0,1,0,0.0,0.0,Mar31,2020,3,31
Diamond Princess,US,2020-03-31 23:43:56,49,0,0,0.0,0.0,Mar31,2020,3,31
Faroe Islands,Denmark,2020-03-31 23:43:43,169,0,74,61.8926,-6.9118,Mar31,2020,3,31
French Guiana,France,2020-03-31 23:43:43,43,0,6,4.0,-53.0,Mar31,2020,3,31
French Polynesia,France,2020-03-31 23:43:43,36,0,0,-17.6797,149.4068,Mar31,2020,3,31
Fujian,China,2020-03-31 02:10:31,343,1,295,26.0789,117.9874,Mar31,2020,3,31
Gansu,China,2020-03-29 14:25:46,138,2,125,37.8099,101.0583,Mar31,2020,3,31
Gibraltar,United Kingdom,2020-03-31 23:43:43,69,0,34,36.1408,-5.3536,Mar31,2020,3,31
Grand Princess,Canada,2020-03-31 23:49:13,13,0,0,0.0,0.0,Mar31,2020,3,31
Grand Princess,US,2020-03-31 23:43:56,103,3,0,0.0,0.0,Mar31,2020,3,31
Greenland,Denmark,2020-03-31 23:43:43,10,0,2,71.7069,-42.6043,Mar31,2020,3,31
Guadeloupe,France,2020-03-31 23:43:43,114,4,22,16.265,-61.551,Mar31,2020,3,31
Guam,US,2020-03-31 23:43:56,69,2,0,13.4443,144.7937,Mar31,2020,3,31
Guangdong,China,2020-03-31 09:56:36,1494,8,1356,23.3417,113.4244,Mar31,2020,3,31
Guangxi,China,2020-03-20 04:33:45,254,2,250,23.8298,108.7881,Mar31,2020,3,31
Guizhou,China,2020-03-18 01:37:43,146,2,144,26.8154,106.8748,Mar31,2020,3,31
Hainan,China,2020-03-24 04:29:15,168,6,168,19.1959,109.7453,Mar31,2020,3,31
Hebei,China,2020-03-30 02:07:50,321,6,310,39.549,116.1306,Mar31,2020,3,31
Heilongjiang,China,2020-03-26 00:15:39,484,13,469,47.861999999999995,127.7615,Mar31,2020,3,31
Henan,China,2020-03-29 01:44:01,1276,22,1251,33.882,113.61399999999999,Mar31,2020,3,31
Hong Kong,China,2020-03-31 09:10:05,714,4,128,22.3,114.2,Mar31,2020,3,31
Hubei,China,2020-03-31 01:06:37,67801,3187,63153,30.9756,112.2707,Mar31,2020,3,31
Hunan,China,2020-03-14 08:25:05,1018,4,1014,27.6104,111.7088,Mar31,2020,3,31
Inner Mongolia,China,2020-03-30 23:54:43,107,1,74,44.0935,113.9448,Mar31,2020,3,31
Isle of Man,United Kingdom,2020-03-31 23:43:43,60,0,0,54.2361,-4.5481,Mar31,2020,3,31
Jiangsu,China,2020-03-31 01:10:41,646,0,631,32.9711,119.455,Mar31,2020,3,31
Jiangxi,China,2020-03-30 03:15:15,937,1,935,27.614,115.7221,Mar31,2020,3,31
Jilin,China,2020-03-29 00:28:20,98,1,92,43.6661,126.1923,Mar31,2020,3,31
Liaoning,China,2020-03-31 00:23:00,139,2,124,41.2956,122.6085,Mar31,2020,3,31
Macau,China,2020-03-31 13:54:04,41,0,10,22.1667,113.55,Mar31,2020,3,31
Manitoba,Canada,2020-03-31 23:49:13,103,1,0,53.7609,-98.8139,Mar31,2020,3,31
Martinique,France,2020-03-31 23:43:43,128,3,27,14.6415,-61.0242,Mar31,2020,3,31
Mayotte,France,2020-03-31 23:43:43,94,1,10,-12.8275,45.166244,Mar31,2020,3,31
Montserrat,United Kingdom,2020-03-31 23:43:43,5,0,0,16.742498,-62.187366,Mar31,2020,3,31
