Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude,date,year,month,day
Alabama,US,2020-04-10 22:54:07,2947,80,0,32.3182,-86.9023,Apr10,2020,4,10
Alaska,US,2020-04-10 22:54:07,246,7,0,61.3707,-152.4044,Apr10,2020,4,10
Arizona,US,2020-04-10 22:54:07,3112,97,0,33.7298,-111.4312,Apr10,2020,4,10
Arkansas,US,2020-04-10 22:54:07,1171,21,0,34.9697,-92.3731,Apr10,2020,4,10
California,US,2020-04-10 22:54:07,21081,583,0,36.1162,-119.6816,Apr10,2020,4,10
Colorado,US,2020-04-10 22:54:07,6202,226,0,39.0598,-105.3111,Apr10,2020,4,10
Connecticut,US,2020-04-10 22:54:07,10538,448,0,41.5978,-72.7554,Apr10,2020,4,10
Delaware,US,2020-04-10 22:54:07,1326,32,0,39.3185,-75.5071,Apr10,2020,4,10
District of Columbia,US,2020-04-10 22:54:07,1660,38,0,38.8974,-77.0268,Apr10,2020,4,10
Florida,US,2020-04-10 22:54:07,17531,390,0,27.7663,-81.6868,Apr10,2020,4,10
Georgia,US,2020-04-10 22:54:07,11485,416,0,33.0406,-83.6431,Apr10,2020,4,10
Hawaii,US,2020-04-10 22:54:07,442,6,0,21.0943,-157.4983,Apr10,2020,4,10
Idaho,US,2020-04-10 22:54:07,1354,24,0,44.2405,-114.4788,Apr10,2020,4,10
Illinois,US,2020-04-10 22:54:07,17887,597,0,40.3495,-88.9861,Apr10,2020,4,10
Indiana,US,2020-04-10 22:54:07,6907,300,0,39.8494,-86.2583,Apr10,2020,4,10
Iowa,US,2020-04-10 22:54:07,1388,31,0,42.0115,-93.2105,Apr10,2020,4,10
Kansas,US,2020-04-10 22:54:07,1117,42,0,38.5266,-96.7265,Apr10,2020,4,10
Kentucky,US,2020-04-10 22:54:07,1693,90,0,37.6681,-84.6701,Apr10,2020,4,10
Louisiana,US,2020-04-10 22:54:07,19253,755,0,31.1695,-91.8678,Apr10,2020,4,10
Maine,US,2020-04-10 22:54:07,586,17,0,44.6939,-69.3819,Apr10,2020,4,10
Maryland,US,2020-04-10 22:54:07,6968,171,0,39.0639,-76.8021,Apr10,2020,4,10
Massachusetts,US,2020-04-10 22:54:07,20974,599,0,42.2302,-71.5301,Apr10,2020,4,10
Michigan,US,2020-04-10 22:54:07,22434,1276,0,43.3266,-84.5361,Apr10,2020,4,10
Minnesota,US,2020-04-10 22:54:07,1336,57,0,45.6945,-93.9002,Apr10,2020,4,10
Mississippi,US,2020-04-10 22:54:07,2469,82,0,32.7416,-89.6787,Apr10,2020,4,10
Missouri,US,2020-04-10 22:54:07,3897,99,0,38.4561,-92.2884,Apr10,2020,4,10
Montana,US,2020-04-10 22:54:07,365,6,0,46.9219,-110.4544,Apr10,2020,4,10
Nebraska,US,2020-04-10 22:54:07,635,15,0,41.1254,-98.2681,Apr10,2020,4,10
Nevada,US,2020-04-10 22:54:07,2722,90,0,38.3135,-117.0554,Apr10,2020,4,10
New Hampshire,US,2020-04-10 22:54:07,819,21,0,43.4525,-71.5639,Apr10,2020,4,10
New Jersey,US,2020-04-10 22:54:07,54588,1932,0,40.2989,-74.521,Apr10,2020,4,10
New Mexico,US,2020-04-10 22:54:07,1081,17,0,34.8405,-106.2485,Apr10,2020,4,10
New York,US,2020-04-10 22:54:07,172348,7867,0,42.1657,-74.9481,Apr10,2020,4,10
North Carolina,US,2020-04-10 22:54:07,3965,83,0,35.6301,-79.8064,Apr10,2020,4,10
North Dakota,US,2020-04-10 22:54:07,278,6,0,47.5289,-99.784,Apr10,2020,4,10
Northern Mariana Islands,US,2020-04-10 22:54:07,5,1,0,15.0979,145.6739,Apr10,2020,4,10
Ohio,US,2020-04-10 22:54:07,5878,231,0,40.3888,-82.7649,Apr10,2020,4,10
Oklahoma,US,2020-04-10 22:54:07,1794,88,0,35.5653,-96.9289,Apr10,2020,4,10
Oregon,US,2020-04-10 22:54:07,1322,44,0,44.572,-122.0709,Apr10,2020,4,10
Pennsylvania,US,2020-04-10 22:54:07,20051,418,0,40.5908,-77.2098,Apr10,2020,4,10
Rhode Island,US,2020-04-10 22:54:07,1727,43,0,41.6809,-71.5118,Apr10,2020,4,10
South Carolina,US,2020-04-10 22:54:07,3067,72,0,33.8569,-80.945,Apr10,2020,4,10
South Dakota,US,2020-04-10 22:54:07,536,6,0,44.2998,-99.4388,Apr10,2020,4,10
Tennessee,US,2020-04-10 22:54:07,4891,98,0,35.7478,-86.6923,Apr10,2020,4,10
Texas,US,2020-04-10 22:54:07,12105,238,0,31.0545,-97.5635,Apr10,2020,4,10
Utah,US,2020-04-10 22:54:07,2103,17,0,40.15,-111.8624,Apr10,2020,4,10
Vermont,US,2020-04-10 22:54:07,679,24,0,44.0459,-72.7107,Apr10,2020,4,10
Virginia,US,2020-04-10 22:54:07,4509,121,0,37.7693,-78.17,Apr10,2020,4,10
Washington,US,2020-04-10 22:54:07,10119,483,0,47.4009,-121.4905,Apr10,2020,4,10
West Virginia,US,2020-04-10 22:54:07,574,5,0,38.4912,-80.9545,Apr10,2020,4,10
Wisconsin,US,2020-04-10 22:54:07,3068,128,0,44.2685,-89.6165,Apr10,2020,4,10
Wyoming,US,2020-04-10 22:54:07,239,0,0,42.756,-107.3025,Apr10,2020,4,10
Alberta,Canada,2020-04-10 23:01:26,1451,32,0,53.9333,-116.5765,Apr10,2020,4,10
Anguilla,United Kingdom,2020-04-10 22:53:48,3,0,0,18.2206,-63.0686,Apr10,2020,4,10
Anhui,China,2020-04-09 01:12:20,991,6,984,31.8257,117.2264,Apr10,2020,4,10
Aruba,Netherlands,2020-04-10 22:53:48,86,0,27,12.5211,-69.9683,Apr10,2020,4,10
Australian Capital Territory,Australia,2020-04-10 23:01:43,103,2,59,-35.4735,149.0124,Apr10,2020,4,10
Beijing,China,2020-04-10 01:14:37,588,8,469,40.1824,116.4142,Apr10,2020,4,10
Bermuda,United Kingdom,2020-04-10 22:53:48,48,4,25,32.3078,-64.7505,Apr10,2020,4,10
"Bonaire, Sint Eustatius and Saba",Netherlands,2020-04-10 22:53:48,2,0,0,12.1784,-68.2385,Apr10,2020,4,10
British Columbia,Canada,2020-04-10 23:01:26,1370,50,0,53.7267,-127.6476,Apr10,2020,4,10
British Virgin Islands,United Kingdom,2020-04-10 22:53:48,3,0,0,18.4207,-64.64,Apr10,2020,4,10
Cayman Islands,United Kingdom,2020-04-10 22:53:48,45,1,6,19.3133,-81.2546,Apr10,2020,4,10
Channel Islands,United Kingdom,2020-04-10 22:53:48,398,9,40,49.3723,-2.3644,Apr10,2020,4,10
Chongqing,China,2020-03-29 00:14:12,579,6,570,30.0572,107.874,Apr10,2020,4,10
Curacao,Netherlands,2020-04-10 22:53:48,14,1,7,12.1696,-68.99,Apr10,2020,4,10
Diamond Princess,Canada,2020-04-10 23:01:26,0,1,0,,,Apr10,2020,4,10
Diamond Princess,US,2020-04-10 22:54:07,49,0,0,,,Apr10,2020,4,10
Falkland Islands (Malvinas),United Kingdom,2020-04-10 22:53:48,5,0,1,-51.7963,-59.5236,Apr10,2020,4,10
Faroe Islands,Denmark,2020-04-10 22:53:48,184,0,145,61.8926,-6.9118,Apr10,2020,4,10
French Guiana,France,2020-04-10 22:53:48,83,0,43,4.0,-53.0,Apr10,2020,4,10
French Polynesia,France,2020-04-10 22:53:48,51,0,0,-17.6797,-149.4068,Apr10,2020,4,10
Fujian,China,2020-04-10 01:01:27,351,1,311,26.0789,117.9874,Apr10,2020,4,10
Gansu,China,2020-04-09 02:02:54,139,2,135,37.8099,101.0583,Apr10,2020,4,10
Gibraltar,United Kingdom,2020-04-10 22:53:48,127,0,69,36.1408,-5.3536,Apr10,2020,4,10
Grand Princess,Canada,2020-04-10 23:01:26,13,0,0,,,Apr10,2020,4,10
Grand Princess,US,2020-04-10 22:54:07,103,3,0,,,Apr10,2020,4,10
Greenland,Denmark,2020-04-10 22:53:48,11,0,11,71.7069,-42.6043,Apr10,2020,4,10
Guadeloupe,France,2020-04-10 22:53:48,143,8,67,16.265,-61.551,Apr10,2020,4,10
Guam,US,2020-04-10 22:54:07,130,4,0,13.4443,144.7937,Apr10,2020,4,10
Guangdong,China,2020-04-10 01:51:07,1544,8,1434,23.3417,113.4244,Apr10,2020,4,10
